ticker,company_name,country,sector,pref_balanced,ESG_composite,E_score,S_score,G_score,market_cap,profitability_score,debt_to_equity,log_dollar_volume,price_to_book
CELH,"Celsius Holdings, Inc.",US,Consumer Defensive,59.70834730137446,60.56483437223229,0.5621057284863225,0.8468968513272268,0.0019243443983842,8785323008.0,0.0451687284123401,23.633,19.276646707227904,7.410307
CFLT,"Confluent, Inc.",US,Technology,19.902782433791486,29.26067685303787,-1.5596909897304403,-0.5579938322634965,-1.3212340719177438,11133729792.0,-2.579829211651591,94.546,19.172245025850355,9.439537
CFR,"Cullen/Frost Bankers, Inc.",US,Financial Services,54.43848474689909,49.60734995633532,-1.5926381437400172,-0.277614666809778,0.5596313839538116,8757872640.0,0.0201053008506292,132.9965,17.965571147710488,1.9807034
CHOLAFIN.NS,CHOLAMANDALAM IN & FIN CO,India,Financial Services,56.49011062688569,50.22796199804068,0.4830325588633373,-0.1712964688428609,-0.0783663430639653,12419012082.177046,0.5519706980385334,588.2596750000002,17.020318171036536,4.39692
CHRD,Chord Energy Corporation,US,Energy,59.53737847804225,62.63597358897701,0.2853496348058749,1.1286587136788904,0.7268186719095587,8071639552.0,-0.1096884747354418,18.693,18.660851110461905,0.9975623
CLEAN.NS,CLEAN SCIENCE & TECH LTD,India,Basic Materials,55.68890378813276,64.00800168532729,1.197386761707349,-0.0360104809881259,0.1601802992843382,807918002.6245025,0.4693244606898797,1.1622750000000002,14.552043731421094,5.001982
CLF,Cleveland-Cliffs Inc.,US,Basic Materials,45.82634931277238,56.3404329336947,0.7256434202065867,-0.1878177386864227,-0.2055169891613558,4791280128.0,-2.335989659424175,125.969,18.882503460535474,0.78256005
CMC,Commercial Metals Company,US,Industrials,42.80925243043916,40.628314364003344,-1.227154598098895,0.0934436497360506,-0.0704549701909909,6856778240.0,-0.3273886186084938,81.609,17.95853570075736,1.556188
CMS,CMS Energy Corporation,US,Utilities,68.4244049614482,71.41747179169376,1.380842505624312,0.9111831810487184,0.3667703934199475,24202377216.0,0.015327667381438,194.861,19.06340453680033,2.6993234
COFORGE.NS,COFORGE LIMITED,India,Technology,42.72544418370767,41.04641017385153,-0.9446774482183352,-0.2316819947240516,-0.4881619467486251,4361171964.805851,-0.2017077127149429,10.888,17.355061398478462,5.870655
COLPAL.NS,COLGATE PALMOLIVE LTD.,India,Consumer Defensive,60.12068387529334,60.28856738435108,0.8388618221667696,0.335736499026646,0.2382649244655674,5369207565.795418,0.5174573351980324,3.791,16.086078634866208,31.54903395
CRAFTSMAN.NS,CRAFTSMAN AUTOMATION LTD,India,Consumer Cyclical,49.805564867582966,45.80281620300295,-0.1429633673186268,-0.3804393570790096,-0.1415974755860187,1742276181.3057976,0.0724892570593148,109.273,15.343415262337562,5.3457537
CROX,"Crocs, Inc.",US,Consumer Cyclical,43.45289976533691,55.98866274643739,1.1749227930644557,0.0446102545773286,-0.1824099721395552,4343263744.0,-0.0584106069349273,124.787,18.6724413017421,3.2486796
CRWD,"CrowdStrike Holdings, Inc.",US,Technology,41.92088501508549,40.09668468559753,0.2853496348058749,-0.0731240209848401,-1.524153578293281,101222457344.0,-1.435062976275119,18.336,21.215151707009657,22.835564
CTRA,Coterra Energy Inc.,US,Energy,85.07542742205834,61.50787368452911,0.5159797128729143,1.4406846057549505,-0.2451382347356044,26243227648.0,1.0607634534691397,26.984,19.358083388201788,1.7701291
CUBE,CubeSmart,US,Real Estate,59.8357358364063,62.46799784906919,1.020483008644563,0.2506769282179781,0.2443276586621556,8525087232.0,0.9439246672483542,126.45,17.965413710151115,3.1079726
CUMMINSIND.NS,CUMMINS INDIA LTD,India,Industrials,55.93362386858867,45.90767543958329,-0.3421787171439763,0.3343030136391102,-0.6530003508893134,13865665179.907495,0.430978315880246,1.1622750000000002,17.292622380448865,16.328249
CWAN,"Clearwater Analytics Holdings, ",US,Technology,28.18303721086155,31.979038444875027,-1.482814297041427,-0.7115975911411596,-0.7977008400165227,7112855552.0,-1.1478785994694631,42.358,18.448343965894367,3.430878
CYIENT.NS,CYIENT LIMITED,India,Industrials,27.877975192758967,41.84322891115922,-0.42263106995806,-0.2525487964071049,-0.6042507058885868,952484641.8414544,-0.0224876310019637,7.224,15.277147125657812,1.5911088
DABUR.NS,DABUR INDIA LTD,India,Consumer Defensive,57.16392893060677,57.21601242602635,1.1156179158472168,0.3214607869260931,-0.4028572312908771,8005167064.128214,0.0749141560532862,11.464,16.300744192711647,6.795362
DECK,Deckers Outdoor Corporation,US,Consumer Cyclical,79.85920214549111,65.94397864243832,1.5867622181841687,0.8333369497662724,-0.0230526752358073,14328173568.0,1.7389015844515945,13.14,19.438832142195903,5.362169
DEEPAKNTR.NS,DEEPAK NITRITE LTD,India,Basic Materials,25.61515253100905,32.23684910046424,-1.6330732872972256,-0.257717241111099,-0.0109207933691819,2017214398.7953105,-0.4584095497878659,22.412,15.236662423129465,3.3979142
DEVYANI.NS,DEVYANI INTERNATIONAL LTD,India,Consumer Cyclical,28.930606771706337,38.07834299429982,-0.8019064475101679,-0.8649257638843325,-0.1685350237387054,1284660417.0807788,-0.0318627512948667,170.712,15.481479333027124,7.58456
DINO,HF Sinclair Corporation,US,Energy,43.59369761984579,41.27372946606104,-1.329060911663401,0.7425252046271406,0.5170313612680061,11142788096.0,-0.8616799815331172,35.961,18.82029329399865,1.2019002
DIXON.NS,DIXON TECHNO (INDIA) LTD,India,Technology,44.130070398927245,45.60485806197548,-1.6365676824194533,0.6262741151919298,-0.5754723838666963,6458292596.063247,-0.593229779591906,29.663,17.770223767222365,13.191029
DKS,Dick's Sporting Goods Inc,US,Consumer Cyclical,45.615152531009045,43.92568619724216,-0.9666422175580532,0.1373270310625354,-0.4004680656829558,17251536896.0,-0.0275514031830429,139.828,19.338822263074647,3.0749862
DOCN,"DigitalOcean Holdings, Inc.",US,Technology,44.56252095206169,36.44701377188498,-1.0984308335963613,-0.1709513593662313,-1.1043683977521148,9356012544.0,0.5829620343477011,28.275,18.970356582368897,-0.9948549107227488
DTE,DTE Energy Company,US,Utilities,60.55648675829701,58.23294564625407,0.2276921152891153,1.125784848668758,0.0521187539927536,30796480512.0,-0.2640357366354237,213.601,19.062566409175265,2.4997466
DXCM,"DexCom, Inc.",US,Healthcare,63.64063023801543,57.309194579503874,1.0066820066325726,0.162596524902975,-0.01735349140023,24266811392.0,1.083598957969568,50.852,19.44510205502169,8.719171
DY,"Dycom Industries, Inc.",US,Industrials,31.293999329534024,33.037025211504854,-1.4685116565411456,-0.6539090820239817,-0.2066734839991131,10434078720.0,-0.1313683237993436,160.935,18.73688926094684,5.6122446
EA,Electronic Arts Inc.,US,Communication Services,46.96614146832047,52.59109121647648,0.2276921152891153,-0.1604310004133829,0.3215488930788484,50951655424.0,-0.037611711918883,36.443,20.13609495106606,8.278779
ELF,"e.l.f. Beauty, Inc.",US,Consumer Defensive,28.115990613476363,42.0294775530927,-0.4065405993952431,-0.3135852314588325,-0.53000924796675,3647384832.0,-0.5265370194810387,79.713,18.76000860647602,3.1085134
ELGIEQUIP.NS,ELGI EQUIPMENTS LTD,India,Industrials,45.74589339591015,48.48016265172519,0.3818924581827752,-0.4769486525262287,-0.3987052790714109,1627020724.2766483,0.1749703958985095,26.275,14.890194058096313,7.538084
ELS,"Equity Lifestyle Properties, In",US,Real Estate,57.804223935635264,45.15778192893182,-0.7092425768582324,0.0899239128338793,-0.0199603511044781,12822078464.0,0.9905090848038792,184.469,18.385366638490986,7.0621347
