anchor,end,hypothesis,estimate,ci_low,ci_high,p_one_sided,n,p_holm,supported,mode
2026-07-01,2026-09-23,H1,-0.04654985449543378,-0.1669639196458877,0.08939623438385164,0.7725836393821561,260,1.0,False,dry_run_window1_subperiod
2026-07-01,2026-09-23,H2,-0.02213129085167972,-0.1397943032620926,0.08536964351945914,0.36148582969236076,260,1.0,False,dry_run_window1_subperiod
2026-07-01,2026-09-23,H3,0.8169161083152868,-7.048778773786413,7.2804249783147945,0.576,260,1.0,False,dry_run_window1_subperiod
2026-07-01,2026-09-23,H4,-0.03985994660544376,-0.12041105162572642,0.040691158414838904,0.1660557728818584,260,0.6642230915274336,False,dry_run_window1_subperiod
