ticker,company_name,market_cap,total_revenue,ebitda,net_income,gross_profit,total_debt,total_cash,total_assets,roa,roe,debt_to_equity,current_ratio,quick_ratio,free_cashflow,operating_cashflow,trailing_pe,forward_pe,price_to_book,price_to_sales,enterprise_to_revenue,enterprise_to_ebitda,dividend_yield,payout_ratio,revenue_growth,earnings_growth,earnings_quarterly_growth,profit_margins,gross_margins,operating_margins,currency,sector,industry,country,price,beta,employees,52_week_high,52_week_low,50d_avg,200d_avg,avg_volume,avg_volume_10d,avg_daily_volume,avg_daily_volume_30d,avg_daily_volume_90d,price_volatility,price_volatility_30d,price_momentum_1m,price_momentum_3m,price_momentum_6m,price_momentum_12m,price_latest,max_drawdown_1y,sharpe_ratio_1y,sortino_ratio_1y,avg_daily_return,return_skewness,return_kurtosis,amihud_illiquidity,sec_revenue,scope1_emissions,renewable_energy_pct,waste_recycling_pct,carbon_reduction_target,gender_diversity_pct,safety_training_hours,employee_satisfaction,community_investment_pct,supply_chain_audit_pct,human_rights_policy,board_independence_pct,board_diversity_pct,board_size,exec_comp_esg_linked,shareholder_rights_score,ethics_compliance_score,data_privacy_score,tax_transparency_score,esg_controversy_score,esg_risk_rating,esg_data_quality_score,esg_data_source,revenue_per_employee,net_margin,operating_margin,market_share,gross_margin,debt_to_ebitda,cash_flow_to_debt,fcf_margin,pct_from_52w_high,price_log,avg_daily_volume_90d_log,total_cash_log,52_week_high_log,total_revenue_log,52_week_low_log,50d_avg_log,gross_profit_log,employees_log,avg_daily_volume_log,avg_daily_volume_30d_log,revenue_per_employee_log,200d_avg_log,total_debt_log,market_cap_log,esg_risk_rating_rank,board_size_rank,asset_turnover,cash_conversion,ebitda_margin,cash_to_assets,log_dollar_volume,sustainable_growth_rate
ZS,"Zscaler, Inc.",22279159808.0,3001123072.0,-68018000.0,-67630000.0,2299827968.0,1866436992.0,3512751104.0,,-0.014090001,-0.03556,84.995,1.901,1.746,1020966656.0,1114038016.0,28.42446,30.196573,10.131618,7.4236073,6.875,-94.4455,1.2650000000000001,0.0,0.259,0.168,0.159,0.0,0.76632005,0.0,USD,Technology,Software - Infrastructure,US,138.56,1.115,7923.0,336.99,128.0,165.4546,250.97252,2727304.0,2851290.0,2050204.1832669324,3274893.333333333,2531182.222222222,43.43205853869513,69.64019304642343,-14.448016908651995,-37.180943483887816,-54.9515561455299,-33.0757331666344,138.55999755859375,-60.40086596705023,-0.5750930851436781,-0.6835192781408763,-0.0209410839497225,-0.9274608444543544,7.818860868518289,4.476964034081269e-05,2673115000.0,38.96504745902777,40.759560012995095,59.28675798192722,1.0,29.18006128241252,37.56823844323435,38.77238098465122,66.23499472692092,47.70725925134466,0.0,20.0,39.47831515835203,40.0,40.0,20.0,90.0,60.0,55.0,90.0,40.0,48.90625,real_sec,378786.2011864193,-2.253489722929963,-2.266418216386962,0.21504137526017972,76.63224442399675,-16.31077890121734,0.5968795200561477,34.01948642244819,-58.88305290958189,4.9384946163185734,14.744197428144686,21.979665358019034,5.823016309246534,21.82225241322684,4.859812404361672,5.114722599565874,21.556100160997193,8.977651407818442,14.533450435504484,15.001796161899932,12.844729851936597,5.529320033946251,21.347297098985145,23.82691754074686,30.095541401273884,14.331210191082802,,0.37120704125525444,-2.266418216386962,0.6530262636869131,19.464753396082614,-0.03556
OKTA,"Okta, Inc.",14212091904.0,2919000064.0,249000000.0,235000000.0,2257999872.0,451000000.0,2552999936.0,,0.00999,0.03506,6.444,1.427,1.278,836124992.0,884000000.0,61.213745,18.956596,2.03203,4.868822,4.139,48.525,1.2650000000000001,0.0,0.116,1.708,1.739,0.08051,0.77355003,0.0657,USD,Technology,Software - Infrastructure,US,80.19,0.762,6366.0,127.567,68.77,80.8154,88.35632,3314165.0,3966990.0,2901759.760956175,4005893.3333333335,3200943.333333333,44.20858276678329,63.6216581522374,0.6779672381448609,-4.124817041389372,-15.518327024534472,-23.90396229697632,80.19000244140625,-45.39670033788688,-0.3819185124726939,-0.4762392978920882,-0.0096706855921996,0.4622057184684625,17.140905297826176,7.745801790331173e-05,2919000000.0,52.06905360143228,48.8652091244029,62.760607601102,0.0,43.07545975911162,44.11722446518838,47.06281696644884,55.81310082233545,34.96981064770382,0.0,20.0,49.19063962756554,40.0,60.0,0.0,90.0,30.0,40.0,90.0,20.0,48.90625,real_sec,458529.699026076,8.050702118792415,8.530318415231115,0.20915696327268532,77.35525256912088,1.8112449799196788,1.960088691796009,28.64422657306252,-37.13891523669914,4.396792086874355,14.978956428401952,21.660534950528906,4.85645016923133,21.794506951086287,4.245204117951145,4.404465489947927,21.537745246429417,8.758883680017025,14.880828269660686,15.203277417759004,13.035782523783105,4.492631972176159,19.926977899684246,23.377358981802548,13.694267515923567,14.331210191082802,,0.3028434328941488,8.530318415231115,0.8498668410091471,19.26522674815874,0.03506
CRWD,"CrowdStrike Holdings, Inc.",101222457344.0,4812004864.0,-46664000.0,-162502000.0,3599789056.0,820076992.0,5230125056.0,,-0.015700001,-0.04137,18.336,1.773,1.592,1604615040.0,1612349056.0,28.42446,57.555233225000016,22.835564,12.902124324999992,15.355,-94.4455,1.2650000000000001,0.0,0.233,0.168,0.159,0.0,0.74808997,0.0100300005,USD,Technology,Software - Infrastructure,US,399.12,1.072,10698.0,566.9,298.0,413.469,463.91104,3936745.0,3943780.0,4097508.167330677,4794710.0,3426318.888888889,46.98682640499676,58.13813995359392,-6.345036679312866,-12.00670070710922,-19.66183475763035,7.4376175964743,399.1199951171875,-37.17827173511796,0.4369848832773566,0.6388779867645852,0.0878635540660607,0.0284634061145089,4.157207247829451,1.4969895436337642e-05,,41.26399590506366,26.864161536296,56.97085823581071,1.0,33.81186077464555,41.49763005640677,44.694120971649525,63.91901830367971,43.07545975911162,1.0,10.0,49.19063962756554,40.0,0.0,0.0,0.0,30.0,90.0,90.0,0.0,48.90625,real_sec,449804.1562908955,-3.3770123803432632,-0.9697413306687797,0.34479763704713345,74.80850825673646,-16.31077890121734,1.9660947346758388,33.34608100678761,-29.596048685835243,5.99176450211698,15.046997324461548,22.377701026209643,6.341945346883387,22.294379646072464,5.700443573390687,6.026998182876229,22.004141085413927,9.277905558138606,15.225889826896138,15.383023993367553,13.016569781960756,6.141846075456957,20.524908787717255,25.340586479704992,2.388535031847134,14.331210191082802,,0.33506804368849447,-0.9697413306687797,0.8644546106900528,21.215151707009657,-0.04137
FTNT,"Fortinet, Inc.",61373280256.0,6799600128.0,2226299904.0,1853400064.0,5470700032.0,1061800000.0,3582500096.0,,0.12866001,1.3571601,85.802,1.172,1.048,1746974976.0,2590599936.0,34.103306,24.943481,31.549033950000002,9.026013,8.61,26.297,1.2650000000000001,0.0,0.148,-0.011,-0.038,0.27257,0.80456,0.32766,USD,Technology,Software - Infrastructure,US,82.53,0.998,15109.0,109.33,70.12,81.6516,85.1846,6775583.0,6920090.0,5543724.302788844,6295820.0,6378827.777777778,40.51729401978549,33.747773592014866,-2.238805295714508,5.970726360901124,-4.357401896323165,-15.85440738321262,82.52999877929688,-31.557643096243947,-0.151754917217848,-0.1616406716196143,0.0616125786794688,0.6640047189326332,31.618385439112405,3.3108041080215024e-05,6799600000.0,74.82864321718745,37.28571039382032,68.55035696639328,1.0,67.39240709333504,63.10928392885508,45.87846896904918,46.54919512937059,30.338011155470788,0.0,30.0,48.38127925513108,40.0,30.0,50.0,90.0,80.0,90.0,90.0,50.0,48.90625,real_sec,450036.410616189,27.25748616257453,32.74162983250065,0.4872160613426566,80.45620226213397,0.4769348451627117,2.4398191147108683,25.6923192998681,-24.51294246775816,4.425205848767815,15.668495061317806,21.999326744742664,4.703475874772215,22.64012964284059,4.264368591205649,4.414634182821337,22.422672421974422,9.623112055266786,15.528177270065296,15.655396637925532,13.017085992993646,4.456491507416725,20.783231419055642,24.840240402415976,40.92356687898089,14.331210191082802,,0.3809929830038382,32.74162983250065,0.7713756695191817,19.941338955471434,1.3571601
QLYS,"Qualys, Inc.",3168440064.0,669124992.0,236443008.0,198320000.0,554356992.0,52274000.0,445939008.0,,0.13412,0.38202,9.315,1.407,1.32,259132000.0,309400000.0,16.242647,11.070684,5.6262336,4.735199,4.123,11.667,1.2650000000000001,0.0,0.101,0.236,0.209,0.29639,0.82848,0.33566,USD,Technology,Software - Infrastructure,US,88.36,0.612,2625.0,155.47,82.06,104.1826,128.389,684522.0,810490.0,415275.2988047809,757543.3333333334,592863.3333333334,39.80429845648888,52.93785834814692,-11.151328987634168,-32.55476351787722,-32.43615121952471,-31.5357180521906,88.36000061035156,-44.32380002970404,-0.7175730989355721,-0.986360797140244,-0.0952415700623794,2.287753835710815,28.285713880441097,0.0002931773187385,94801000.0,77.35748650782693,51.18110887051942,69.70830683945154,0.0,69.70830683945155,50.666210487142415,29.29759700545393,69.70895936178273,33.81186077464557,0.0,70.0,43.52511702052432,40.0,70.0,20.0,90.0,30.0,90.0,67.5,60.0,51.25,real_sec,254904.75885714285,29.638707621310907,35.336149572485255,0.04794523751561654,82.84804761858304,0.2210849897494114,5.918812411523893,38.72699467187141,-43.16588409339423,4.492673154760945,13.292720871592074,19.915692749511976,5.052864298313966,20.321481436216395,4.419563238202607,4.655697887384103,20.13331942887713,7.873217054862741,12.93669935793197,13.537837340505675,12.448649182722347,4.862823370725463,17.772009692622905,21.876505210658138,55.891719745222936,14.331210191082802,,0.46239492426551004,35.336149572485255,0.8950770069014337,17.41811635569827,0.38202
VRNS,"Varonis Systems, Inc.",2656226560.0,623532032.0,-134205000.0,-129324000.0,491558016.0,521747008.0,920966016.0,,-0.052989997,-0.24531999,87.153,1.971,1.837,215746880.0,147431008.0,28.42446,54.311405,4.423719,4.2599683,3.603,-16.742,1.2650000000000001,0.0,0.094,0.168,0.159,0.0,0.78834,0.0,USD,Technology,Software - Infrastructure,US,22.53,0.675,2658.0,63.9,20.06,25.1147,41.927925,3156909.0,2425390.0,1794326.892430279,2319123.333333333,2800155.5555555555,52.00712914736816,53.47447245654288,-5.455305250619446,-29.681647806299104,-54.99627278870142,-45.78922054337406,22.530000686645508,-66.70352319309978,-0.5061126881729204,-0.424991260986265,-0.0785502635557185,-3.449688002543397,57.906905515054156,0.0002348591205547,270288000.0,41.03410106046007,52.33905874357768,67.39240709333502,0.0,25.70621166323774,27.089860808107893,25.744553013254954,67.39298293854152,50.02315899746117,0.0,40.0,41.09703590322094,40.0,60.0,20.0,90.0,30.0,84.2,72.5,50.0,48.90625,real_sec,234586.9194883371,-20.74055435214594,-21.52335294941191,0.04467833623054243,78.83444486778187,-3.887686807495995,0.2825718322087627,34.60076931540864,-64.66541496383309,3.158276202739271,14.845185886280788,20.64093369560181,4.1728476237100445,20.250910697867305,3.0473755067058295,3.262498374171503,20.013090531277,7.88570539124302,14.400141076600432,14.656700229864397,12.365585719793536,3.7595225465702997,20.072693371274582,21.70017236650395,40.92356687898089,14.331210191082802,,0.236444962622225,-21.52335294941191,0.6383570402979879,17.514988298469135,-0.24531999
ESTC,Elastic N.V.,5339239424.0,1677081984.0,-16481000.0,-84515000.0,1275694976.0,591676032.0,1248045952.0,,-0.0071799997,-0.10244001,74.802,1.818,1.633,387170752.0,261163008.0,28.42446,17.905098,6.6714945,3.1836483,2.736,-94.4455,1.2650000000000001,0.0,0.177,0.168,0.159,0.0,0.76066,0.00233,USD,Technology,Software - Application,US,50.67,1.029,3921.0,96.07,47.49,57.6878,76.0265,2149272.0,2142590.0,1628797.609561753,2556340.0,2066857.7777777773,52.61584331546722,70.17158253621801,-4.432293980627932,-30.168136888334097,-42.14432848872308,-44.556298821154606,50.66999816894531,-48.639780003379,-0.8847505145241302,-1.0596445710840463,-0.0742499654756362,-0.977934737416892,11.707618888038208,0.0001590567556424,1483296000.0,41.03410106046007,60.44470785498548,58.12880810886896,0.0,32.653910901587295,33.63884683006192,43.509772974249856,44.23321870612937,45.39135950522814,0.0,50.0,36.240873668614185,40.0,30.0,80.0,90.0,80.0,55.0,80.0,70.0,48.90625,real_sec,427717.9250191278,-5.039407781271592,-0.9827188030898316,0.1201690192675413,76.06634548403807,-16.31077890121734,0.4413952803144813,23.085976457546877,-47.25720828562506,3.9448773422990935,14.541540514016225,20.94484492752986,4.575432367724135,21.24032120648756,3.881357591117261,4.072231868776503,20.96675694705466,8.274357006756292,14.303353251679917,14.754087497161624,12.96622154158568,4.344149518489801,20.198469801502917,22.39834904999915,72.92993630573248,14.331210191082802,,0.15572465180092232,-0.9827188030898316,0.678388345007677,18.22868666933474,-0.10244001
DOCN,"DigitalOcean Holdings, Inc.",9356012544.0,901427008.0,284300000.0,259262000.0,539592000.0,1701208064.0,254475008.0,,0.05644,0.127944998,28.275,0.689,0.603,112400376.0,309604000.0,35.718254,51.589645,-0.9948549107227489,10.379113,10.791,34.215,1.2650000000000001,0.0,0.183,0.901,0.405,0.28761,0.59860003,0.16006,USD,Technology,Software - Infrastructure,US,90.01,1.434,1462.0,91.53,25.45,66.8374,45.61065,3755550.0,5407730.0,1924998.605577689,4491413.333333333,3059567.777777778,62.64154506090054,85.24304838032525,23.106676167973784,60.1468184804888,102.82064825567291,155.78290891979023,90.01000213623047,-26.854217744749587,1.707635219985752,3.074381639899107,0.25440402844925825,1.0422175209141205,7.150509941087005,0.0004562130930017,901427000.0,49.7701051553964,31.495961028529035,46.54930937828639,0.0,52.33905874357768,36.91333984103894,50.61586095864782,32.6533365899233,24.54826179017949,0.0,10.0,29.765990689138512,40.0,30.0,20.0,10.0,80.0,90.0,50.0,20.0,48.90625,real_sec,616571.1409028728,28.76128601640478,31.538881959037106,0.06459052123037659,59.85975516722037,5.983848272951108,0.18199067271762,12.469160009902875,-1.6606577078553395,4.510969390589264,14.93378454170324,19.35471319266961,4.527532916260939,20.61948963116221,3.2752561583043085,4.21711366527751,20.106323858244338,7.288244401020124,14.470436320809293,15.317678206405569,13.33193061161468,3.8418290557926684,21.254604462103735,22.959285026518234,13.694267515923567,14.331210191082802,,0.3434598666917244,31.538881959037106,0.13012078063331523,18.970356582368897,0.127944998
PAYC,"Paycom Software, Inc.",6784200192.0,2051699968.0,634499968.0,453400000.0,1788700032.0,90300000.0,370000000.0,,0.05268,0.27417,5.215,1.088,0.15910000000000002,260975008.0,678899968.0,15.292079,10.730799,3.8178225,3.306624,3.065,9.912,1.21,0.1856,0.102,0.021,0.002,0.22099,0.87181,0.28863,USD,Technology,Software - Application,US,123.56,0.796,5770.0,267.76,104.9,128.0706,181.22185,1891831.0,2420110.0,847394.2231075697,2198133.333333333,1533640.0,38.82464013034219,45.15136143833496,-9.339491395588851,-18.70297886250625,-38.33356509443288,-42.98589367626921,123.55999755859376,-56.76509728406995,-1.3031786859054744,-1.809630541834669,-0.0622210452182158,1.06217019943037,14.876879770445896,0.0001151436803491,150332000.0,75.51832775099822,59.28675798192722,74.34010633168457,1.0,63.91855747416027,53.94070349811943,36.4036849898519,61.60304188043848,52.339058743577695,0.0,20.0,42.71575664808986,40.0,60.0,50.0,90.0,80.0,90.0,62.5,50.0,48.90625,real_sec,355580.5837088388,22.09874772489152,30.9255728369734,0.1470117593164759,87.18136471696822,0.1423167920474977,7.518272070874861,12.719940150625376,-53.85419778906484,4.824787527525743,14.243155204837171,19.729013566305248,5.593818788051949,21.441934539627013,4.662495252607361,4.860359541476564,21.304754954412626,8.660600654710967,13.649922480042315,14.603119528244399,12.781509991935549,5.2052249007970115,18.31864802946141,22.63786224458198,40.92356687898089,14.331210191082802,,0.3308963194368973,30.9255728369734,0.8038235933087117,18.466648177555832,0.223284048
MANH,"Manhattan Associates, Inc.",8108349952.0,1081392000.0,289054016.0,219948000.0,609052992.0,61063000.0,328747008.0,,0.21440319999999996,0.71656996,19.4,1.279,1.207,312002624.0,389470016.0,37.27424,22.873928,25.581747,7.4980674,7.199,26.934,1.2650000000000001,0.0,0.057,0.101,0.082,0.20339,0.56321,0.24784,USD,Technology,Software - Application,US,134.56,1.047,4370.0,247.22,126.0,143.4982,181.8606,798573.0,556430.0,611224.3027888446,651316.6666666666,706392.2222222222,41.16094246653468,49.33890918534347,-8.462586694834185,-19.560020002076094,-33.17441539991918,-24.780592533011024,134.55999755859375,-44.10809855166688,-0.4509560837628212,-0.6205654504816882,-0.0819990525550764,-1.6723980953873947,19.94008103285379,0.0001409715214601,131300000.0,55.74737111508968,39.60161013993684,44.233409632169874,0.0,61.60265772804374,51.32110908933782,28.113249008054275,56.971089033956055,31.495961028529045,0.0,50.0,37.85959441348311,40.0,60.0,50.0,90.0,30.0,90.0,47.5,60.0,48.90625,real_sec,247458.1235697941,20.33934040569932,26.729808986935357,0.07748566696412917,56.32120378179236,0.2112511732063255,6.3781670733504745,28.851944900646576,-45.57074670334115,4.909414346738851,13.467927333410204,19.610799043316,5.5143154497013755,20.801514937991904,4.844187086458591,4.973267050727496,20.227415838308822,8.382747094863314,13.32322091451951,13.386752769403316,12.419000690057153,5.2087241139296285,17.92741669244191,22.816160226050222,55.891719745222936,14.331210191082802,,0.36015618388151566,26.729808986935353,0.8433518925968674,18.22522948684348,0.71656996
