component,eigenvalue,variance_explained,cumulative_variance
PC1,1.9619264726286998,0.24115346226061107,0.24115346226061107
PC2,1.73516112641143,0.21328022178807166,0.45443368404868273
PC3,1.418266056206752,0.1743285360754133,0.628762220124096
PC4,1.0950906352261485,0.1346048905798808,0.7633671107039768
PC5,0.7421452558408661,0.09122202103043982,0.8545891317344166
PC6,0.6598247498445969,0.08110345883506506,0.9356925905694817
PC7,0.3668268194317129,0.04508912988848139,0.9807817204579631
PC8,0.15635210474877542,0.019218279542036983,1.0
