esg_weight,financial_weight,risk_adj_weight,operational_weight,mean_score,std_score,score_sharpe,return_sharpe,kendall_vs_base,top10_overlap
0.3,0.35,0.05,0.086,50.18587360594796,19.331231369235063,2.5961033028427414,0.1665875031553821,0.7713477223547689,6
0.3,0.15,0.2,0.1,50.185873605947954,16.18626427809277,3.1005223159220106,0.15746001639780574,0.8551850413360707,8
0.25,0.25,0.05,0.129,50.185873605947954,17.1197942476693,2.931453081714878,0.13987989647589136,0.7828330466625978,6
0.25,0.3,0.05,0.114,50.185873605947954,17.79292943083077,2.820551489329583,0.12368358399855774,0.7857737335626699,6
0.3,0.25,0.05,0.114,50.185873605947954,17.879288780503693,2.806927849411549,0.10926310094286308,0.7745103478888088,6
0.3,0.2,0.05,0.129,50.185873605947954,17.273799922169015,2.905317523172733,0.10926310094286303,0.7664650724074793,7
0.2,0.35,0.05,0.114,50.185873605947954,17.804841740348365,2.8186644025000005,0.0938303402168619,0.7851634023192587,6
0.25,0.35,0.05,0.1,50.185873605947954,18.544773684237512,2.706200380775409,0.0938303402168619,0.7806522312828835,6
0.3,0.3,0.05,0.1,50.185873605947954,18.568066174570674,2.7028056198123744,0.09363162961560631,0.7760639183265827,6
0.3,0.35,0.1,0.071,50.18587360594796,19.130707306420064,2.6233151133332004,0.0794781499860309,0.7997558675026355,7
0.25,0.2,0.1,0.129,50.18587360594796,16.211373823607246,3.0957199649888385,0.0767821076890122,0.8180658048049714,8
0.3,0.2,0.1,0.114,50.18587360594797,16.961362231359388,2.9588350818228992,0.07678210768901218,0.8130167008822061,8
0.3,0.15,0.15,0.114,50.18587360594796,16.21480411136314,3.0950650566582425,0.07012706510838239,0.8331576319147755,7
0.3,0.3,0.1,0.086,50.18587360594796,18.332101179515657,2.737595276953416,0.04106988816765435,0.8086168870678492,7
0.3,0.25,0.1,0.1,50.185873605947954,17.605885830856568,2.850516815104284,0.028431772315816534,0.8151312967426765,7
0.3,0.3,0.2,0.057,50.185873605947954,18.29756798919169,2.742761968985075,0.027623328576599163,0.8349331409865172,7
0.25,0.15,0.1,0.143,50.18587360594797,15.682846560578083,3.2000487546552945,0.024228157713903003,0.7997003828441436,7
0.3,0.15,0.1,0.129,50.185873605947954,16.40815992787383,3.0585924214687483,0.02422815771390299,0.7973700271874827,8
0.3,0.3,0.15,0.071,50.185873605947954,18.24121444991949,2.751235327201273,0.02164970876628767,0.8303116894724554,8
0.25,0.15,0.2,0.114,50.18587360594796,15.456964181428184,3.246813088039791,0.0178817449325578,0.8684458747156412,8
0.25,0.35,0.1,0.086,50.18587360594797,18.33835870500615,2.736661138162499,0.01656893571488578,0.8091882594462632,7
0.3,0.2,0.15,0.1,50.185873605947954,16.804004656474945,2.9865424719643605,0.013615872299783224,0.8451978028075238,7
0.1,0.15,0.2,0.157,50.185873605947954,13.67608551035221,3.669608059089162,0.013365123052264397,0.8307163069411307,7
0.15,0.35,0.2,0.086,50.18587360594796,16.93851598910409,2.9628258837984607,0.013103633329104582,0.8369305886922267,8
0.3,0.35,0.15,0.057,50.185873605947954,19.069728277983373,2.6317036548248054,0.012909923306238703,0.8127392775897464,7
0.25,0.2,0.2,0.1,50.18587360594795,16.055027683332142,3.1258665257697977,0.00878278394797525,0.8777672973422849,8
0.25,0.25,0.1,0.114,50.185873605947954,16.837010330694465,2.9806879380574633,0.00677708903486021,0.8272207734561394,7
0.2,0.25,0.05,0.143,50.185873605947954,16.41332923324788,3.057629131327148,0.005510268387385826,0.7829440159795816,6
0.3,0.25,0.2,0.071,50.18587360594795,17.513225555326585,2.8655985413490854,-0.003350520860146396,0.853465016922821,7
0.15,0.15,0.2,0.143,50.18587360594796,14.192879324120799,3.535989594465407,-0.004852878205287726,0.8557398879209899,7
0.1,0.25,0.2,0.129,50.185873605947954,14.796221842388247,3.39180326844223,-0.005036995362801175,0.8698884758364313,8
0.2,0.25,0.2,0.1,50.185873605947954,16.032384656666334,3.130281282564377,-0.006127674148686394,0.8847274243937451,8
0.25,0.3,0.2,0.071,50.185873605947954,17.518966584504682,2.86465947426661,-0.006273775565584287,0.8519510064489167,7
0.25,0.25,0.2,0.086,50.185873605947954,16.746026297012698,2.9968825269670614,-0.006273775565584313,0.8707762303723021,8
0.1,0.2,0.1,0.171,50.185873605947954,14.336001557904332,3.5006883476465083,-0.0063498171772070405,0.7990345669422405,8
0.1,0.25,0.1,0.157,50.185873605947954,14.879106886490755,3.3729090051215453,-0.008363107980079035,0.8194529212672695,8
0.1,0.3,0.1,0.143,50.18587360594797,15.526558325400687,3.2322600124151863,-0.00836310798007905,0.8255954280801496,7
0.1,0.2,0.2,0.143,50.185873605947954,14.179989158574157,3.539203947504314,-0.011244128656422058,0.8617561384922705,7
0.15,0.3,0.05,0.143,50.18587360594797,16.39798009563429,3.0604911893388103,-0.011256380473943806,0.7885311620794413,6
0.25,0.15,0.05,0.157,50.185873605947954,16.04815633179587,3.127204930463136,-0.013392279234504843,0.7498751595183932,7
0.3,0.15,0.05,0.143,50.185873605947954,16.76062859282667,2.994271564917764,-0.013392279234504851,0.7505409754202963,7
0.1,0.25,0.15,0.143,50.18587360594797,14.746743433544829,3.4031834778822043,-0.016981722894078795,0.8591641121077374,8
0.25,0.35,0.2,0.057,50.185873605947954,18.363504411163294,2.732913744675354,-0.018849193825555985,0.8273317427731233,7
0.1,0.35,0.2,0.1,50.185873605947954,16.3125194012499,3.076524991093341,-0.01962258812075766,0.8323484536425568,8
0.1,0.3,0.2,0.114,50.185873605947954,15.511401603405314,3.235418364424708,-0.02054534346733857,0.856778238697512,9
0.1,0.15,0.1,0.186,50.185873605947954,13.90947052255857,3.6080362314435344,-0.034680474386193705,0.7639682627753427,7
0.25,0.2,0.05,0.143,50.185873605947954,16.534983612196584,3.0351329510013056,-0.03483602355978491,0.7682789808065992,6
0.2,0.2,0.05,0.157,50.185873605947954,15.853038699588973,3.165694259418705,-0.03483602355978492,0.7678521888697775,6
0.3,0.25,0.15,0.086,50.18587360594796,17.482808219529716,2.870584231977058,-0.03549577810289324,0.8441990789546691,7
0.3,0.2,0.2,0.086,50.18587360594798,16.806083868809758,2.9861729833913793,-0.035495778102893276,0.861676746379626,8
0.15,0.35,0.05,0.129,50.18587360594794,17.1174700656577,2.931851109606511,-0.043605804322816105,0.7859233469566369,6
0.15,0.2,0.2,0.129,50.185873605947954,14.733558045444019,3.4062290623089546,-0.04418545291440266,0.8831493092160019,7
0.2,0.15,0.2,0.129,50.185873605947954,14.789589777347388,3.393324247740548,-0.047940419370058475,0.8687787826665928,7
0.25,0.35,0.15,0.071,50.185873605947954,18.277452988492403,2.7457804781262856,-0.0532387339619715,0.8258173697927288,7
0.2,0.35,0.1,0.1,50.185873605947954,17.59256864683518,2.8526745930697786,-0.05881011938158856,0.8161074198673934,7
0.25,0.3,0.1,0.1,50.18587360594796,17.549373297190918,2.8596960561375213,-0.058810119381588595,0.8203961604616324,7
0.2,0.35,0.2,0.071,50.18587360594794,17.62441466434241,2.8475200204633686,-0.06964480240773649,0.8355434722299285,7
0.1,0.3,0.15,0.129,50.185873605947954,15.432019867389453,3.252061236110397,-0.07026125168031326,0.8558508572379737,8
0.2,0.3,0.2,0.086,50.18587360594797,16.790444297559944,2.988954474119681,-0.07240262322820408,0.8621206236475615,7
0.2,0.2,0.2,0.114,50.185873605947954,15.361478004092852,3.2669951154602392,-0.07413628396110104,0.8872397387489924,8
0.2,0.3,0.05,0.129,50.18587360594794,17.067373191220273,2.940456802776792,-0.07815406502585551,0.7888808744382177,6
0.1,0.35,0.1,0.129,50.18587360594796,16.265900397629192,3.085342488200296,-0.09384618241247085,0.8163457803917217,7
0.1,0.35,0.15,0.114,50.18587360594796,16.206398214942137,3.0966703977054832,-0.10289884621178733,0.8360983188148478,8
0.1,0.35,0.05,0.143,50.18587360594796,16.489233067341132,3.0435541423113635,-0.1048902114058305,0.7805967458547388,6
0.15,0.25,0.2,0.114,50.185873605947954,15.37975788069995,3.263112072043726,-0.11127035613643005,0.8859235421405982,8
0.1,0.15,0.15,0.171,50.185873605947954,13.695356263076961,3.66444454905375,-0.11195636059133988,0.8092437441047551,7
0.15,0.2,0.1,0.157,50.18587360594795,14.890440128188406,3.3703418551481463,-0.11195636059133988,0.8172171284302889,8
0.15,0.25,0.1,0.143,50.18587360594797,15.46593740453977,3.244929310970329,-0.11195636059133988,0.8313104271790613,7
0.2,0.2,0.1,0.143,50.18587360594797,15.51841188410285,3.2339567979269366,-0.11195636059133988,0.821456811042984,8
0.1,0.2,0.15,0.157,50.185873605947954,14.163507942002349,3.5433223048342257,-0.1119563605913399,0.8428119624923709,7
0.2,0.15,0.15,0.143,50.18587360594796,14.814116931835482,3.3877060533901915,-0.11287586987581827,0.841202907396105,7
0.25,0.15,0.15,0.129,50.185873605947954,15.483641354497347,3.241219068345764,-0.11287586987581831,0.8409809687621373,7
0.15,0.15,0.15,0.157,50.185873605947954,14.214943017686057,3.5305012157385547,-0.11802625074580816,0.8319924540864451,7
0.15,0.15,0.1,0.171,50.18587360594796,14.424787875121641,3.4791411866898487,-0.12048544056303834,0.7874937579759196,7
0.2,0.15,0.1,0.157,50.185873605947954,15.018897227065628,3.341515215589437,-0.12048544056303834,0.798590689674305,7
0.15,0.3,0.2,0.1,50.18587360594795,16.118792848117,3.1135007490030078,-0.1236457319578196,0.8647838872551741,8
0.25,0.25,0.15,0.1,50.185873605947954,16.71124164831812,3.0031205736707505,-0.13209363681258826,0.8609951312365148,7
0.15,0.35,0.15,0.1,50.185873605947954,16.839290097837562,2.980284401187115,-0.1362313876070455,0.8395849530181632,8
0.25,0.2,0.15,0.114,50.185873605947954,16.049757574526023,3.1268929373294503,-0.14501239932624338,0.859457360039949,7
0.15,0.25,0.05,0.157,50.18587360594796,15.767023549358345,3.1829643336628384,-0.15824824474979768,0.7800588137380015,6
0.25,0.3,0.15,0.086,50.18587360594797,17.457256006514317,2.874785910622679,-0.16195727367066942,0.8463629806358542,7
0.15,0.3,0.1,0.129,50.185873605947954,16.139533543823152,3.109499631409355,-0.16795053833199508,0.8327137546468402,7
0.2,0.35,0.15,0.086,50.18587360594796,17.531904418731976,2.8625454717880263,-0.170321965518537,0.8348776563280252,7
0.1,0.3,0.05,0.157,50.185873605947954,15.791893757109204,3.1779515729731562,-0.1717601525270424,0.7801697830549853,6
0.2,0.25,0.1,0.129,50.185873605947954,16.12123604173206,3.113028894045317,-0.17839776008869274,0.831865281460509,7
0.2,0.15,0.05,0.171,50.185873605947954,15.396740113524467,3.2595129381666204,-0.1787810105746002,0.7461576873994341,7
0.15,0.15,0.05,0.186,50.18587360594795,14.814436345930941,3.3876330110523347,-0.1787810105746002,0.7354491483104921,7
0.1,0.15,0.05,0.2,50.185873605947954,14.309684693327066,3.5071264448615045,-0.1787810105746002,0.7148088553514954,7
0.15,0.35,0.1,0.114,50.18587360594796,16.899502266170874,2.9696657815841236,-0.19364087191020501,0.8205071297786163,7
0.15,0.2,0.05,0.171,50.18587360594796,15.23560378246607,3.2939865280150626,-0.19893757597904826,0.7618598457526494,7
0.2,0.25,0.15,0.114,50.18587360594796,15.992943608563158,3.1380010355794017,-0.2070429311936202,0.8703323531043667,7
0.15,0.25,0.15,0.129,50.185873605947954,15.335401095356223,3.2725504402240704,-0.2070429311936202,0.8719257605810351,8
0.2,0.2,0.15,0.129,50.185873605947954,15.352735832999024,3.2688554112780364,-0.2109001295771945,0.8650613105476336,7
0.2,0.3,0.15,0.1,50.185873605947954,16.723076977535612,3.000995192036931,-0.21553566457054377,0.85718248904178,7
0.15,0.3,0.15,0.114,50.185873605947954,16.045511944676488,3.12772031074307,-0.2155356645705438,0.8618671108879299,7
0.15,0.2,0.15,0.143,50.18587360594796,14.721070292788548,3.409118536047732,-0.21958502212838432,0.8615657770626421,7
0.1,0.2,0.05,0.186,50.18587360594795,14.69081491519432,3.4161395331242255,-0.22497098909997765,0.7467125339843533,7
0.1,0.25,0.05,0.171,50.18587360594797,15.188558863289979,3.3041892952012986,-0.2249709890999777,0.7699606058924707,6
0.2,0.3,0.1,0.114,50.18587360594796,16.816263147408492,2.9843653828278454,-0.27653823504935643,0.8303279143316873,7
