sector,India,US,diff_US_India
Basic Materials,45.8953,52.0758,6.180500000000002
Communication Services,50.2746,53.5977,3.3231000000000037
Consumer Cyclical,41.6641,43.6877,2.023600000000002
Consumer Defensive,41.9143,51.4041,9.489800000000002
Energy,54.9937,55.052,0.05830000000000268
Financial Services,55.326,50.6836,-4.642400000000002
Healthcare,50.8168,52.3658,1.5489999999999995
Industrials,51.9338,50.6072,-1.3265999999999991
Technology,53.2533,47.3168,-5.936500000000002
Utilities,,53.9326,
