sector,India,US,diff_US_India
Basic Materials,42.9883,38.4684,-4.5199
Communication Services,51.9547,50.4621,-1.492600000000003
Consumer Cyclical,48.6913,46.5493,-2.141999999999996
Consumer Defensive,48.7781,49.8268,1.0486999999999966
Energy,41.9999,44.9694,2.9695000000000036
Financial Services,52.1093,52.1951,0.08579999999999899
Healthcare,54.6001,48.8419,-5.758199999999995
Industrials,47.1038,39.8751,-7.228699999999996
Technology,57.2057,53.8184,-3.3873000000000033
Utilities,,46.5811,
