sector,India,US,diff_US_India
Basic Materials,57.4776,57.137,-0.340600000000002
Communication Services,43.4511,52.3783,8.927200000000006
Consumer Cyclical,54.8768,49.319,-5.5578
Consumer Defensive,52.3061,59.5311,7.225000000000001
Energy,55.033,60.9146,5.881599999999999
Financial Services,48.4843,48.9615,0.4772000000000034
Healthcare,45.7843,47.5995,1.8151999999999973
Industrials,46.5233,44.517,-2.006299999999996
Technology,46.3141,44.6025,-1.7116000000000042
Utilities,,45.1532,
