cv_method,cv_variant,fold,train_csir,test_csir,train_n,test_n,overfit_ratio,weight_concentration_hhi,max_weight,max_weight_factor,return_col_used,n_draws,dirichlet_alpha,w_ESG_composite,w_financial_score,w_market_score,w_operational_score
5fold,original,1,1.3297378181531534,1.135425523695582,221,55,1.1711360985685881,0.6195811723836354,0.7686982410819709,market_score,price_momentum_6m,2000,2.0,0.16209612189882042,0.03192665438299993,0.7686982410819709,0.03727898263620863
5fold,original,2,1.585426024897856,0.458825614331983,221,55,3.455399993002967,0.6082225508933746,0.7665306416962636,market_score,price_momentum_6m,2000,2.0,0.0415274722619933,0.08003432680243365,0.7665306416962636,0.11190755923930945
5fold,original,3,0.9583712121422877,1.7224889183091185,221,55,0.5563874471990415,0.6860207804154411,0.8202227204378058,market_score,price_momentum_6m,2000,2.0,0.07492454167400349,0.0851733842787933,0.8202227204378058,0.01967935360939761
5fold,original,4,1.7787326249136244,0.7552252907970234,221,55,2.355234453021196,0.6279551891939642,0.7788981507251838,market_score,price_momentum_6m,2000,2.0,0.07721195245118419,0.022150253987753648,0.7788981507251838,0.12173964283587839
5fold,original,5,1.3085780261863869,0.7184907064029282,221,55,1.8212873379470131,0.6375464210990951,0.7813955929990769,market_score,price_momentum_6m,2000,2.0,0.15758471561591328,0.01883285171702259,0.7813955929990769,0.04218683966798734
5fold,ex_market,1,0.2010129420956793,0.36695216362481725,221,55,0.5477905895287807,0.44842977071048185,0.5653941233558352,financial_score,price_momentum_6m,2000,2.0,0.3482955373083362,0.5653941233558352,,0.08631033933582863
5fold,ex_market,2,0.1984929142730082,-0.8119766764769407,221,55,-0.2444564235005965,0.6983277506873564,0.8184459577488061,financial_score,price_momentum_6m,2000,2.0,0.16821418856837494,0.8184459577488061,,0.013339853682818825
5fold,ex_market,3,-0.1517473010344434,0.3453093503342437,221,55,-0.43945320578088487,0.557219686454095,0.6803525097427675,ESG_composite,price_momentum_6m,2000,2.0,0.6803525097427675,0.3068830697682643,,0.01276442048896812
5fold,ex_market,4,0.3067985936702837,0.2818879303565991,221,55,1.088370804572351,0.43571967966907654,0.5032143640859765,financial_score,price_momentum_6m,2000,2.0,0.4202895884638664,0.5032143640859765,,0.07649604745015698
5fold,ex_market,5,0.2989124645510464,-0.8009320134721832,221,55,-0.37320578970558077,0.4799419802762346,0.6384750438242186,financial_score,price_momentum_6m,2000,2.0,0.23967534476804125,0.6384750438242186,,0.1218496114077401
leave5out,original,1,1.1468627215381224,-0.3731288912549897,271,5,-3.073636881850943,0.6790450324102776,0.8143510381111277,market_score,price_momentum_6m,2000,2.0,0.025795324435224514,0.11482257542664648,0.8143510381111277,0.045031062027001356
