scenario,n_exited_imputed,exited_tickers,exited_in_top_n,H1_ic,H3_excess_pp
worst_case_p05,9,CFLT;CWAN;EXAS;HOLX;WBS;HLX;CTRA;SEE;EA,1,-0.08326707161320632,-3.366449784194928
best_case_p95,9,CFLT;CWAN;EXAS;HOLX;WBS;HLX;CTRA;SEE;EA,1,-0.08956192351293157,-1.3242223735346772
