,ESG_composite,financial_score,market_score,operational_score,risk_adjusted_score,growth_score,value_score,stability_score,similarity_rank,sector_position
ESG_composite,1.0,0.5700537163604563,0.21214112513085293,0.570743187671578,-0.003507400468961735,-0.049201942254721236,0.0474025191817347,0.09459840890471069,0.6945992524072747,0.5924781413627638
financial_score,0.5700537163604563,1.0,0.21844797891840823,0.3444160511540674,0.16558856950940257,0.002758246604432367,-0.17377138896785033,0.41503382308576464,0.21645379578953683,0.5270838710473533
market_score,0.21214112513085293,0.21844797891840823,1.0,0.3226733835165308,0.2675650316556346,0.05680784059809609,-0.06825404392437114,0.13151938284596096,-0.055786794978581765,0.1518153318865723
operational_score,0.570743187671578,0.3444160511540674,0.3226733835165308,1.0,-0.045628401789956356,0.079532424873793,0.1308634784600827,0.11049760735506986,0.29926270201304606,0.5770211956778021
risk_adjusted_score,-0.003507400468961735,0.16558856950940257,0.2675650316556346,-0.045628401789956356,1.0,0.30340878330939935,-0.46838670185851433,0.21607296987656227,-0.03942232999124988,0.09821624611276959
growth_score,-0.049201942254721236,0.002758246604432367,0.05680784059809609,0.079532424873793,0.30340878330939935,1.0,-0.2683096637083335,0.04213351211668773,-0.11975277913946035,0.09595842238281105
value_score,0.0474025191817347,-0.17377138896785033,-0.06825404392437114,0.1308634784600827,-0.46838670185851433,-0.2683096637083335,1.0,-0.1989209244173404,0.13167274954838662,0.01796523739699828
stability_score,0.09459840890471069,0.41503382308576464,0.13151938284596096,0.11049760735506986,0.21607296987656227,0.04213351211668773,-0.1989209244173404,1.0,-0.08177652465322674,0.13594671207352246
similarity_rank,0.6945992524072747,0.21645379578953683,-0.055786794978581765,0.29926270201304606,-0.03942232999124988,-0.11975277913946035,0.13167274954838662,-0.08177652465322674,1.0,0.23771144502450395
sector_position,0.5924781413627638,0.5270838710473533,0.1518153318865723,0.5770211956778021,0.09821624611276959,0.09595842238281105,0.01796523739699828,0.13594671207352246,0.23771144502450395,1.0
