scheme,draws,ic_deployed,ic_median,ic_p025,ic_p975,share_ic_positive,excess_median_pp,excess_p025,excess_p975,share_excess_positive,topn_vol_diff_median_pp,share_topn_lower_vol,corr_esg_weight_ic,corr_esg_weight_topn_vol
uniform_simplex,2000,-0.09680229680229678,-0.08727404934301486,-0.14132902512212855,0.008252033769275113,0.033,-2.6264070269306203,-9.046627618371142,8.226084915030954,0.308,-6.475425122491934,0.9795,-0.3045676447840398,-0.05456768427182498
dirichlet_kappa100,2000,-0.09680229680229678,-0.09364897295931777,-0.11191717105510207,-0.06504827108275384,0.0,1.0702397717481258,-4.964214834905883,4.247941142233535,0.5835,-7.701374439634781,1.0,-0.3721746128471415,-0.08711940345615257
