factor,group,ticker,company_name,sector,country,financial_score,roa,roe,net_margin,operating_margin,free_cashflow,debt_to_equity,ESG_composite,E_score,S_score,G_score,board_independence_pct,ethics_compliance_score,esg_data_source,growth_score,revenue_growth,earnings_growth,earnings_quarterly_growth,trailing_pe,value_score,price_to_book,price_to_sales,dividend_yield,enterprise_to_ebitda,stability_score,current_ratio,beta,price_volatility,market_cap,risk_adjusted_score,sharpe_ratio_1y,sortino_ratio_1y,max_drawdown_1y
growth_score,bottom_5,TATAELXSI.NS,TATA ELXSI LIMITED,Technology,India,,,,,,,,,,,,,,,19.76138695157683,0.015,-0.453,-0.453,45.23631,,,,,,,,,,,,,,
growth_score,bottom_5,AVTR,"Avantor, Inc.",Healthcare,US,,,,,,,,,,,,,,,19.68207884223669,-0.014,-0.8836,-0.89023,31.390041,,,,,,,,,,,,,,
growth_score,bottom_5,CROX,"Crocs, Inc.",Consumer Cyclical,US,,,,,,,,,,,,,,,16.64579611289056,-0.032,-0.68,-0.715,28.382576,,,,,,,,,,,,,,
value_score,top_5,CMC,Commercial Metals Company,Industrials,US,,,,,,,,,,,,,,,,,,,13.823267,86.16479455495774,1.556188,0.81756526,1.2,9.405,,,,,,,,,
value_score,top_5,CYIENT.NS,CYIENT LIMITED,Industrials,India,,,,,,,,,,,,,,,,,,,16.390762,82.26158676380038,1.5911088,1.2213296,3.98,11.231,,,,,,,,,
value_score,top_5,RAJESHEXPO.NS,RAJESH EXPORTS LTD,Consumer Cyclical,India,,,,,,,,,,,,,,,,,,,15.390845,81.88122040641898,0.15583192,0.4929727359999999,1.03,2.811,,,,,,,,,
value_score,top_5,FLO,"Flowers Foods, Inc.",Consumer Defensive,US,,,,,,,,,,,,,,,,,,,20.599998,80.5754839881018,1.2243685,0.4929727359999999,6.0310000000000015,5.744,,,,,,,,,
value_score,top_5,RPD,"Rapid7, Inc.",Technology,US,,,,,,,,,,,,,,,,,,,14.916666,80.07831225180252,2.2851064,0.4929727359999999,1.265,14.73,,,,,,,,,
value_score,bottom_5,POONAWALLA.NS,POONAWALLA FINCORP LTD,Financial Services,India,,,,,,,,,,,,,,,,,,,88.063065,21.390610885858088,3.0931587,12.475494,2.27,8.992,,,,,,,,,
value_score,bottom_5,CUMMINSIND.NS,CUMMINS INDIA LTD,Industrials,India,,,,,,,,,,,,,,,,,,,57.518864,21.03269772652089,16.328249,11.110563,1.15,45.733,,,,,,,,,
value_score,bottom_5,TRENT.NS,TRENT LTD,Consumer Cyclical,India,,,,,,,,,,,,,,,,,,,76.53596,20.48210367242878,20.585596,6.519707,0.14,51.502,,,,,,,,,
value_score,bottom_5,ABB.NS,ABB INDIA LIMITED,Industrials,India,,,,,,,,,,,,,,,,,,,78.07173,18.636205180561912,16.595963,9.852274,0.64,60.639199999999946,,,,,,,,,
value_score,bottom_5,PIDILITIND.NS,PIDILITE INDUSTRIES LTD,Basic Materials,India,,,,,,,,,,,,,,,,,,,56.690456,18.18829283604324,13.543177,9.136368,0.79,39.434,,,,,,,,,
stability_score,top_5,GGG,Graco Inc.,Industrials,US,,,,,,,1.944,,,,,,,,,,,,,,,,,,86.21250407544633,3.15,1.089,20.81459628219417,14029153280.0,,,,
stability_score,top_5,TROW,"T. Rowe Price Group, Inc.",Financial Services,US,,,,,,,3.891,,,,,,,,,,,,,,,,,,85.59934130110511,5.95814999999999,1.523,26.71915368834061,19663632384.0,,,,
stability_score,top_5,RS,"Reliance, Inc.",Basic Materials,US,,,,,,,24.229,,,,,,,,,,,,,,,,,,84.03151443392224,4.883,0.874,26.668114629372592,15967393792.0,,,,
stability_score,top_5,ATO,Atmos Energy Corporation,Utilities,US,,,,,,,67.443,,,,,,,,,,,,,,,,,,83.93382546196398,1.13,0.688,16.291086820054275,31262996480.0,,,,
stability_score,top_5,GRMN,Garmin Ltd.,Technology,US,,,,,,,2.184,,,,,,,,,,,,,,,,,,82.24025142515218,3.633,0.968,36.088072097591166,45743067136.0,,,,
