outcome,spec,esg_measure,coef,se_hc3,ci_low,ci_high,p_two_sided,p_one_sided_neg,r2,n,p_holm_within_outcome_spec
realized_vol_oos,trailing_only,ESG_composite,-0.08661651032841418,0.035982285704039725,-0.15714049438976252,-0.01609252626706585,0.01607542212245463,0.008037711061227314,0.7482142278673133,260,0.09887958299555172
realized_vol_oos,trailing_only,E_score,-0.04763512096381325,0.03425774648948752,-0.11477907027471226,0.019508828347085762,0.16437953993058674,0.08218976996529337,0.7440084909154958,260,0.657518159722347
realized_vol_oos,trailing_only,S_score,-0.10284174927283846,0.041906915019901514,-0.18497779341502607,-0.020705705130650842,0.014125654713650244,0.007062827356825122,0.7489091268522127,260,0.09887958299555172
realized_vol_oos,trailing_only,G_score,-0.001003968744101226,0.0396545292059929,-0.078725417811739,0.07671748032353656,0.9798014096652893,0.48990070483264464,0.741815446869482,260,1.0
realized_vol_oos,trailing_only,ESG_measured,-0.017625461536906376,0.0366760232977555,-0.0895091462966591,0.05425822322284635,0.630820881154196,0.315410440577098,0.7420793115062139,260,1.0
realized_vol_oos,trailing_only,ESG_proxy,-0.06662432560782422,0.03655431907515333,-0.13826947447451024,0.005020823258861801,0.0683622390116436,0.0341811195058218,0.7453590985778458,260,0.341811195058218
realized_vol_oos,trailing_only,ESG_imputed,0.024625473443373038,0.06803012561224031,-0.10871112262035387,0.15796206950709996,0.7173677607115536,0.6413161196442232,0.7419641731531605,260,1.0
realized_vol_oos,full_controls,ESG_composite,-0.10645553097631831,0.04284485062915843,-0.1904298951324671,-0.022481166820169513,0.01296697419137241,0.006483487095686205,0.7773195446500563,260,0.07780184514823446
realized_vol_oos,full_controls,E_score,-0.06134796905994186,0.03946473518858595,-0.13869742868898088,0.01600149056909715,0.12006496589925962,0.06003248294962981,0.7731631644829363,260,0.6003248294962981
realized_vol_oos,full_controls,S_score,-0.12174917755716479,0.04791643071192824,-0.21566365602025309,-0.027834699094076487,0.011057863422114279,0.005528931711057139,0.7775364248715969,260,0.07740504395479995
realized_vol_oos,full_controls,G_score,0.011177498184263814,0.03920836413753919,-0.06566948341804485,0.08802447978657249,0.7755832872798056,0.6122083563600972,0.7707193358192808,260,1.0
realized_vol_oos,full_controls,ESG_measured,-0.02229580691920542,0.035129908032013574,-0.09114916144215639,0.046557547603745544,0.5256453684547107,0.26282268422735533,0.7710417954118197,260,1.0
realized_vol_oos,full_controls,ESG_proxy,-0.059478830932369116,0.04113980973166619,-0.14011137633726528,0.021153714472527042,0.1482408487319683,0.07412042436598415,0.7724597523190567,260,0.6003248294962981
