held_out_sector,factor,return_proxy,train_ic,test_ic,test_pvalue,n_train,n_test
Technology,ESG_composite,forward_quality_proxy,0.06488022974165539,0.35198543401675764,0.038113637169228644,234,35
Technology,financial_score,forward_quality_proxy,0.2317313624695299,0.5224455506894176,0.001284183246669916,234,35
Technology,market_score,forward_quality_proxy,0.05076184444211178,0.34302122081458003,0.04366307236788377,234,35
Technology,operational_score,forward_quality_proxy,0.10934408208142342,0.2641641578016733,0.12516648364623534,234,35
Technology,risk_adjusted_score,forward_quality_proxy,0.3655565532673134,0.45619441249207315,0.0058803248415189744,234,35
Technology,growth_score,forward_quality_proxy,0.7785562008816155,0.7186777803183381,1.1600363116139979e-06,234,35
Technology,value_score,forward_quality_proxy,-0.3200170456476671,-0.26808600107762603,0.11945251183505345,234,35
Technology,stability_score,forward_quality_proxy,0.13444473452232816,0.13964563379017406,0.4236628671132159,234,35
Technology,ESG_composite,price_momentum_1m,0.012594111056616336,-0.24987744301070264,0.14770446233023216,234,35
Technology,financial_score,price_momentum_1m,0.0829378454349023,0.04173961772263979,0.8118264037515159,234,35
Technology,market_score,price_momentum_1m,0.46223019350821976,0.5615239176176609,0.0004486052853696434,234,35
Technology,operational_score,price_momentum_1m,0.09659496802191647,-0.28993627075793416,0.09112365983460324,234,35
Technology,risk_adjusted_score,price_momentum_1m,0.13106136081874917,0.5179634440883286,0.0014374303422372181,234,35
Technology,growth_score,price_momentum_1m,-0.01585853985767503,0.10743049259484805,0.5390387881549485,234,35
Technology,value_score,price_momentum_1m,0.11455002885826597,-0.42103788883978255,0.011777343585733149,234,35
Technology,stability_score,price_momentum_1m,0.048259318619007834,0.2935779823713188,0.08695156169519744,234,35
Technology,ESG_composite,price_momentum_3m,-0.0462733133765333,-0.14776945200464758,0.3969218424444204,234,35
Technology,financial_score,price_momentum_3m,0.029771347156406024,0.18236571233180204,0.2943933550782525,234,35
Technology,market_score,price_momentum_3m,0.467896934710574,0.7259612035451075,7.995714621542528e-07,234,35
Technology,operational_score,price_momentum_3m,0.10251739393598752,0.12942082810644015,0.45870437363387906,234,35
Technology,risk_adjusted_score,price_momentum_3m,0.2417808018714406,0.5459766103451339,0.0006922393551153212,234,35
Technology,growth_score,price_momentum_3m,0.031031507521296135,0.18656768727032283,0.2832167038728215,234,35
Technology,value_score,price_momentum_3m,0.014087010069351254,-0.5770712248901877,0.0002844228313342633,234,35
Technology,stability_score,price_momentum_3m,0.04870793758205677,0.25730093206875604,0.13565098721583485,234,35
Technology,ESG_composite,price_momentum_6m,-0.0587283294379925,-0.08461754324867396,0.6288884995081215,234,35
Technology,financial_score,price_momentum_6m,0.049622958795925,0.1751190878490769,0.31432144327279654,234,35
Technology,market_score,price_momentum_6m,0.4613782713940069,0.5802746094967013,0.00025819496332433144,234,35
Technology,operational_score,price_momentum_6m,0.06896976411923175,-0.1616699419022678,0.35349042886372173,234,35
Technology,risk_adjusted_score,price_momentum_6m,0.355268204302495,0.5539366986842,0.0005558406647474697,234,35
Technology,growth_score,price_momentum_6m,0.1644787521840452,0.0633230621662262,0.7178139262473129,234,35
Technology,value_score,price_momentum_6m,-0.018293628066877524,-0.3636873216449629,0.031744304164715284,234,35
Technology,stability_score,price_momentum_6m,0.09219117532057113,0.41159990408047037,0.01402542604380851,234,35
Financial Services,ESG_composite,forward_quality_proxy,0.11146025089639021,0.40613026819923376,0.03199606035672914,241,28
Financial Services,financial_score,forward_quality_proxy,0.25097213675934366,0.25779967159277506,0.18534653864201742,241,28
Financial Services,market_score,forward_quality_proxy,0.0919491451863146,-0.11439518336070059,0.5621623776194051,241,28
Financial Services,operational_score,forward_quality_proxy,0.14661513372027407,0.01751505199781062,0.9295095031118134,241,28
Financial Services,risk_adjusted_score,forward_quality_proxy,0.4009072061898916,0.3661740558292282,0.05530987936550814,241,28
Financial Services,growth_score,forward_quality_proxy,0.7542259523819544,0.8987411056376573,8.388953436418178e-11,241,28
Financial Services,value_score,forward_quality_proxy,-0.3252435351810754,-0.3672687465790914,0.05453033212884739,241,28
Financial Services,stability_score,forward_quality_proxy,0.15007609704173971,0.011494252873563218,0.9537083000670102,241,28
Financial Services,ESG_composite,price_momentum_1m,-0.026711304102059907,0.3431855500821018,0.07378866810260622,241,28
Financial Services,financial_score,price_momentum_1m,0.07212917993782163,0.15270935960591134,0.4378745277603028,241,28
Financial Services,market_score,price_momentum_1m,0.4947099495516694,0.2824302134646962,0.14534253756814086,241,28
Financial Services,operational_score,price_momentum_1m,0.009304847676981327,0.42255062944718114,0.025085269862245768,241,28
Financial Services,risk_adjusted_score,price_momentum_1m,0.22265664182092107,-0.11877394636015325,0.5471904868827373,241,28
Financial Services,growth_score,price_momentum_1m,0.018475954511136924,-0.18171866447728516,0.35472535941619376,241,28
Financial Services,value_score,price_momentum_1m,-0.005100584258921122,0.4893267651888341,0.00822491372101791,241,28
Financial Services,stability_score,price_momentum_1m,0.08547111497933099,0.0782703886152162,0.6921836339404283,241,28
Financial Services,ESG_composite,price_momentum_3m,0.01402649954789621,0.20580186097427478,0.2934191273008828,241,28
Financial Services,financial_score,price_momentum_3m,0.0725111129216605,0.41543513957307066,0.02791337104188374,241,28
Financial Services,market_score,price_momentum_3m,0.5312623506716562,0.5199781061850027,0.004565512442103003,241,28
Financial Services,operational_score,price_momentum_3m,0.12343765404958082,0.21237000547345375,0.27794050565664613,241,28
Financial Services,risk_adjusted_score,price_momentum_3m,0.29421056467197304,0.016420361247947456,0.9339053459114741,241,28
Financial Services,growth_score,price_momentum_3m,0.11184035115647126,-0.14778325123152708,0.4529668967572382,241,28
Financial Services,value_score,price_momentum_3m,-0.08624912661307683,0.30268199233716475,0.11744164685364644,241,28
Financial Services,stability_score,price_momentum_3m,0.04412161843606616,0.4039408866995074,0.03302341733858225,241,28
Financial Services,ESG_composite,price_momentum_6m,-0.01749604564350992,0.45265462506841814,0.015576904110953398,241,28
Financial Services,financial_score,price_momentum_6m,0.05967670723241289,0.20963327859879585,0.28432510095676317,241,28
Financial Services,market_score,price_momentum_6m,0.5028274185920248,0.3634373289545703,0.05729698659313365,241,28
Financial Services,operational_score,price_momentum_6m,0.060883804070224624,0.0996168582375479,0.6140170317147633,241,28
Financial Services,risk_adjusted_score,price_momentum_6m,0.3803611002791207,0.1899288451012589,0.3330252971824663,241,28
Financial Services,growth_score,price_momentum_6m,0.1713807456067733,0.1992337164750958,0.30943105299287976,241,28
Financial Services,value_score,price_momentum_6m,-0.09018376506274799,0.25013683634373285,0.19921989792966974,241,28
Financial Services,stability_score,price_momentum_6m,0.13254017583613348,0.2194854953475643,0.26177368383417554,241,28
Communication Services,ESG_composite,forward_quality_proxy,0.13417545863168434,0.04761904761904763,0.9108491685195836,261,8
Communication Services,financial_score,forward_quality_proxy,0.293552244064625,0.2380952380952381,0.5701563208157683,261,8
Communication Services,market_score,forward_quality_proxy,0.09927420097824452,-0.09523809523809526,0.8225054302036114,261,8
Communication Services,operational_score,forward_quality_proxy,0.13929793194363138,-0.04761904761904763,0.9108491685195836,261,8
Communication Services,risk_adjusted_score,forward_quality_proxy,0.38594068541068244,0.14285714285714288,0.735764859879812,261,8
Communication Services,growth_score,forward_quality_proxy,0.7665894870342485,0.523809523809524,0.18272075053971482,261,8
Communication Services,value_score,forward_quality_proxy,-0.33695811005421195,0.3333333333333334,0.4197530864197531,261,8
Communication Services,stability_score,forward_quality_proxy,0.15172192924116945,-0.3571428571428572,0.3851206435562562,261,8
Communication Services,ESG_composite,price_momentum_1m,-0.014887571248831912,0.11904761904761905,0.7788857260523797,261,8
Communication Services,financial_score,price_momentum_1m,0.07602633630464356,0.0,1.0,261,8
Communication Services,market_score,price_momentum_1m,0.47145966705294445,0.5000000000000001,0.20703124999999997,261,8
Communication Services,operational_score,price_momentum_1m,0.04310798087234027,0.04761904761904763,0.9108491685195836,261,8
Communication Services,risk_adjusted_score,price_momentum_1m,0.17418542729099157,0.7380952380952381,0.03655276105286081,261,8
Communication Services,growth_score,price_momentum_1m,-0.010850057876486338,0.2380952380952381,0.5701563208157683,261,8
Communication Services,value_score,price_momentum_1m,0.050934290853790136,-0.5714285714285715,0.1389599571607067,261,8
Communication Services,stability_score,price_momentum_1m,0.0810739029638021,0.3333333333333334,0.4197530864197531,261,8
Communication Services,ESG_composite,price_momentum_3m,0.023769493218638263,0.0,1.0,261,8
Communication Services,financial_score,price_momentum_3m,0.08189902166953471,0.04761904761904763,0.9108491685195836,261,8
Communication Services,market_score,price_momentum_3m,0.5139230766664097,0.4285714285714286,0.2894032248467901,261,8
Communication Services,operational_score,price_momentum_3m,0.1355445614729591,0.04761904761904763,0.9108491685195836,261,8
Communication Services,risk_adjusted_score,price_momentum_3m,0.26683292780616374,0.8571428571428572,0.006530017254715292,261,8
Communication Services,growth_score,price_momentum_3m,0.07579685543760956,0.28571428571428575,0.4927262450169573,261,8
Communication Services,value_score,price_momentum_3m,-0.04883285356111244,-0.6666666666666669,0.07098765432098751,261,8
Communication Services,stability_score,price_momentum_3m,0.08073204396629408,-0.2142857142857143,0.6103444156452669,261,8
Communication Services,ESG_composite,price_momentum_6m,0.008941317017744565,0.14285714285714288,0.735764859879812,261,8
Communication Services,financial_score,price_momentum_6m,0.07899372639851138,0.09523809523809526,0.8225054302036114,261,8
Communication Services,market_score,price_momentum_6m,0.5033247727999342,0.4285714285714286,0.2894032248467901,261,8
Communication Services,operational_score,price_momentum_6m,0.06399816415342817,-0.023809523809523815,0.9553740118158807,261,8
Communication Services,risk_adjusted_score,price_momentum_6m,0.36100175148102615,0.8333333333333335,0.01017554012345675,261,8
Communication Services,growth_score,price_momentum_6m,0.17424650969824623,0.11904761904761905,0.7788857260523797,261,8
Communication Services,value_score,price_momentum_6m,-0.058130878338349595,-0.7380952380952381,0.03655276105286081,261,8
Communication Services,stability_score,price_momentum_6m,0.13856797189613232,0.04761904761904763,0.9108491685195836,261,8
Healthcare,ESG_composite,forward_quality_proxy,0.10154402517777217,0.40508466670578147,0.009515696769341822,229,40
Healthcare,financial_score,forward_quality_proxy,0.24098394319765148,0.6067826827820738,3.313828442376534e-05,229,40
Healthcare,market_score,forward_quality_proxy,0.07420094461193365,0.22505746072884897,0.16264236501932894,229,40
Healthcare,operational_score,forward_quality_proxy,0.08915754872585345,0.4520849951030943,0.0034048498752981197,229,40
Healthcare,risk_adjusted_score,forward_quality_proxy,0.37614547801968556,0.36633988501298675,0.02007503120326175,229,40
Healthcare,growth_score,forward_quality_proxy,0.7346408141677048,0.9264036784899473,1.0497343125501663e-17,229,40
Healthcare,value_score,forward_quality_proxy,-0.3149835344954743,-0.3190581175234745,0.04478142501000872,229,40
Healthcare,stability_score,forward_quality_proxy,0.132090272236824,0.15141423160331896,0.3509986879004119,229,40
Healthcare,ESG_composite,price_momentum_1m,0.004538709435715799,-0.08911819887429645,0.5844816166436049,229,40
Healthcare,financial_score,price_momentum_1m,0.08877963476590366,0.01707317073170732,0.9167220408247407,229,40
Healthcare,market_score,price_momentum_1m,0.5005845761885162,0.24315196998123828,0.13057035941218326,229,40
Healthcare,operational_score,price_momentum_1m,0.044276399610835196,0.09118198874296438,0.5757750412062196,229,40
Healthcare,risk_adjusted_score,price_momentum_1m,0.16012990582028047,0.2212007504690432,0.17015825993156036,229,40
Healthcare,growth_score,price_momentum_1m,-0.014425041844842673,-0.0013133208255159477,0.9935828627912632,229,40
Healthcare,value_score,price_momentum_1m,0.021567863299377356,0.25759849906191373,0.10854918990260146,229,40
Healthcare,stability_score,price_momentum_1m,0.08518424142603015,0.05834896810506568,0.720617042611367,229,40
Healthcare,ESG_composite,price_momentum_3m,0.062432736266986276,-0.225703564727955,0.1614071384219277,229,40
Healthcare,financial_score,price_momentum_3m,0.10570736216375166,-0.06472795497185742,0.6915069657754842,229,40
Healthcare,market_score,price_momentum_3m,0.5248899547893341,0.3560975609756098,0.024118344728344752,229,40
Healthcare,operational_score,price_momentum_3m,0.18153988358666728,-0.15984990619136966,0.32448860577328775,229,40
Healthcare,risk_adjusted_score,price_momentum_3m,0.25901371505981696,0.37654784240150097,0.016626283913195143,229,40
Healthcare,growth_score,price_momentum_3m,0.07992805216318005,0.08986866791744841,0.581308791854079,229,40
Healthcare,value_score,price_momentum_3m,-0.06499188088716862,0.002063789868667918,0.9899160805837952,229,40
Healthcare,stability_score,price_momentum_3m,0.052633840466319366,0.1726078799249531,0.2868438506517267,229,40
Healthcare,ESG_composite,price_momentum_6m,0.06967188337715294,-0.32814258911819894,0.03871772364502845,229,40
Healthcare,financial_score,price_momentum_6m,0.1350014214681297,-0.16904315196998126,0.2970647122342053,229,40
Healthcare,market_score,price_momentum_6m,0.5194146452633953,0.2602251407129456,0.1048682703497846,229,40
Healthcare,operational_score,price_momentum_6m,0.10092567749591695,-0.08180112570356474,0.6158133212988843,229,40
Healthcare,risk_adjusted_score,price_momentum_6m,0.3687471052303072,0.2962476547842402,0.06343484066167124,229,40
Healthcare,growth_score,price_momentum_6m,0.17098777738077947,0.2305816135084428,0.15230002036377813,229,40
Healthcare,value_score,price_momentum_6m,-0.07779648085713346,0.02626641651031895,0.8721853495563235,229,40
Healthcare,stability_score,price_momentum_6m,0.1431764822864952,0.12176360225140713,0.45417525189453034,229,40
Industrials,ESG_composite,forward_quality_proxy,0.16874592323267834,0.05334281650071124,0.753856514642901,232,37
Industrials,financial_score,forward_quality_proxy,0.31777440624891024,0.20222854433380746,0.23000806719776462,232,37
Industrials,market_score,forward_quality_proxy,0.09169006115614776,0.4713134186818397,0.00323478052257878,232,37
Industrials,operational_score,forward_quality_proxy,0.13549319427595946,0.20128022759601705,0.23224698542311664,232,37
Industrials,risk_adjusted_score,forward_quality_proxy,0.38821422264881716,0.3053579895685159,0.06608584118277985,232,37
Industrials,growth_score,forward_quality_proxy,0.7665166296089574,0.840682788051209,7.484329964848232e-11,232,37
Industrials,value_score,forward_quality_proxy,-0.3417832186737905,-0.15410146989094353,0.36248187563581247,232,37
Industrials,stability_score,forward_quality_proxy,0.11562439561749573,0.2830725462304409,0.08956712088399732,232,37
Industrials,ESG_composite,price_momentum_1m,-0.003902176973693221,-0.0777619724988146,0.6473357009317746,232,37
Industrials,financial_score,price_momentum_1m,0.042680330933545944,0.30915125651967756,0.0626239369109064,232,37
Industrials,market_score,price_momentum_1m,0.4664209046415801,0.5355618776671408,0.0006358325440463398,232,37
Industrials,operational_score,price_momentum_1m,0.052403819819108806,0.010668563300142247,0.9500303243433517,232,37
Industrials,risk_adjusted_score,price_momentum_1m,0.1472395497497713,0.46941678520625885,0.0033783316856654845,232,37
Industrials,growth_score,price_momentum_1m,-0.037364990250995225,0.26766239924134655,0.10923887228606241,232,37
Industrials,value_score,price_momentum_1m,0.0858008039811053,-0.2882882882882883,0.08356725278277793,232,37
Industrials,stability_score,price_momentum_1m,0.06573733894766602,0.2600758653390232,0.1200484146182196,232,37
Industrials,ESG_composite,price_momentum_3m,0.0739760689551705,-0.21242294926505448,0.2068646889692657,232,37
Industrials,financial_score,price_momentum_3m,0.11763614854643846,-0.04172593646277856,0.806298256934153,232,37
Industrials,market_score,price_momentum_3m,0.5475608150572595,0.6171171171171171,4.7385723115978264e-05,232,37
Industrials,operational_score,price_momentum_3m,0.1475216058861532,0.05452821242294926,0.7485616005595856,232,37
Industrials,risk_adjusted_score,price_momentum_3m,0.26495065699684955,0.4599336178283546,0.00418233930923364,232,37
Industrials,growth_score,price_momentum_3m,0.06834119278591791,0.24419155998103362,0.14524549317547206,232,37
Industrials,value_score,price_momentum_3m,-0.023985823195766306,-0.41275486012328116,0.011121874284436045,232,37
Industrials,stability_score,price_momentum_3m,0.07762117602602839,0.04480796586059744,0.7922934683218269,232,37
Industrials,ESG_composite,price_momentum_6m,0.0510718613692778,-0.1996206733048838,0.2362005891477014,232,37
Industrials,financial_score,price_momentum_6m,0.09817811917201329,0.038643907064959696,0.820362708434388,232,37
Industrials,market_score,price_momentum_6m,0.5071032979003796,0.591986723565671,0.00011365714222448462,232,37
Industrials,operational_score,price_momentum_6m,0.07009791720604135,-0.022759601706970126,0.8936344541040988,232,37
Industrials,risk_adjusted_score,price_momentum_6m,0.34023946422219986,0.5922238027501185,0.00011276106662193582,232,37
Industrials,growth_score,price_momentum_6m,0.16875461885137052,0.2629208155523945,0.1159047622362071,232,37
Industrials,value_score,price_momentum_6m,-0.03156482053674195,-0.3601232811759127,0.028567183369991107,232,37
Industrials,stability_score,price_momentum_6m,0.14500087932489297,0.08511142721669036,0.6164739923971978,232,37
Consumer Cyclical,ESG_composite,forward_quality_proxy,0.13470978997335667,0.19969362074625233,0.2293537127252702,231,38
Consumer Cyclical,financial_score,forward_quality_proxy,0.31614660937738304,0.10471605208447313,0.5315290742804102,231,38
Consumer Cyclical,market_score,forward_quality_proxy,0.12349070779824078,0.016522595469963892,0.9215699391449157,231,38
Consumer Cyclical,operational_score,forward_quality_proxy,0.13485290044539258,0.23295765401028556,0.15927105921832757,231,38
Consumer Cyclical,risk_adjusted_score,forward_quality_proxy,0.3782000888846624,0.34040923514607724,0.03650685540725031,231,38
Consumer Cyclical,growth_score,forward_quality_proxy,0.7476996451939161,0.8437465805886858,2.894679991534064e-11,231,38
Consumer Cyclical,value_score,forward_quality_proxy,-0.3533636072020462,-0.04059525112156691,0.8087909399636315,231,38
Consumer Cyclical,stability_score,forward_quality_proxy,0.13153361368072253,0.2071342597658387,0.21210680960468314,231,38
Consumer Cyclical,ESG_composite,price_momentum_1m,-0.01046946863361561,-0.008754171923154018,0.9583991441737418,231,38
Consumer Cyclical,financial_score,price_momentum_1m,0.07202310993576341,-0.01444438367320413,0.9314098855061138,231,38
Consumer Cyclical,market_score,price_momentum_1m,0.4449845438084207,0.5305028185431335,0.0006122568306170562,231,38
Consumer Cyclical,operational_score,price_momentum_1m,0.03512295468005088,0.06664113376500996,0.6909818102635666,231,38
Consumer Cyclical,risk_adjusted_score,price_momentum_1m,0.19551153415899714,0.19565574248249235,0.23910251703800642,231,38
Consumer Cyclical,growth_score,price_momentum_1m,0.05057208967603806,-0.33233025163273444,0.04149650274737048,231,38
Consumer Cyclical,value_score,price_momentum_1m,0.02160581340764657,0.12354325126551109,0.4599255974741021,231,38
Consumer Cyclical,stability_score,price_momentum_1m,0.1023503976556887,-0.04705367408695286,0.7790753192369486,231,38
Consumer Cyclical,ESG_composite,price_momentum_3m,0.02983321525093145,0.00711276468756264,0.9661943171045717,231,38
Consumer Cyclical,financial_score,price_momentum_3m,0.0911697567292652,-0.009957870562587698,0.9526850637930624,231,38
Consumer Cyclical,market_score,price_momentum_3m,0.49122096502994816,0.5503091325192696,0.00034422465931291954,231,38
Consumer Cyclical,operational_score,price_momentum_3m,0.13129136183699874,0.17103463394862164,0.3045625725075162,231,38
Consumer Cyclical,risk_adjusted_score,price_momentum_3m,0.27205236486789547,0.3572796416137234,0.027658190819097116,231,38
Consumer Cyclical,growth_score,price_momentum_3m,0.11610946406808312,-0.12595064854437846,0.45115911215640325,231,38
Consumer Cyclical,value_score,price_momentum_3m,-0.10197947822576425,0.1652349950495321,0.32149642724999045,231,38
Consumer Cyclical,stability_score,price_momentum_3m,0.09812522619670676,-0.1010012585633895,0.5462683847567742,231,38
Consumer Cyclical,ESG_composite,price_momentum_6m,-0.01669092413678596,0.18546886967939602,0.26492718119264647,231,38
Consumer Cyclical,financial_score,price_momentum_6m,0.05306203908841797,0.14345114345114346,0.3902253850788351,231,38
Consumer Cyclical,market_score,price_momentum_6m,0.4471857278510887,0.6294999452894189,2.2958210339489976e-05,231,38
Consumer Cyclical,operational_score,price_momentum_6m,0.026579209969404875,0.3005799321588795,0.06670380069475518,231,38
Consumer Cyclical,risk_adjusted_score,price_momentum_6m,0.3727451505386484,0.43407374986322356,0.006471946270738506,231,38
Consumer Cyclical,growth_score,price_momentum_6m,0.19364129773637065,0.060291060291060294,0.7191678740619953,231,38
Consumer Cyclical,value_score,price_momentum_6m,-0.11508701049129948,0.17562096509464928,0.2915807146241466,231,38
Consumer Cyclical,stability_score,price_momentum_6m,0.1354715603491602,0.15417441733231205,0.3553878646255014,231,38
Energy,ESG_composite,forward_quality_proxy,0.13536719587510762,0.23076923076923078,0.44812738231536575,256,13
Energy,financial_score,forward_quality_proxy,0.2824054081360995,0.5439560439560439,0.05464653454086551,256,13
Energy,market_score,forward_quality_proxy,0.12215370557636204,0.24725274725274726,0.4154051197255382,256,13
Energy,operational_score,forward_quality_proxy,0.13304508061514728,0.2582417582417582,0.3942840173973615,256,13
Energy,risk_adjusted_score,forward_quality_proxy,0.3949595114010715,0.18131868131868134,0.5532950092839335,256,13
Energy,growth_score,forward_quality_proxy,0.7630203234262922,0.8241758241758241,0.0005302228375973583,256,13
Energy,value_score,forward_quality_proxy,-0.29737917123779056,-0.6703296703296703,0.012166220319952023,256,13
Energy,stability_score,forward_quality_proxy,0.158324414844363,-0.2582417582417582,0.3942840173973615,256,13
Energy,ESG_composite,price_momentum_1m,-0.03988877563818582,0.5439560439560439,0.05464653454086551,256,13
Energy,financial_score,price_momentum_1m,0.06259392378846602,0.3516483516483516,0.2386997053420337,256,13
Energy,market_score,price_momentum_1m,0.4288475224890183,-0.016483516483516484,0.9573761750901849,256,13
Energy,operational_score,price_momentum_1m,0.03334334710247885,0.45604395604395603,0.11728306543614495,256,13
Energy,risk_adjusted_score,price_momentum_1m,0.21368989503561006,-0.4010989010989011,0.17435746494503282,256,13
Energy,growth_score,price_momentum_1m,-0.02045133487129292,-0.5,0.08186423116569438,256,13
Energy,value_score,price_momentum_1m,0.031585930654852136,0.6263736263736264,0.02198860240988966,256,13
Energy,stability_score,price_momentum_1m,0.11563113566942679,0.14835164835164835,0.6286094178894162,256,13
Energy,ESG_composite,price_momentum_3m,0.001543548469874733,0.12654757501256778,0.6803669766362552,256,13
Energy,financial_score,price_momentum_3m,0.07156936428240539,0.07427792446389848,0.8094314943075036,256,13
Energy,market_score,price_momentum_3m,0.4655647604603101,-0.2861075608979793,0.3433070944614318,256,13
Energy,operational_score,price_momentum_3m,0.13661262280061381,0.01100413695761459,0.9715385747062459,256,13
Energy,risk_adjusted_score,price_momentum_3m,0.32234914057922887,-0.5584599505989404,0.04729151560998932,256,13
Energy,growth_score,price_momentum_3m,0.07796922523430723,-0.5832192587535732,0.03642094210697728,256,13
Energy,value_score,price_momentum_3m,-0.08223186522792097,0.5639620190777477,0.04469704026558174,256,13
Energy,stability_score,price_momentum_3m,0.10740429400470573,-0.03576344511224741,0.907660823485676,256,13
Energy,ESG_composite,price_momentum_6m,-0.005140276658696802,-0.12087912087912088,0.6940473279966857,256,13
Energy,financial_score,price_momentum_6m,0.07312868787961199,0.16483516483516483,0.5904789886520052,256,13
Energy,market_score,price_momentum_6m,0.4479601080498546,0.32417582417582413,0.2798818688931399,256,13
Energy,operational_score,price_momentum_6m,0.05866345654208264,0.14285714285714285,0.6415164215860882,256,13
Energy,risk_adjusted_score,price_momentum_6m,0.42096516177894716,-0.23626373626373626,0.4370835438311814,256,13
Energy,growth_score,price_momentum_6m,0.18012390595277805,-0.20329670329670327,0.5053147342962486,256,13
Energy,value_score,price_momentum_6m,-0.08565482647077985,-0.09890109890109891,0.7478683035983906,256,13
Energy,stability_score,price_momentum_6m,0.16902258209814733,0.1043956043956044,0.7343037452877026,256,13
Basic Materials,ESG_composite,forward_quality_proxy,0.1731038071777664,-0.026538678712591763,0.9066765277008431,247,22
Basic Materials,financial_score,forward_quality_proxy,0.2942337486110959,0.17560700169395824,0.43439428062295327,247,22
Basic Materials,market_score,forward_quality_proxy,0.052641596054655265,0.1518915866741954,0.4998153235435794,247,22
Basic Materials,operational_score,forward_quality_proxy,0.15387739484054933,0.24223602484472054,0.2774149543225627,247,22
Basic Materials,risk_adjusted_score,forward_quality_proxy,0.36995086189794785,0.7594579333709771,4.1463888226683955e-05,247,22
Basic Materials,growth_score,forward_quality_proxy,0.781275520179192,0.8170525127046867,3.4779005671266016e-06,247,22
Basic Materials,value_score,forward_quality_proxy,-0.31543468367244704,-0.5708639186900057,0.005525410901685129,247,22
Basic Materials,stability_score,forward_quality_proxy,0.1210526965435368,0.5076228119706382,0.01587984184597029,247,22
Basic Materials,ESG_composite,price_momentum_1m,-0.01247665479924178,0.0666478422510248,0.7682335534985472,247,22
