ticker,company_name,sector,country,ESG_composite,financial_score,market_score,operational_score,risk_adjusted_score,value_score,growth_score,growth_score
PRESTIGE.NS,PRESTIGE ESTATE LTD,Real Estate,India,48.465398213708575,34.94362810187617,41.087471772929945,59.02668272512656,60.04066424650554,34.547733541723126,82.96023063637246,82.96023063637246
POONAWALLA.NS,POONAWALLA FINCORP LTD,Financial Services,India,41.76173801657089,43.73791034452356,45.963083405218086,34.22406886357621,47.1033241894726,21.390610885858088,80.4003926180074,80.4003926180074
CRAFTSMAN.NS,CRAFTSMAN AUTOMATION LTD,Consumer Cyclical,India,45.80281620300295,37.91254546996762,39.45396627783414,35.38335165152402,63.45990218967685,38.41545760995304,80.22645503243663,80.22645503243663
IIFL.NS,IIFL FINANCE LIMITED,Financial Services,India,50.359849209474135,50.88508582795016,45.14960371690632,35.462669360418964,57.97226170982119,57.50867466520772,79.02549463453576,79.02549463453576
OII,"Oceaneering International, Inc.",Energy,US,38.64815494120599,44.38840320005867,45.45951779009783,28.175912534854803,53.747268777052426,48.796905364769685,78.91216820477698,78.91216820477698
AARTIIND.NS,AARTI INDUSTRIES LTD,Basic Materials,India,36.86951788244808,30.29066190087852,45.594971890899394,30.823104927306144,51.619996342426376,37.337662763979125,78.68708371767738,78.68708371767738
RAJESHEXPO.NS,RAJESH EXPORTS LTD,Consumer Cyclical,India,45.42894402649435,28.59143492723464,32.26467901082206,47.10523321684194,33.20708411497483,81.88122040641898,78.45792021564773,78.45792021564773
MUTHOOTFIN.NS,MUTHOOT FINANCE LIMITED,Financial Services,India,53.76712647641984,71.49902370838143,44.90945023519661,48.394662995591695,55.221251809363366,36.41053281492101,77.8859583642179,77.8859583642179
GMED,"Globus Medical, Inc.",Healthcare,US,46.69947566842574,56.52153353139782,47.47650087014843,57.17418371642232,45.49785951959943,59.94755624081965,77.68687825166549,77.68687825166549
DTE,DTE Energy Company,Utilities,US,58.23294564625407,39.7526722471329,58.50287075378434,69.96525452732882,44.20694636038952,57.0342401983027,77.63200909947965,77.63200909947965
USFD,US Foods Holding Corp.,Consumer Defensive,US,46.06103216453759,28.288864845163157,56.734058439489054,66.41590683189538,60.23170091903641,66.03402271622264,76.67683280467944,76.67683280467944
MSGS,Madison Square Garden Sports Co,Communication Services,US,44.14253211049576,29.8741920859642,51.159689528650055,28.89088805525069,53.04492889109312,35.93742530303312,76.49928202142675,76.49928202142675
EME,"EMCOR Group, Inc.",Industrials,US,50.78126448924946,59.60118915042708,49.110412754124056,46.44671309602076,44.08444390676686,61.4871268245132,76.3557216906328,76.3557216906328
RRC,Range Resources Corporation,Energy,US,57.53622168185079,51.50627936090446,58.01647459928105,45.72584638351038,48.06735811530272,41.03359017637377,75.89768722086843,75.89768722086843
ANANTRAJ.NS,ANANT RAJ LIMITED,Real Estate,India,40.18421268659751,39.70255984523144,43.67581275666098,37.84284905974275,41.813175464931,40.93558515498171,75.78076983189581,75.78076983189581
NAVINFLUOR.NS,NAVIN FLUORINE INT. LTD,Basic Materials,India,62.25925166284423,62.10823035494417,45.014044237173536,62.11674621508987,70.511526551853,21.622198513494897,75.56430916178657,75.56430916178657
INCY,Incyte Corporation,Healthcare,US,56.09858079462015,70.90562262653606,54.04425945645757,65.1548513532324,58.56591381741113,68.58883478593789,74.90869372702865,74.90869372702865
CMC,Commercial Metals Company,Industrials,US,40.628314364003344,32.73711060413551,42.988575115401545,56.06091922028496,48.77214367772464,86.16479455495774,74.35176478611021,74.35176478611021
SMCI,"Super Micro Computer, Inc.",Technology,US,40.98240802947575,39.19983092520823,49.49809188525667,48.70040566151418,48.0886983571794,77.67113565869471,73.73298762109854,73.73298762109854
