variable,coefficient,std_error,t_statistic,p_value
const,-127.6302013225965,23.59596351114463,-5.408984518149274,6.338310817770521e-08
ESG_composite,-0.24453203332527534,0.1128045651921426,-2.1677494426644732,0.0301777553864847
beta,-0.3956999642978922,2.253965432247365,-0.17555724619225904,0.8606417931777803
log_mcap,6.405230919641769,1.1191652093081361,5.723221975066094,1.0452255413734658e-08
price_to_book,-0.2493675831292616,0.17893006964891642,-1.393659453766226,0.1634204656793451
sector_Communication Services,-14.905860806705208,7.822081148737973,-1.9056131639736495,0.056700412942329394
sector_Consumer Cyclical,-10.403404844585529,5.489851948881227,-1.8950246639539399,0.0580891342018677
sector_Consumer Defensive,-7.932874123744497,5.647381607578769,-1.404699500578924,0.16011065435056182
sector_Energy,33.512766714615225,6.710982844841322,4.993719621914429,5.922736371884879e-07
sector_Financial Services,-16.471766775223326,5.378802140253748,-3.0623485203057244,0.002196075953267939
sector_Healthcare,-7.278217356313169,5.463144636279718,-1.3322395508220475,0.18278148383021953
sector_Industrials,-1.3421741542085028,5.3828324142877175,-0.24934347772855675,0.8030951027261986
sector_Real Estate,-11.767709522521441,5.600407584681516,-2.101223767125272,0.03562132800360904
sector_Technology,-20.397475904523244,5.65047678587016,-3.609868100959215,0.00030635274527956405
sector_Utilities,0.8274097312492658,5.443035855088265,0.15201254470440162,0.8791770413962776
