variable,n_groups,anova_F,anova_p,welch_anova_stat,welch_anova_p,kruskal_H,kruskal_p,eta_squared,effect_size,significant_anova
ESG_composite,11,3.0979911049518734,0.0009574540603569126,28.17130707838629,0.0016946640960849406,26.189540619976924,0.003493455916394595,0.10720437603086519,Medium,True
E_score,11,0.3180925745268428,0.9760339667672694,3.3782711386081417,0.9710708256584315,2.995664899001159,0.9815258986365512,0.01217901244583797,Small,False
S_score,11,8.621045403714724,3.800885672528191e-12,48.70852624968888,4.606020725453509e-07,52.77558682364395,8.195559618062293e-08,0.2504585582043965,Large,True
G_score,11,9.97462086235546,3.9783370237229496e-14,76.63750770311555,2.2819452238626445e-12,73.32209601193563,1.0082483316879014e-11,0.27881835284055656,Large,True
financial_score,11,2.1640501104824073,0.020410545097342414,17.31211090902309,0.06773679726209102,19.850789731664577,0.030695975197111664,0.07738686284470656,Medium,True
market_score,11,11.121377502961883,9.174409356020512e-16,78.60372557191758,9.42242737406206e-13,70.32276250293569,3.840948772897049e-11,0.3012178378791429,Large,True
operational_score,11,1.053765832885425,0.3988436336993049,9.667939761538015,0.47009293199540836,8.96966006252353,0.5349853581982658,0.03924089602341609,Small,False
pref_balanced,11,2.0080656524765046,0.032907546978774564,19.051562878137037,0.039612622247326264,20.736963110527768,0.023004268461182104,0.07221162656805172,Medium,True
pref_esg_first,11,2.616467847177365,0.004799596115042656,23.441859169266877,0.00922801312846269,24.510328832170163,0.006355128806581293,0.09207575907212057,Medium,True
pref_financial_first,11,1.647143100902353,0.09371344913992666,16.83712725070716,0.07804652759033374,17.185636378964695,0.07035592336938652,0.060011458928422905,Medium,False
risk_adjusted_score,11,0.3087247207155491,0.9785537035346882,3.641858269438067,0.962060744369531,4.0743224398996745,0.9439318762775378,0.011824580634173798,Small,False
value_score,11,0.07008649170515686,0.9999648347547193,0.7768696455139582,0.9999466057389312,0.7020813150992353,0.9999668028030023,0.0027091711397110784,Small,False
growth_score,11,0.41370910028140007,0.9394707825492083,4.198345150121199,0.9379559603197714,4.000432527334397,0.9473274684766436,0.015782165686616192,Small,False
stability_score,11,0.24076316362237413,0.9918104127561602,2.36686967790432,0.992677011607839,2.5733460671674493,0.989763235177935,0.009245626255635535,Small,False
