increased_factor,decreased_factor,kendall_tau,csir_change
ESG_composite,financial_score,0.8466958885868058,0.08357174098482131
ESG_composite,market_score,0.8740498252233257,0.12200788539371264
ESG_composite,operational_score,0.8771014814403817,0.04328022751488986
ESG_composite,risk_adjusted_score,0.8287188592354214,-0.006471956287045319
ESG_composite,value_score,0.8809299228763247,0.04328022751488986
ESG_composite,growth_score,0.835210564278977,0.04631088262676563
ESG_composite,stability_score,0.8587360594795539,0.06440477196811537
ESG_composite,similarity_rank,0.8717749542251568,0.0432802275148899
ESG_composite,sector_position,0.870054929811907,0.078269217524084
financial_score,ESG_composite,0.8516895078510791,-0.010892875056152287
financial_score,market_score,0.8879209898463075,0.1038929967923634
financial_score,operational_score,0.8824834933140986,0.10288060063433699
financial_score,risk_adjusted_score,0.8584031515286024,0.021479892975773407
financial_score,value_score,0.8900848915274927,0.08852526474657631
financial_score,growth_score,0.851744992509571,0.0041127072005471
financial_score,stability_score,0.8870887199689287,0.006998609655528176
financial_score,similarity_rank,0.8924152471841535,0.10288060063433697
financial_score,sector_position,0.8839260944348888,0.10288060063433699
market_score,ESG_composite,0.7553681407090941,0.43920041634080365
market_score,financial_score,0.7680186428452533,0.4508338574720331
market_score,operational_score,0.8034733396215947,0.27282873571546734
market_score,risk_adjusted_score,0.7958164567497087,0.252143645670566
market_score,value_score,0.8059701492537314,0.27282873571546734
market_score,growth_score,0.785662764245686,0.39454949194392974
market_score,stability_score,0.7938190090439994,0.33047113381679527
market_score,similarity_rank,0.8059146645952395,0.27282873571546734
market_score,sector_position,0.7898241136325806,0.2728287357154673
operational_score,ESG_composite,0.89979470676358,0.057085224703482526
operational_score,financial_score,0.8920268545747101,-0.13244520045572467
operational_score,market_score,0.9190478832602785,-0.09134544668082303
operational_score,risk_adjusted_score,0.8800976529989459,-0.09134544668082309
operational_score,value_score,0.9501192920157577,-0.09134544668082306
operational_score,growth_score,0.8964656272540642,-0.006694096993100265
operational_score,stability_score,0.9228763246962215,-0.17189842414544668
operational_score,similarity_rank,0.9432946790212507,-0.09134544668082303
operational_score,sector_position,0.9421295011929202,-0.04199512253429069
risk_adjusted_score,ESG_composite,0.7666870110414471,0.20185525007329486
risk_adjusted_score,financial_score,0.7996448981856517,0.1730711263567982
risk_adjusted_score,market_score,0.8390944903734118,0.22889567267034516
risk_adjusted_score,operational_score,0.832824723963824,0.20731367425613434
risk_adjusted_score,value_score,0.8419242079565,0.20731367425613434
risk_adjusted_score,growth_score,0.8393164290073795,0.2361098631270056
risk_adjusted_score,stability_score,0.8418132386395162,0.20731367425613434
risk_adjusted_score,similarity_rank,0.8519669311435389,0.17307112635679817
risk_adjusted_score,sector_position,0.8294401597958164,0.17307112635679822
value_score,ESG_composite,0.8977417743993785,0.31094959865659544
value_score,financial_score,0.8972978971314433,-0.10693883183255526
value_score,market_score,0.9268157354491483,-0.006726441768901317
value_score,operational_score,0.9452366420684681,0.1304544592135975
value_score,risk_adjusted_score,0.8757143649780835,-0.10693883183255518
value_score,growth_score,0.8891971369916218,-0.0009755419228934942
value_score,stability_score,0.9244853797924873,-0.02720776330132252
value_score,similarity_rank,0.9462908505798148,-0.07634448222966578
value_score,sector_position,0.939910114853243,-0.004056618782407581
growth_score,ESG_composite,0.7730122621095267,0.1082158911633877
growth_score,financial_score,0.7878821505853633,0.009842895492461326
growth_score,market_score,0.8485268823170393,0.12314772421720246
growth_score,operational_score,0.8393719136658715,0.10272935529725993
growth_score,risk_adjusted_score,0.836542196082783,-0.04657910027877754
growth_score,value_score,0.8460300726849026,0.10272935529725992
growth_score,stability_score,0.8364867114242911,-0.01164414446190963
growth_score,similarity_rank,0.8525772623869501,-0.011644144461909658
growth_score,sector_position,0.8323253620373966,0.11422561829978893
stability_score,ESG_composite,0.8499139987793375,0.1333721648070813
stability_score,financial_score,0.8953559340842259,-0.07841418149210852
stability_score,market_score,0.9083948288298286,0.06332142182073422
stability_score,operational_score,0.9045109027353937,0.08034295428603909
stability_score,risk_adjusted_score,0.8859790267990901,0.04600053190287878
stability_score,value_score,0.9129445708261665,0.08034295428603909
stability_score,growth_score,0.8793763524385507,-0.02005000569314322
stability_score,similarity_rank,0.9207679076735283,0.04600053190287878
stability_score,sector_position,0.9022915163957166,0.0803429542860391
similarity_rank,ESG_composite,0.9023470010542085,0.06060765785596038
similarity_rank,financial_score,0.9202685457471009,-0.04199512253429069
similarity_rank,market_score,0.9466792431892582,-0.006726441768901303
similarity_rank,operational_score,0.967375020806747,0.10288060063433697
similarity_rank,risk_adjusted_score,0.910281307218554,-0.09134544668082309
similarity_rank,value_score,0.9754757809465684,0.0
similarity_rank,growth_score,0.9153304111413195,0.004625207148207855
similarity_rank,stability_score,0.9543916107196361,0.07451690324975019
similarity_rank,sector_position,0.9619375242745382,0.040308348575016306
sector_position,ESG_composite,0.8914720079897909,0.02758223784483979
sector_position,financial_score,0.9010153692504024,-0.1820301677377821
sector_position,market_score,0.9279809132774789,-0.08515013757667708
sector_position,operational_score,0.9385784830494368,-0.00645363634263546
sector_position,risk_adjusted_score,0.883038339899018,-0.08511869260331045
sector_position,value_score,0.941574654608001,-0.08515013757667714
sector_position,growth_score,0.8930810630860567,-0.047625216870860326
sector_position,stability_score,0.918714975309327,-0.17189842414544668
sector_position,similarity_rank,0.9410752926815735,-0.006453636342635474
