ticker,base_rank,avg_rank,rank_std,rank_range,rank_stable
CRAFTSMAN.NS,112.0,113.73,11.524630145909239,52.0,False
SUNDRMFAST.NS,113.0,110.5,6.588626564011653,29.0,False
IOSP,114.0,111.46,8.339568334152553,40.0,False
TRENT.NS,115.0,113.62,5.668827039167804,30.0,False
ZI,116.0,115.78,1.6466936569987753,8.0,True
LAURUSLABS.NS,117.0,118.43,10.790973079384454,48.0,False
CMA,118.0,117.89,1.731444483660969,9.0,True
SJM,119.0,116.82,10.357007289753154,48.0,False
ARVIND.NS,120.0,119.18,7.539734743344756,34.0,False
PB,121.0,118.02,8.327040290523398,38.0,False
WELSPUNIND.NS,122.0,122.94,1.6359706598836055,9.0,True
SUVENPHAR.NS,123.0,125.23,1.580221503460828,8.0,True
ALKEM.NS,124.0,126.77,4.230496424770974,20.0,False
OGE,125.0,126.0,8.527602242131136,42.0,False
AR,126.0,126.87,9.471699953017938,43.0,False
ANSS,127.0,129.32,1.5676734353812338,7.0,True
ATI,128.0,128.61,7.205407691449527,34.0,False
BIOCON.NS,129.0,130.53,8.33241261580342,43.0,False
PEN,130.0,130.36,10.532350165086612,48.0,False
AUROPHARMA.NS,131.0,131.08,6.484874709660935,31.0,False
DOCN,132.0,130.24,14.65886762338756,62.0,False
STE,133.0,130.4,5.192301994298869,25.0,False
BSOFT.NS,134.0,130.89,7.251061991184463,35.0,False
FIX,135.0,134.86,14.428457991067514,64.0,False
AVA,136.0,136.6,11.813551540497887,57.0,False
HLNE,137.0,137.1,12.037856952132303,58.0,False
MOTHERSON.NS,138.0,140.42,8.897392876567832,44.0,False
USFD,139.0,140.94,13.885114331542251,66.0,False
LALPATHLAB.NS,140.0,140.96,6.110515526532929,32.0,False
HUBS,141.0,142.19,8.956221301419479,41.0,False
NOV,142.0,143.91,7.8855500759300226,35.0,False
ALKS,143.0,142.84,6.218874496241262,27.0,False
TFX,144.0,142.62,10.199784311445022,53.0,False
CFR,145.0,145.03,5.512630950825567,23.0,False
FRPT,146.0,144.57,5.506823040556143,28.0,False
SUI,147.0,145.29,8.630521421096178,46.0,False
DKS,148.0,145.54,5.135017039893831,20.0,False
HBAN,149.0,146.44,5.575517913162866,27.0,False
COFORGE.NS,150.0,147.78,3.3274013884711895,13.0,False
WSC,151.0,144.86,13.400761172411066,69.0,False
CMC,152.0,148.9,8.07403244977378,38.0,False
HIW,153.0,148.66,7.6762230295894875,37.0,False
LPLA,154.0,151.14,5.429585619547775,27.0,False
AMH,155.0,155.14,5.03193799643835,33.0,False
ASO,156.0,156.14,4.959879030782909,29.0,False
CASY,157.0,158.12,8.174692654773022,43.0,False
MANH,158.0,157.67,7.208404816601242,34.0,False
HONASA.NS,159.0,159.67,7.484724443825571,47.0,False
SEIC,160.0,159.42,6.8281476258206375,33.0,False
BEN,161.0,160.6,3.807886552931954,21.0,False
CRWD,162.0,161.89,5.647822589281643,28.0,False
WMG,163.0,163.21,8.459663113859795,40.0,False
OII,164.0,166.63,8.52719766394564,46.0,False
GRANULES.NS,165.0,165.58,4.434365794564089,23.0,False
IPCALAB.NS,166.0,167.07,2.860961376880156,16.0,True
ROUTE.NS,167.0,166.23,6.706496850070087,28.0,False
TATAELXSI.NS,168.0,166.76,7.086776418090245,36.0,False
KWR,169.0,169.82,3.2384564224333787,13.0,False
DINO,170.0,170.85,7.629383985617712,33.0,False
SLVM,171.0,169.61,7.235875897222119,32.0,False
OKTA,172.0,172.85,4.373499742768942,20.0,False
METROPOLIS.NS,173.0,172.95,4.499722213648305,22.0,False
LTTS.NS,174.0,172.2,6.141661013113635,24.0,False
EXIDEIND.NS,175.0,174.62,3.3638668225719037,14.0,False
RH,176.0,174.62,5.547576047248024,24.0,False
MDU,177.0,176.25,5.481559996935179,28.0,False
JUBLFOOD.NS,178.0,176.53,4.028535714127405,19.0,False
BATAINDIA.NS,179.0,175.99,7.323243816779556,32.0,False
PNFP,180.0,178.79,4.423335845264296,21.0,False
TECH,181.0,180.42,4.635040452897904,25.0,False
SUDARSCHEM.NS,182.0,183.63,2.848350399792834,15.0,True
FMC,183.0,181.8,8.468766143896051,43.0,False
SMCI,184.0,183.05,5.797197598840322,30.0,False
AARTIIND.NS,185.0,185.0,3.8262252939417984,23.0,False
SF,186.0,185.26,1.9930880562584283,9.0,True
MSGS,187.0,185.7,5.214403129793475,23.0,False
ABCAPITAL.NS,188.0,186.6,5.232590180780452,34.0,False
CBSH,189.0,186.98,4.10360816842934,23.0,False
FLO,190.0,190.72,5.648150139647493,28.0,False
TXRH,191.0,192.55,4.332147273581543,18.0,False
HXL,192.0,192.71,2.604976007567056,14.0,True
BIKAJI.NS,193.0,193.7,4.162931659299729,27.0,False
ANANTRAJ.NS,194.0,194.96,3.3938768392503578,19.0,False
BIO,195.0,195.72,2.7279296178604024,11.0,True
LYV,196.0,196.17,2.8742129357443225,14.0,True
POOL,197.0,195.43,5.032404991651605,27.0,False
NET,198.0,198.16,3.8670919306372844,16.0,False
ENSG,199.0,199.61,3.9392765833335437,21.0,False
ALLY,200.0,199.82,2.658495815306092,15.0,True
DEEPAKNTR.NS,201.0,199.37,3.2944043467674087,17.0,False
DIXON.NS,202.0,199.23,3.230650089378297,14.0,False
GRINDWELL.NS,203.0,199.78,4.98714347096612,21.0,False
