Ticker,Preference_Score,ESG_Score,Financial_Score
NVDA,93.57643312101912,67.00447506252576,70.73336461634194
MSFT,91.7515923566879,68.13146743073958,66.71835925617069
AAPL,90.7611464968153,68.67377028234378,57.60127754909213
GOOGL,89.78980891719746,64.45927474058372,59.33920379501266
XOM,89.187898089172,74.08864853597402,33.41995568457087
AVGO,88.73089171974522,65.64458904000155,64.61831146865164
MRK,87.62738853503184,70.87810807862414,63.42874529163679
NEE,87.25159235668792,73.32810459956528,59.36605136866536
KO,86.91082802547771,68.26492128053397,61.8289209421977
JNJ,86.79299363057325,64.72241701973229,58.407312332612165
LLY,86.3407643312102,67.2128868933495,64.87479449297072
CVX,85.66401273885351,74.87178131333783,45.1499662656348
META,85.26273885350321,63.487426097329205,65.71595861085684
PG,84.12738853503186,67.45854100805627,58.56116623062698
MCD,83.7643312101911,63.34318482973625,63.444885847154445
ABBV,82.9267515923567,67.7399847386051,66.36728136365124
PFE,81.5923566878981,64.14176182588963,57.435209906301644
NFLX,81.37898089171973,62.59284932328728,53.65705996562772
GE,79.06369426751594,60.71733395676375,51.693276090422124
DE,78.0127388535032,63.31930604129703,41.65647089881445
HON,77.80573248407643,65.41777657716698,53.122647895543324
CAT,76.90445859872612,59.26947493661646,50.51498689289953
HD,76.8312101910828,61.494741916046095,50.81809650533004
CSCO,75.31528662420384,58.64812894513626,49.17260255615401
ADBE,73.13535031847134,59.61603883791467,62.41727627742823
AMZN,73.07643312101911,53.234116113542434,47.93054438582506
RTX,72.13694267515925,59.94863674673641,35.19696596981608
COST,72.05414012738852,54.89094370144375,32.844773792855676
LMT,71.12101910828025,55.9104769916538,48.54681641334987
BAC,70.56369426751593,56.80486210443486,25.507928476283695
JPM,68.94585987261146,56.202615112045805,27.749714469842626
MS,68.53025477707007,55.97247521988283,32.68032375327287
BLK,67.56050955414014,58.61204417597671,53.493552990001
GS,64.97770700636943,55.00159244740996,26.712218770231075
CRM,64.9156050955414,55.75019184590425,43.73841865519306
WMT,64.60191082802548,53.91546613217138,28.80285609378164
ORCL,61.898089171974526,51.00257727622636,56.49320185490076
TMO,61.14649681528663,52.60835191853255,37.95987710622838
DIS,60.77707006369428,55.46029828878179,30.62865766635585
WFC,60.74522292993631,54.04214639538914,19.025500877530718
AMD,59.89968152866242,47.53560492229553,37.5296320918018
NKE,57.270700636942685,52.980660581311824,46.916174354123854
INTC,50.79617834394905,48.904508685140726,25.774000353508534
UNH,47.55414012738854,48.0186977209712,31.470358347578273
BRK-B,45.617834394904456,42.662220056945785,39.15796843190334
