ticker,company_name,sector,country,ESG_composite,financial_score,market_score,operational_score,risk_adjusted_score,value_score,growth_score,financial_score
MARA,"MARA Holdings, Inc.",Financial Services,US,33.229703879324745,33.17307617860511,35.88652153401765,37.17677844307481,38.249915012331925,62.49885892222079,25.056906854237237,33.17307617860511
CFLT,"Confluent, Inc.",Technology,US,33.27298206286197,33.2161944971737,63.33300961072065,35.91555061476743,53.23396834522974,43.96606810651408,38.16098329049522,33.2161944971737
IONS,"Ionis Pharmaceuticals, Inc.",Healthcare,US,33.14314751225029,33.2593128157423,49.89160154788032,21.44131381358803,64.0138628293289,38.90187526733841,23.387217801733303,33.2593128157423
STEP,StepStone Group Inc.,Financial Services,US,33.66248571469701,33.30243113431089,34.58574010858149,49.40613045459008,34.90814772226119,63.7918443279678,51.48558864798895,33.30243113431089
KMX,CarMax Inc,Consumer Cyclical,US,36.58376310345979,33.345549452879496,56.5039071271808,62.43730581014091,35.77053928098913,64.00734189559226,20.429044331251426,33.345549452879496
VRNS,"Varonis Systems, Inc.",Technology,US,34.41985392659847,33.38866777144809,35.14941205960383,45.838247581073794,38.68111079169589,53.66345864961647,33.479544742617065,33.38866777144809
FOXF,Fox Factory Holding Corp.,Consumer Cyclical,US,35.50180851502913,33.431786090016686,43.91884683608595,29.97578906691435,37.818719232967965,65.8390712204005,30.972920374894816,33.431786090016686
SITE,"SiteOne Landscape Supply, Inc.",Industrials,US,37.66571769189046,33.47490440858529,44.786034453043385,52.303644254544224,44.50225381310944,65.51582486896379,40.43044765818336,33.47490440858529
NEOG,Neogen Corporation,Healthcare,US,33.57592934762255,33.51802272715388,61.29511871087066,22.80128072268634,41.37608441272068,57.54241486685737,30.187581231942197,33.51802272715388
RAJESHEXPO.NS,RAJESH EXPORTS LTD,Consumer Cyclical,India,33.749042081771464,33.56114104572248,34.32558382349426,45.65294723639163,33.28038365516222,67.13205662614749,78.61721606896518,33.56114104572248
CLF,Cleveland-Cliffs Inc.,Basic Materials,US,38.31489044494886,33.604259364291075,38.72656097955327,48.84445834800351,54.20415884879866,66.80881027471075,39.0216772560533,33.604259364291075
MTZ,"MasTec, Inc.",Industrials,US,33.3162602463992,33.64737768285967,66.4657248769794,33.124241067833914,64.76845544321583,52.15497567624495,69.08176365554448,33.64737768285967
GNRC,Generac Holdlings Inc.,Industrials,US,35.93459035040139,33.69049600142827,55.85351641446272,49.19558463097915,48.38301582738513,55.495187974424674,27.237600670449687,33.69049600142827
NTRA,"Natera, Inc.",Healthcare,US,34.85263576197074,33.73361431999686,56.61230557930048,43.75148744817483,55.0665504075266,42.78083148457934,54.75358927866926,33.73361431999686
IART,Integra LifeSciences Holdings C,Healthcare,US,42.3181224221423,34.26181372246217,34.8892557745166,33.6630599639263,33.15102492135303,66.59331270708626,29.47442440421147,34.26181372246217
RVMD,"Revolution Medicines, Inc.",Healthcare,US,34.74444030312767,34.369609518883664,66.33564673443578,29.180663879512185,61.04939184620163,55.06419283917565,35.920081396049355,34.369609518883664
FROG,JFrog Ltd.,Technology,US,33.18642569578752,34.47740531530516,55.419922605984,38.701457009949664,51.61698417261487,42.34983634933036,46.32708726021839,34.47740531530516
AZTA,"Azenta, Inc.",Healthcare,US,34.31165846775541,34.58520111172665,34.629099489429365,33.014646086322955,34.36915299805624,64.33058824702906,37.16519593335356,34.58520111172665
PCVX,"Vaxcyte, Inc.",Healthcare,US,33.44609479701087,34.692996908148146,61.25175933002279,26.8393478758345,54.31195779363966,59.37414419166558,39.621041922198,34.692996908148146
OMCL,"Omnicell, Inc.",Healthcare,US,36.90834947998899,34.80079270456963,39.37695169227136,29.93032690865664,38.5733118468549,60.45163202978807,37.88855340090661,34.80079270456963
