column,variable_type,count,missing,missing_pct,mean,std,min,q25,median,q75,max,skewness,kurtosis,n_zeros,n_negative,n_unique
environmental_fines,count,60,0,0.0,31.763323757628985,55.47054926239533,0.1857113626537154,4.0925589673935985,17.69201167361325,39.70002540513315,380.1481888888142,4.73445087611585,27.25625556622966,0,0,60
scope2_emissions,count,60,0,0.0,94.99067510807708,155.74630707027364,10.0,17.227914903833373,42.39888323844865,100.14819137801157,1022.4810813027829,4.219188466623076,21.94682551373214,0,0,55
avg_daily_volume,count,30,30,50.0,27106290.132802125,40397992.70219063,2191241.434262948,7191232.071713147,13880853.784860559,34091002.19123506,209946275.69721115,3.5578416881069117,14.90073557474057,0,0,30
price_volatility,continuous,30,30,50.0,26.640425363695602,10.256388102610076,11.418189463218042,20.637882393116982,24.137814488211347,31.418613052378074,62.75917561375224,1.646427047299979,4.140226688683217,0,0,30
women_management_pct,bounded_pct,60,0,0.0,35.544962234376776,10.414788948316861,11.835042976500285,28.1796898164058,36.23387433842406,43.05622267683289,60.0,-0.08185533082933319,-0.4041198522148495,0,0,60
anti_corruption_policy,binary,60,0,0.0,0.7,0.4621247905424446,0.0,0.0,1.0,1.0,1.0,-0.8954142082760006,-1.24074554201596,18,0,2
free_cashflow,count,40,20,33.33333333333333,55095722144.0,134537071922.3906,-59323748352.0,6945156096.0,13778062336.0,25303094272.0,705742831616.0,3.7133338463377097,14.984494198509985,0,3,40
price_momentum_1m,continuous,30,30,50.0,0.155633749778976,9.865312835018262,-20.422032145120404,-5.857123638518807,-0.578849920030261,8.626327105199133,15.00747723797904,-0.29413366986779094,-0.9276870954732406,0,16,30
exec_comp_esg_linked,bounded_pct,60,0,0.0,34.55005512630721,16.837820300328737,7.84664682981899,22.63299905149647,30.35873877886001,46.28062681927834,77.32617065301426,0.696539291261857,-0.08557738802979342,0,0,60
gender_diversity_pct,bounded_pct,60,0,0.0,42.07722303159835,11.497586044815728,12.787585573368238,36.236852718407235,43.10427970620323,48.35982419587258,70.0,-0.2689282109472646,0.42075185824842576,0,0,60
roe,rate,50,10,16.666666666666664,0.35893119866,0.4277732182798124,0.049250003,0.13274750000000002,0.221185,0.34047749,2.09915,2.7215176535184926,7.150369951532278,0,0,50
esg_risk_rating,ordinal,60,0,0.0,73.85021817381848,11.448456329313094,42.37597877213006,68.04302260573667,75.46703781195785,82.07531013839719,90.0,-0.6177904821934821,-0.12496681171764212,0,0,55
emissions_intensity,rate,60,0,0.0,0.05936472639104911,0.08469799648456443,0.003624034557911,0.016904292196461525,0.02692446019588295,0.06563833893462227,0.5675004358426551,4.084720510195034,21.866658858655516,0,0,60
tax_transparency_score,bounded_pct,60,0,0.0,65.6388607342971,15.087324883783655,29.83950718274732,54.8569775603145,65.2852144818314,74.46680482646727,95.0,-0.03641518173172595,-0.4293192104394641,0,0,58
debt_to_equity,ratio,50,10,16.666666666666664,74.06519999999999,94.22889434147218,0.1,19.8485,49.0085,79.34425,544.586,3.138235211521269,12.59333523515995,0,0,50
beta,continuous,60,0,0.0,1.0283275748586598,0.26166108766253976,0.5180268697783963,0.8433266835231945,1.0170839655045534,1.2071531529075394,1.7091617483858084,0.08617601238054227,-0.3122313877339322,0,0,60
safety_training_hours,continuous,60,0,0.0,8.920129285720757,2.7125676875946105,3.161001408342255,7.251537773255495,8.74942400521025,10.595492527475491,14.072589893481156,-0.021048301651390537,-0.5107202147253402,0,0,60
r_d_intensity,rate,60,0,0.0,0.7619223538800595,3.776039785025967,0.0,0.0,0.0,0.0,28.548113107004564,7.014982335000839,51.89124060146795,54,0,7
r_d_expenditure,count,6,54,90.0,16355333333.333334,20624878663.07743,2546000000.0,4880000000.0,9695500000.0,14085000000.0,57372000000.0,2.1775313718102534,4.957936794158117,0,0,6
price_to_book,ratio,60,0,0.0,6.680266853333335,24.758959047578774,-150.92976,2.553410275,5.52220565,10.32516875,64.17494,-4.064968366414587,28.757884678764807,0,2,60
ceo_pay_ratio,ratio,60,0,0.0,24.613776096838038,16.288693560237466,5.0,12.195694375412504,19.98940586120002,31.407336310555415,69.8031286967444,1.272433418746664,1.313974172289322,0,0,59
energy_efficiency,bounded_pct,60,0,0.0,70.64464343695862,11.175519614515663,43.6054596654945,65.44280582614805,71.74773216206538,77.05481569940945,99.0,-0.30182734324195126,0.2795341333026511,0,0,60
avg_daily_volume_30d,count,30,30,50.0,25230626.777777776,30494201.72387008,2237946.6666666665,8519042.5,14230088.333333332,35298404.16666666,160173326.66666666,3.2076797619731825,13.18711107136445,0,0,30
carbon_reduction_target,binary,60,0,0.0,0.35,0.4809947319913076,0.0,0.0,0.0,1.0,1.0,0.6452146082793594,-1.6395099153719843,39,0,2
injury_rate,continuous,60,0,0.0,1.0427819267275664,1.214267318956932,0.0,0.20995498039153557,0.5120347627031587,1.2256492934261447,4.938956075902351,1.5869898132113953,1.7034464048977136,2,0,59
revenue_per_employee,count,60,0,0.0,200000.0,6.562733568741493e-12,200000.0,200000.0,200000.0,200000.0,200000.00000000003,0.0,0.0,0,0,2
water_usage_intensity,rate,60,0,0.0,6.4926189978533015,8.535099455378479,1.0,2.294871688003459,3.718231012316215,6.3023715940132305,52.23246757098519,3.4041977576579745,14.235522014738885,0,0,54
ebitda,count,51,9,15.0,129168892426.03922,280598112291.4414,3808000000.0,14390496256.0,33059663872.0,143601999872.0,1684509949952.0,4.291083770057993,20.52535084451033,0,0,51
market_share,rate,60,0,0.0,6.855163456450023,3.0166142235030966,0.91488532540126,4.929774576785209,6.639761260074621,8.887797125851549,16.07443205088236,0.48682634223872573,0.6239623487522468,0,0,60
supply_chain_audit_pct,bounded_pct,60,0,0.0,55.20578402223267,13.019088209391178,28.559632219803134,45.95801086412111,55.498170598300774,61.244815920357844,86.41115140104954,0.23581563312846499,-0.26744606877834887,0,0,60
