ticker,company_name,sector,country,ESG_composite,financial_score,market_score,operational_score,risk_adjusted_score,value_score,growth_score,pref_balanced
CTRA,Coterra Energy Inc.,Energy,US,61.50787368452911,73.74280231697563,73.10764050342004,76.4515645047378,60.02773711146105,37.54456686872247,69.96762472210547,85.07542742205834
INCY,Incyte Corporation,Healthcare,US,56.09858079462015,70.90562262653606,54.04425945645757,65.1548513532324,58.56591381741113,68.58883478593789,74.90869372702865,84.9145155883339
GGG,Graco Inc.,Industrials,US,64.64032585041647,72.04003172861535,49.245341991159165,73.72888232394027,54.97334043867784,48.77930938492789,55.630076212393305,81.23365739188736
DECK,Deckers Outdoor Corporation,Consumer Cyclical,US,65.94397864243832,73.82000030907602,49.4910674486771,77.22019063413181,45.03912077554061,58.423870045167845,65.47589688761231,79.85920214549111
STLD,"Steel Dynamics, Inc.",Basic Materials,US,59.652076718006825,48.53095325570644,49.59769231901477,76.34081477065209,67.24973466141908,49.713596165871,71.54077434956221,79.83908816627557
NAVINFLUOR.NS,NAVIN FLUORINE INT. LTD,Basic Materials,India,62.25925166284423,62.10823035494417,45.014044237173536,62.11674621508987,70.511526551853,21.622198513494897,75.56430916178657,79.43010392222594
STAG,"Stag Industrial, Inc.",Real Estate,US,66.42019680237189,69.01332077716975,50.09679243028999,71.05688446942796,51.41388861597614,38.69101331291671,69.78965506692572,78.40093865236338
NNN,"NNN REIT, Inc.",Real Estate,US,72.21096566260015,77.86068587740851,52.454366964106974,68.06068251301562,57.13125691175078,57.05631205802879,44.28331069160511,75.98726114649682
EWBC,"East West Bancorp, Inc.",Financial Services,US,64.51790744089098,75.03917379152892,48.77216837446115,57.06436052627487,44.7501452011427,51.63734013304216,66.43145477201638,74.73684210526316
PIDILITIND.NS,PIDILITE INDUSTRIES LTD,Basic Materials,India,58.749490668935096,63.95132729799879,46.07228692305523,49.19094681413352,63.58346246528842,18.18829283604324,59.590186280373445,74.20046932618169
MUTHOOTFIN.NS,MUTHOOT FINANCE LIMITED,Financial Services,India,53.76712647641984,71.49902370838143,44.90945023519661,48.394662995591695,55.221251809363366,36.41053281492101,77.8859583642179,73.11431444854175
MTCH,"Match Group, Inc.",Communication Services,US,66.53628226282541,64.48667829822685,58.241165168629344,59.80368527252489,45.02195402046048,71.13854820254868,56.45615467787722,71.3208179684881
CDNS,"Cadence Design Systems, Inc.",Technology,US,57.22893206747578,69.87144290405946,51.557521174508544,68.42127478050425,58.18642551380641,24.79595500947108,42.59245423785926,71.26047603084143
IBKR,"Interactive Brokers Group, Inc.",Financial Services,US,51.71573377918431,69.35435538177546,61.70392238289688,70.70286348488348,59.30393721887098,28.664568723916467,68.36874418043914,71.22024807241033
ITT,ITT Inc.,Industrials,US,64.16178709479286,62.95721925306986,47.34326105790402,53.32681144996233,54.68567607645893,59.02997368157816,45.866092436018825,71.14984914515588
VEEV,Veeva Systems Inc.,Healthcare,US,60.07658977997681,69.64359126425697,46.703931880301326,71.36611788331656,42.65595820692358,38.27220147009002,62.33303777684469,71.14314448541738
RPM,RPM International Inc.,Basic Materials,US,70.13421270958636,54.71529697795946,47.15539603410583,70.05140217978459,50.70188471407472,47.1882534345437,51.43767706299766,70.58665772712035
INVH,Invitation Homes Inc.,Real Estate,US,64.74610463477505,61.63326572018863,61.254283004873,73.28733900355391,37.817955593688666,59.1328807287382,58.75620853279128,70.4994971505196
ATO,Atmos Energy Corporation,Utilities,US,48.09758015878312,69.31653759861216,56.78148049788319,36.7273756164454,62.27573320021733,28.46816194178681,68.65482775535162,70.44921220248072
