ticker,company_name,sector,country,ESG_composite,financial_score,market_score,operational_score,risk_adjusted_score,value_score,growth_score,pref_balanced
GOOGL,GOOGL,Communication Services,US,56.46901321717234,60.3730357116393,73.22218919158787,56.6627417752868,57.62004625911791,49.31262972430896,59.45010951304212,61.69236456533359
RELIANCE.NS,RELIANCE.NS,Energy,India,50.71062990110136,72.12976061071343,55.03295099123307,45.19763093793297,49.861823500676046,54.99370317430446,62.37482414423,60.67866464036128
TCS.NS,TCS.NS,Technology,India,53.272178713113206,71.73667715850664,44.233112374837205,44.45139874695829,44.34821517124018,51.48503785509156,66.11357476006927,60.06306967940414
BHARTIARTL.NS,BHARTIARTL.NS,Communication Services,India,54.11115089146492,70.18831781505558,43.4511218000366,51.2687829008967,51.09569627997831,50.2746352467279,66.0079754279002,59.20145526470425
META,META,Communication Services,US,51.237749267520414,64.8578736781173,49.442774321628896,57.63527563505952,48.62542913885948,51.14515800670176,57.62953656228852,58.5147836923449
JNJ,JNJ,Healthcare,US,51.34736920865621,54.62151771297942,61.34976405821706,57.78977780096978,50.25955428069579,53.5652055684555,52.69282708948421,57.30952131912243
NVDA,NVDA,Technology,US,55.89117214235359,58.56542652804883,58.52158514866783,53.36858572032291,45.34500250533969,35.72100679768831,52.38620832548905,56.92643591671225
ULTRACEMCO.NS,ULTRACEMCO.NS,Basic Materials,India,61.33524211040208,49.1934966104998,55.516486466693536,50.13087082545135,54.794653409390506,48.55115320834837,53.44329617864552,56.37093055874018
PG,PG,Consumer Defensive,US,59.37224110947549,48.22791605519221,59.9051856658489,48.739141698230455,61.165329187521074,53.27659361005093,45.94542399065322,56.03706350021018
PFE,PFE,Healthcare,US,49.61315414784734,53.56473248477988,56.373284976125845,61.6356068432418,46.691389383708994,56.89385296257501,50.66903647616985,55.81549676166941
INFY.NS,INFY.NS,Technology,India,53.92861736465287,57.52080007092789,53.0158478550794,46.77921551338389,55.91734586449439,52.65657934082691,46.020109218040815,55.6521653951597
ITC.NS,ITC.NS,Consumer Defensive,India,45.368788305193306,55.64428164867523,54.41783048518311,49.58257222174298,54.83698655930744,54.45048375089792,55.50469193484705,55.574563679789
MARUTI.NS,MARUTI.NS,Consumer Cyclical,India,50.06365673518896,52.638154401247,57.10342832735032,45.823001620848416,54.8294165612248,52.36342684441789,55.50066573253131,55.457067260245765
AAPL,AAPL,Technology,US,51.54716980545557,58.11307999455258,52.67543103078964,50.14433082580849,47.32057902640637,35.308154483739166,58.910363666946,55.1579881834539
SBIN.NS,SBIN.NS,Financial Services,India,49.801032553805406,53.86430505952168,56.69981311529819,44.89374611446245,56.11115086580703,57.62913912802391,58.46115393360603,54.9102274736303
AMZN,AMZN,Consumer Cyclical,US,53.44599783600521,49.07489012642559,53.439858618058906,50.04357086689513,50.93198668145118,50.72105882419709,53.47536496313207,54.73928190164133
V,V,Financial Services,US,55.60534365343124,54.40014815916928,47.47348143034286,56.38244043666191,53.71058801026246,47.43494288138666,45.726525271313584,54.44854802755992
MSFT,MSFT,Technology,US,50.69688089725918,60.68155229914041,31.38031609704086,59.704051127304666,36.6447780640147,51.95827165439608,57.86574104227506,54.42555380814731
PM,PM,Consumer Defensive,US,42.457120102963984,52.92221656935613,59.38777295079946,49.388738304127855,52.21558407262541,60.69048886831095,43.55724684749335,53.5798742047004
CVX,CVX,Energy,US,46.58901346391595,48.9523630659217,59.94044851121184,49.37531629680071,52.1661920478654,54.54039440142651,52.84038281976896,53.11775877473834
