ticker,original_rank,bootstrap_mean_rank,bootstrap_std_rank,ci_lower_5,ci_upper_95,p_top_n,ci_width_sampling,ci_width_weights,ci_width,consensus_rank,rank_std,ci_lower,ci_upper,rank_stable,rank_stable_relaxed,rank_stable_strict,rank_stable_moderate
AIAENG.NS,35.0,35.757,7.2131789801723345,24.0,53.0,0.003,4.0,29.0,29.0,35.757,7.2131789801723345,24.0,53.0,False,True,True,True
FTNT,36.0,38.788,6.236590093953587,28.0,53.0,0.0,5.0,23.049999999999976,25.0,38.788,6.236590093953587,28.0,53.0,False,True,True,True
MTDR,37.0,43.672,10.012413095752692,26.0,67.0,0.0,12.0,37.02499999999998,41.0,43.672,10.012413095752692,26.0,67.0,False,True,True,True
DXCM,38.0,42.771,12.36780332152804,23.0,72.0,0.008,9.0,49.02499999999998,49.0,42.771,12.36780332152804,23.0,72.0,False,True,True,True
RRC,39.0,40.82,7.40226992212524,27.0,56.0,0.0,8.0,27.0,29.0,40.82,7.40226992212524,27.0,56.0,False,True,True,True
LULU,40.0,44.044,11.894455178779733,26.0,75.0,0.0,9.0,46.0,49.0,44.044,11.894455178779733,26.0,75.0,False,True,True,True
WING,41.0,46.05,9.491759583975988,32.0,69.0,0.0,13.0,35.0,37.0,46.05,9.491759583975988,32.0,69.0,False,True,True,True
CBT,42.0,43.103,6.516931102904189,32.0,58.0,0.0,9.0,24.0,26.0,43.103,6.516931102904189,32.0,58.0,False,True,True,True
PAGEIND.NS,43.0,46.693,10.443502812753966,31.975,70.0,0.0,12.0,38.0,38.025,46.693,10.443502812753966,31.975,70.0,False,True,True,True
LAMR,44.0,48.825,10.670256557365432,31.0,70.0,0.0,15.0,37.0,39.0,48.825,10.670256557365432,31.0,70.0,False,True,True,True
MWA,45.0,49.001,7.868735540097913,35.0,65.0,0.0,11.0,28.025,30.0,49.001,7.868735540097913,35.0,65.0,False,True,True,True
OVV,46.0,53.628,9.650161449426637,37.0,75.02499999999998,0.0,14.0,34.02499999999998,38.02499999999998,53.628,9.650161449426637,37.0,75.02499999999998,False,True,True,True
FIVE,47.0,44.799,8.063535142851427,31.0,63.0,0.0,11.0,28.0,32.0,44.799,8.063535142851427,31.0,63.0,False,True,True,True
PERSISTENT.NS,48.0,50.271,11.899393219824278,31.0,72.0,0.0,16.024999999999977,41.025,41.0,50.271,11.899393219824278,31.0,72.0,False,True,True,True
QLYS,49.0,49.158,8.073353454420287,35.975,66.0,0.0,15.0,30.0,30.025,49.158,8.073353454420287,35.975,66.0,False,True,True,True
GMED,50.0,50.109,11.026201476483187,30.0,73.0,0.002,15.0,40.0,43.0,50.109,11.026201476483187,30.0,73.0,False,True,True,True
CANFINHOME.NS,51.0,50.945,11.60301577177244,31.0,73.0,0.0,15.0,42.0,42.0,50.945,11.60301577177244,31.0,73.0,False,True,True,True
DTE,52.0,56.506,13.244167168984237,34.975,84.0,0.0,16.0,49.0,49.025,56.506,13.244167168984237,34.975,84.0,False,True,True,True
IPAR,53.0,54.344,11.52491492376408,37.0,83.0,0.0,14.0,45.0,46.0,54.344,11.52491492376408,37.0,83.0,False,True,True,True
BMRN,54.0,56.395,10.796155565755804,39.0,82.02499999999998,0.0,14.0,41.0,43.02499999999998,56.395,10.796155565755804,39.0,82.02499999999998,False,True,True,True
GODREJCP.NS,55.0,53.684,9.689899070681799,38.0,74.0,0.0,15.0,34.0,36.0,53.684,9.689899070681799,38.0,74.0,False,True,True,True
COLPAL.NS,56.0,57.055,12.07691910215515,39.0,87.02499999999998,0.0,15.0,47.0,48.02499999999998,57.055,12.07691910215515,39.0,87.02499999999998,False,True,True,True
EME,57.0,57.777,10.192706755322652,39.0,79.0,0.0,14.0,39.0,40.0,57.777,10.192706755322652,39.0,79.0,False,True,True,True
CUBE,58.0,58.37,12.953111595288602,38.0,90.0,0.0,16.0,49.02499999999998,52.0,58.37,12.953111595288602,38.0,90.0,False,True,True,True
CELH,59.0,57.398,10.594413433503528,40.0,80.0,0.0,15.0,39.02499999999998,40.0,57.398,10.594413433503528,40.0,80.0,False,True,True,True
CHRD,60.0,59.576,13.099855877069793,38.0,89.0,0.0,11.0,49.02499999999998,51.0,59.576,13.099855877069793,38.0,89.0,False,True,True,True
REXR,61.0,62.275,12.112529669726305,42.975,91.0,0.0,12.0,48.02499999999998,48.025,62.275,12.112529669726305,42.975,91.0,False,True,True,True
AJANTPHARM.NS,62.0,57.699,7.967458754207643,41.0,72.0,0.0,12.0,29.0,31.0,57.699,7.967458754207643,41.0,72.0,False,True,True,True
HRMY,63.0,65.329,13.938032823895917,44.0,101.0,0.0,11.0,53.02499999999998,57.0,65.329,13.938032823895917,44.0,101.0,False,True,False,True
FNB,64.0,59.487,9.28794008378607,43.0,79.0,0.0,13.0,33.02499999999998,36.0,59.487,9.28794008378607,43.0,79.0,False,True,True,True
ELS,65.0,69.258,13.315984229489008,43.0,96.02499999999998,0.0,10.0,52.025,53.02499999999998,69.258,13.315984229489008,43.0,96.02499999999998,False,True,True,True
SEE,66.0,66.723,10.533008639510367,44.0,86.0,0.0,12.0,39.0,42.0,66.723,10.533008639510367,44.0,86.0,False,True,True,True
IIFL.NS,67.0,69.637,14.655075264221608,40.0,98.0,0.0,12.0,55.0,58.0,69.637,14.655075264221608,40.0,98.0,False,True,False,True
MEDP,68.0,67.248,13.095590708326219,45.0,95.02499999999998,0.0,9.0,49.0,50.02499999999998,67.248,13.095590708326219,45.0,95.02499999999998,False,True,True,True
OBEROIRLTY.NS,69.0,74.155,13.880452982521861,45.0,101.02499999999998,0.0,14.025000000000006,53.049999999999976,56.02499999999998,74.155,13.880452982521861,45.0,101.02499999999998,False,True,False,True
INGR,70.0,70.35,10.966289253890762,51.0,94.0,0.0,10.0,40.0,43.0,70.35,10.966289253890762,51.0,94.0,False,True,True,True
DABUR.NS,71.0,70.601,8.90493116200232,54.975,90.0,0.0,11.0,34.0,35.025,70.601,8.90493116200232,54.975,90.0,False,True,True,True
SM,72.0,82.907,19.851054153369287,50.975,127.02499999999998,0.0,21.025000000000006,72.0,76.04999999999998,82.907,19.851054153369287,50.975,127.02499999999998,False,True,False,True
CHOLAFIN.NS,73.0,73.552,12.97833949317092,47.975,100.0,0.0,13.0,51.0,52.025,73.552,12.97833949317092,47.975,100.0,False,True,True,True
SEIC,74.0,75.136,12.08658363641273,52.0,101.0,0.0,13.0,46.0,49.0,75.136,12.08658363641273,52.0,101.0,False,True,True,True
CUMMINSIND.NS,75.0,77.291,17.64319469370556,44.975,114.0,0.0,16.025000000000006,70.0,69.025,77.291,17.64319469370556,44.975,114.0,False,True,False,True
NRG,76.0,79.563,10.256511638954056,61.975,100.0,0.0,15.0,37.0,38.025,79.563,10.256511638954056,61.975,100.0,False,True,True,True
NATCOPHARM.NS,77.0,76.964,9.425322487851544,60.0,96.0,0.0,14.0,33.0,36.0,76.964,9.425322487851544,60.0,96.0,False,True,True,True
CLEAN.NS,78.0,84.727,16.80905919437492,57.975,121.02499999999998,0.0,20.0,63.0,63.049999999999976,84.727,16.80905919437492,57.975,121.02499999999998,False,True,False,True
UPL.NS,79.0,83.273,14.875230115867115,56.975,116.0,0.0,21.0,58.0,59.025,83.273,14.875230115867115,56.975,116.0,False,True,False,True
RS,80.0,84.063,17.583373709274337,50.0,116.02499999999998,0.0,21.0,66.0,66.02499999999998,84.063,17.583373709274337,50.0,116.02499999999998,False,True,False,True
MPHASIS.NS,81.0,81.953,14.192490655272598,52.975,111.0,0.0,17.0,55.049999999999976,58.025,81.953,14.192490655272598,52.975,111.0,False,True,False,True
BOOT,82.0,79.814,10.918305912548888,59.0,100.0,0.0,16.0,41.0,41.0,79.814,10.918305912548888,59.0,100.0,False,True,True,True
ZWS,83.0,79.336,11.245492608151944,57.0,101.0,0.0,15.049999999999983,41.025,44.0,79.336,11.245492608151944,57.0,101.0,False,True,True,True
LAURUSLABS.NS,84.0,85.639,17.090777600799793,50.0,116.02499999999998,0.0,18.0,65.04999999999998,66.02499999999998,85.639,17.090777600799793,50.0,116.02499999999998,False,True,False,True
CFR,85.0,84.929,11.303714389527011,64.0,108.0,0.0,15.0,41.0,44.0,84.929,11.303714389527011,64.0,108.0,False,True,True,True
MASFIN.NS,86.0,86.646,12.464697509366202,63.0,110.0,0.0,17.0,47.025,47.0,86.646,12.464697509366202,63.0,110.0,False,True,True,True
AMH,87.0,85.016,10.774309444228896,67.0,108.0,0.0,16.024999999999977,39.025000000000006,41.0,85.016,10.774309444228896,67.0,108.0,False,True,True,True
FINEORG.NS,88.0,90.404,11.700204442658256,67.0,113.0,0.0,14.0,43.0,46.0,90.404,11.700204442658256,67.0,113.0,False,True,True,True
SIG,89.0,85.107,11.737442268228628,64.0,111.0,0.0,17.0,44.02499999999998,47.0,85.107,11.737442268228628,64.0,111.0,False,True,True,True
AWI,90.0,89.442,7.442891642365889,77.0,106.0,0.0,17.0,26.0,29.0,89.442,7.442891642365889,77.0,106.0,False,True,True,True
PAYC,91.0,89.695,14.65455475270402,67.0,121.0,0.0,19.0,52.0,54.0,89.695,14.65455475270402,67.0,121.0,False,True,False,True
ZION,92.0,91.447,12.78449025186378,70.0,119.0,0.0,16.0,46.0,49.0,91.447,12.78449025186378,70.0,119.0,False,True,True,True
BIOCON.NS,93.0,88.874,15.438268167122892,57.0,117.0,0.0,18.0,58.0,60.0,88.874,15.438268167122892,57.0,117.0,False,True,False,True
BALKRISIND.NS,94.0,89.288,10.178460394381855,71.0,110.02499999999998,0.0,16.0,36.025000000000006,39.02499999999998,89.288,10.178460394381855,71.0,110.02499999999998,False,True,True,True
ENDURANCE.NS,95.0,94.451,15.084680937958218,62.0,122.0,0.0,16.025000000000006,54.025000000000006,60.0,94.451,15.084680937958218,62.0,122.0,False,True,False,True
PRESTIGE.NS,96.0,100.031,18.933885998389236,62.0,137.0,0.0,12.0,73.0,75.0,100.031,18.933885998389236,62.0,137.0,False,True,False,True
SUNDRMFAST.NS,97.0,94.492,9.716683384776928,75.975,113.0,0.0,11.0,37.0,37.025000000000006,94.492,9.716683384776928,75.975,113.0,False,True,True,True
USFD,98.0,102.777,21.652696621899086,60.975,149.0,0.0,11.0,86.02499999999998,88.025,102.777,21.652696621899086,60.975,149.0,False,True,False,True
PB,99.0,101.972,15.450282068622565,74.0,132.02499999999998,0.0,13.0,55.0,58.02499999999998,101.972,15.450282068622565,74.0,132.02499999999998,False,True,False,True
TRENT.NS,100.0,100.304,11.835015166868187,78.0,125.0,0.0,12.0,44.0,47.0,100.304,11.835015166868187,78.0,125.0,False,True,True,True
STE,101.0,96.732,7.160179886008452,83.0,112.0,0.0,11.0,26.024999999999977,29.0,96.732,7.160179886008452,83.0,112.0,False,True,True,True
AR,102.0,96.392,15.427389150468722,69.975,130.0,0.0,10.024999999999977,58.025000000000006,60.025000000000006,96.392,15.427389150468722,69.975,130.0,False,True,False,True
LPLA,103.0,106.035,14.620594208170884,78.975,137.02499999999998,0.0,14.0,56.025000000000006,58.04999999999998,106.035,14.620594208170884,78.975,137.02499999999998,False,True,False,True
EVRG,104.0,107.369,13.36229168219284,81.0,134.0,0.0,14.0,50.025000000000006,53.0,107.369,13.36229168219284,81.0,134.0,False,True,True,True
MOTHERSON.NS,105.0,109.061,15.608308012081258,76.0,140.02499999999998,0.0,11.0,60.0,64.02499999999998,109.061,15.608308012081258,76.0,140.02499999999998,False,True,False,True
RBC,106.0,108.721,15.421840324682394,77.0,138.02499999999998,0.0,12.0,61.0,61.02499999999998,108.721,15.421840324682394,77.0,138.02499999999998,False,True,False,True
CASY,107.0,111.338,16.119980024801517,79.975,143.02499999999998,0.0,14.0,63.025000000000006,63.04999999999998,111.338,16.119980024801517,79.975,143.02499999999998,False,True,False,True
HUBS,108.0,108.691,15.458574287430261,78.975,141.0,0.0,15.0,59.02499999999998,62.025000000000006,108.691,15.458574287430261,78.975,141.0,False,True,False,True
PNFP,109.0,112.492,17.637118131939808,85.0,154.02499999999998,0.0,16.024999999999977,67.0,69.02499999999998,112.492,17.637118131939808,85.0,154.02499999999998,False,True,False,True
ATUL.NS,110.0,116.532,20.49797492436753,77.975,157.0,0.0,17.024999999999977,78.0,79.025,116.532,20.49797492436753,77.975,157.0,False,True,False,True
SPXC,111.0,108.278,9.571035262708,88.975,128.0,0.0,12.0,38.0,39.025000000000006,108.278,9.571035262708,88.975,128.0,False,True,True,True
AUROPHARMA.NS,112.0,114.145,13.71021425799028,86.975,140.0,0.0,14.0,51.0,53.025000000000006,114.145,13.71021425799028,86.975,140.0,False,True,True,True
CRAFTSMAN.NS,113.0,120.645,20.250752455155833,80.975,159.0,0.0,15.024999999999977,76.0,78.025,120.645,20.250752455155833,80.975,159.0,False,True,False,True
HLNE,114.0,120.478,21.020835283118508,86.0,168.0,0.0,18.0,81.0,82.0,120.478,21.020835283118508,86.0,168.0,False,True,False,True
SUI,115.0,117.939,17.828552352897304,84.0,156.0,0.0,15.0,68.025,72.0,117.939,17.828552352897304,84.0,156.0,False,True,False,True
NGVT,116.0,116.468,20.84190432758005,76.975,159.02499999999998,0.0,19.0,82.0,82.04999999999998,116.468,20.84190432758005,76.975,159.02499999999998,False,True,False,True
ALKEM.NS,117.0,117.716,11.237586217689278,95.975,141.0,0.0,16.0,42.02499999999998,45.025000000000006,117.716,11.237586217689278,95.975,141.0,False,True,True,True
ALKS,118.0,114.425,13.677147911754117,94.0,146.0,0.0,17.0,50.049999999999955,52.0,114.425,13.677147911754117,94.0,146.0,False,True,True,True
SRF.NS,119.0,118.332,11.278465143803922,97.0,142.02499999999998,0.0,16.0,43.0,45.02499999999998,118.332,11.278465143803922,97.0,142.02499999999998,False,True,True,True
KRC,120.0,124.966,21.301240433364438,89.0,169.0,0.0,20.025000000000006,77.025,80.0,124.966,21.301240433364438,89.0,169.0,False,True,False,True
HIW,121.0,127.947,21.013476413958735,92.0,171.0,0.0,20.025000000000006,77.0,79.0,127.947,21.013476413958735,92.0,171.0,False,True,False,True
GLENMARK.NS,122.0,124.592,12.007811457547124,102.0,147.0,0.0,16.0,44.0,45.0,124.592,12.007811457547124,102.0,147.0,False,True,True,True
IOSP,123.0,125.975,16.208774629810854,96.0,160.0,0.0,19.0,61.04999999999998,64.0,125.975,16.208774629810854,96.0,160.0,False,True,False,True
WWD,124.0,130.286,15.77016816650983,99.0,161.0,0.0,19.0,58.0,62.0,130.286,15.77016816650983,99.0,161.0,False,True,False,True
AVA,125.0,139.941,22.547982592684427,100.0,181.0,0.0,24.024999999999977,81.0,81.0,139.941,22.547982592684427,100.0,181.0,False,True,False,True
BSOFT.NS,126.0,135.2,19.729470342611837,98.0,174.0,0.0,22.0,74.02499999999998,76.0,135.2,19.729470342611837,98.0,174.0,False,True,False,True
