ticker,company_name,sector,country,ESG_composite,financial_score,market_score,operational_score,risk_adjusted_score,value_score,growth_score,financial_score
MARA,"MARA Holdings, Inc.",Financial Services,US,39.93425651050024,16.257969727183095,48.44288982869804,37.22797633053806,51.0294210726029,72.3327434998553,25.183401365442855,16.257969727183095
CLF,Cleveland-Cliffs Inc.,Basic Materials,US,56.3404329336947,18.43291490511261,44.25295356224368,50.900936862475405,51.45619311029359,75.85095560746117,39.06572734067653,18.43291490511261
IONS,"Ionis Pharmaceuticals, Inc.",Healthcare,US,39.82123642649436,18.707376146742128,51.127750428277885,21.595113629448417,56.65576864421276,45.15359237945461,23.527260163337964,18.707376146742128
VRNS,"Varonis Systems, Inc.",Technology,US,36.49226088450877,19.568995749264708,41.39277963727852,45.867559861774346,26.47771401227136,51.54345304190568,33.560546994243026,19.568995749264708
FOXF,Fox Factory Holding Corp.,Consumer Cyclical,US,33.995676746633364,20.89390066153845,33.06869307256241,30.48914898206764,30.83005692574176,71.82505283631224,31.05478094659381,20.89390066153845
NEOG,Neogen Corporation,Healthcare,US,33.72359736530418,20.96411311748668,45.50195545159672,22.94498368109152,39.43660149921869,53.041385689609726,30.287938104598243,20.96411311748668
CFLT,"Confluent, Inc.",Technology,US,29.26067685303787,22.347416676557938,58.18251543511093,35.98993401044645,44.17148586793049,43.101171335287,38.21249872771919,22.347416676557938
STEP,StepStone Group Inc.,Financial Services,US,44.19511881075307,22.58837329155765,38.360214323594775,49.40643660465166,34.004207051950374,64.06767653764189,51.47226752264932,22.58837329155765
TROX,Tronox Holdings plc,Basic Materials,US,34.68593435984898,23.592639800975498,48.34852915025118,28.06113750437128,37.10788749510286,66.49750356015161,42.91828355191967,23.592639800975498
FROG,JFrog Ltd.,Technology,US,33.01967826758428,24.42532935862024,43.28254415826618,38.76493671230552,39.876862442569504,42.09426642497135,46.34012064520653,24.42532935862024
KMX,CarMax Inc,Consumer Cyclical,US,51.58491642918456,24.498741337252827,50.62171281097847,62.39668045435121,27.462975469887915,70.3027093003959,20.603287883463285,24.498741337252827
IART,Integra LifeSciences Holdings C,Healthcare,US,47.487887036139824,24.65573876387383,34.03077734043509,33.11391456736975,25.1308498629851,76.45779512764778,29.57560447385097,24.65573876387383
PCVX,"Vaxcyte, Inc.",Healthcare,US,31.83552714260404,25.632952707069773,41.92869642353686,26.951983145147484,41.34855262557256,65.68331422143748,39.67381547899402,25.632952707069773
RBLX,Roblox Corporation,Communication Services,US,42.928300333044646,25.84240185438483,53.035436644384575,51.91771499681612,43.83220440246976,54.754740092274616,61.7221577727217,25.84240185438483
SITE,"SiteOne Landscape Supply, Inc.",Industrials,US,42.770862787144765,25.931069506655483,40.94842315322959,52.29720089002312,52.70393804986435,70.92049276855819,40.46877046020093,25.931069506655483
NTRA,"Natera, Inc.",Healthcare,US,35.352762435765214,26.400914436611902,46.75207838201909,43.79322754707441,53.98369316748955,50.72717076521326,54.73822350669129,26.400914436611902
CWAN,"Clearwater Analytics Holdings, ",Technology,US,31.979038444875027,26.536428547096797,60.24186539447361,39.63646820482778,49.746414716330094,38.634457135450816,56.94678175772198,26.536428547096797
OMCL,"Omnicell, Inc.",Healthcare,US,39.459543840067646,27.13439445113102,35.435233091505175,30.03845968647337,38.76492536029998,52.23542690464709,37.94634024644712,27.13439445113102
GNRC,Generac Holdlings Inc.,Industrials,US,48.871403246711374,27.622302558979936,44.52725801337105,49.55990121958037,49.62516693251847,50.7039624972795,27.35195179162183,27.622302558979936
