variable,Q5_mean,Q1_mean,difference,ttest_stat,ttest_p,cohens_d,significant
roa,0.08247584500185186,0.018457189010925922,0.06401865599092593,7.204758753096006,8.865350311635483e-11,1.3865564685154306,True
roe,0.21750397595370374,-0.018173027453703697,0.23567700340740744,5.818107752841305,6.390693351518749e-08,1.1196953590923922,True
net_margin,20.315784899458553,-1.354216955678705,21.670001855137258,7.784810715515924,4.932481678805591e-12,1.498187520731134,True
ESG_composite,58.16790691648063,38.875845881715655,19.292061034764977,16.320292881347967,1.0967138063309703e-30,3.1408418294332603,True
financial_score,63.29315686561013,34.05967605931575,29.23348080629438,16.293292687356296,1.2439179344060802e-30,3.1356456396768393,True
market_score,50.5835825695035,43.070786624844814,7.512795944658684,5.233530953333818,8.459534622433037e-07,1.0071935015731728,True
operational_score,58.50913856078724,35.26342021236253,23.24571834842471,11.15634789963769,1.3864953801047984e-19,2.1470401543429785,True
revenue_growth,0.13144444444444445,0.12344629629629626,0.007998148148148185,0.22640193477769804,0.8213248320715686,0.04357107266298535,False
current_ratio,2.288994444444444,2.1684407407407402,0.12055370370370388,0.535504397682482,0.5934228926246641,0.10305786938473646,False
dividend_yield,1.786203703703704,1.3192592592592591,0.46694444444444483,2.087667473248026,0.03922476797535063,0.4017717925527245,True
