esg_data_source,n_companies,ESG_composite_mean,ESG_composite_std,E_score_mean,E_score_std,S_score_mean,S_score_std,G_score_mean,G_score_std
real_sec,66,49.7,9.45,0.17,1.03,0.08,0.51,-0.38,0.48
real_yahoo,203,47.81,9.24,-0.28,0.89,0.03,0.51,-0.17,0.43
