w_esg,ic,ic_p025,ic_p975,topn_excess_pp,topn_vol_diff_pp,is_deployed
0.0,-0.0545749994025856,-0.18370552849054356,0.08036368432301517,1.1867568704023381,-7.02672735376219,False
0.05,-0.06697186007530835,-0.19540845575425178,0.06997789171227693,2.5555745459662473,-7.314402396891278,False
0.1,-0.07601978636461394,-0.20123885061207394,0.060235992208806426,2.555574545966246,-7.314402396891282,False
0.15,-0.08318671077291766,-0.20884129511590718,0.054828873279642525,2.5555745459662473,-7.314402396891289,False
0.2,-0.09174168484513309,-0.2182868445354404,0.04646208012313865,3.8139773767151537,-6.787916598298345,False
0.25,-0.0983139259001328,-0.22383346668190301,0.037919188343802535,1.894679616539579,-7.431124496617699,True
0.3,-0.10031645893714858,-0.2245013210947126,0.037366281593482535,2.099329131165644,-7.3624242460205735,False
0.35,-0.09874065046478839,-0.22606018104813957,0.040361065384856454,-5.6657417484067985,-9.889544580578711,False
0.4,-0.09865940210767796,-0.22738146308186255,0.03888611794302189,-5.665741748406799,-9.889544580578711,False
0.45,-0.10168539134056374,-0.2265835645743275,0.03405148522419689,-5.665741748406799,-9.889544580578711,False
0.5,-0.10426963530411806,-0.2296968876210905,0.03025006812516437,-5.26261388490361,-10.259385258438709,False
0.55,-0.10450109070798724,-0.2349826405038613,0.027139367947701432,-6.674666404593561,-10.264304484986532,False
0.6,-0.10330011709322053,-0.23504918608460737,0.026574940906472624,-6.674666404593561,-10.264304484986525,False
0.65,-0.10549040893868479,-0.2373317840268257,0.023477430972150368,-9.50068310023132,-10.93989444366174,False
0.7,-0.1076718249132042,-0.23702317744275278,0.023200899477620496,-12.196601724863976,-6.748537831293945,False
0.75,-0.10689416206657584,-0.2343071117598735,0.023750855688329454,-14.24040012293313,-6.999249338703983,False
0.8,-0.10862154310430171,-0.2345151065442922,0.02280190921137798,-14.24040012293313,-6.999249338703983,False
0.85,-0.10999730310075137,-0.23501130283592458,0.022208829815607647,-14.71179222234031,-7.614028536156699,False
0.9,-0.10965865448624067,-0.23576189662353655,0.02279794153832993,-15.095573299438016,-8.064878234953412,False
0.95,-0.11102144205592479,-0.23525364093796566,0.02050313799434078,-17.046548709594482,-7.035547811350199,False
1.0,-0.11105762829900759,-0.23066159420946672,0.0201346881420469,-19.88683642867831,-5.44654290235929,False
