ticker,company_name,sector,country,ESG_composite,financial_score,market_score,operational_score,risk_adjusted_score,value_score,growth_score,value_score
CUMMINSIND.NS,CUMMINS INDIA LTD,Industrials,India,57.99564440850259,62.180924995628594,53.18691449231859,43.96644944181443,63.79826493964691,32.86794337385247,28.090485616205,32.86794337385247
NAVINFLUOR.NS,NAVIN FLUORINE INT. LTD,Basic Materials,India,60.11627540182669,62.93549557057904,60.08105604713025,62.17839894602714,66.64415708344907,32.97569215766476,75.69865128416609,32.97569215766476
PIDILITIND.NS,PIDILITE INDUSTRIES LTD,Basic Materials,India,59.12087718047048,62.288720792050086,45.00283135728275,50.55070781745847,57.22252930434642,33.08344094147701,59.6227243120529,33.08344094147701
ABB.NS,ABB INDIA LIMITED,Industrials,India,53.24586376529199,55.71317721033908,53.70722706249306,39.61917745689055,52.58717467618379,33.19118972528925,34.454384199202295,33.19118972528925
TRGP,"Targa Resources, Inc.",Energy,US,47.83609082313868,60.995171234992185,60.81816552154408,47.81818518201664,46.33483587540629,33.29893850910149,63.70303070489224,33.29893850910149
TRENT.NS,TRENT LTD,Consumer Cyclical,India,53.67864560066425,50.79768889351904,44.39580002541254,46.371333977070414,43.31646541985853,33.51443607672601,52.84796475942464,33.51443607672601
PAGEIND.NS,PAGE INDUSTRIES LTD,Consumer Cyclical,India,63.84901873191247,63.043291367000535,53.31699263486221,38.6516869054137,43.6398622543815,33.622184860538255,32.27919946897251,33.622184860538255
TORNTPHARM.NS,TORRENT PHARMACEUTICALS L,Healthcare,India,63.957214190755536,59.27043849224831,52.88339882638349,45.31906414416996,63.582667049964925,33.729933644350496,57.412510859211736,33.729933644350496
COLPAL.NS,COLGATE PALMOLIVE LTD.,Consumer Defensive,India,64.82277786150007,64.8758199061659,40.24413930922879,49.93526236046194,40.08249707462878,33.837682428162715,29.392815640313987,33.837682428162715
PEN,"Penumbra, Inc.",Healthcare,US,39.18045411569338,48.27526725725613,58.45507926533504,38.986281016672,52.69497362102479,34.05317999578723,67.83778497205668,34.05317999578723
LAURUSLABS.NS,LAURUS LABS LIMITED,Healthcare,India,44.69842251668975,45.25698495745436,53.273633254014335,36.36466326446151,63.69046599480592,34.1609287795995,73.5018968944983,34.1609287795995
POONAWALLA.NS,POONAWALLA FINCORP LTD,Financial Services,India,37.23293585651819,47.19730929304121,35.019333917060216,34.16393673573937,44.9334495924734,34.26867756341172,80.57334456938466,34.26867756341172
MARICO.NS,MARICO LIMITED,Consumer Defensive,India,59.51038083230552,55.92876880318206,56.28711022294144,54.144485325500746,65.41524911226178,34.37642634722397,50.654667108691584,34.37642634722397
ELF,"e.l.f. Beauty, Inc.",Consumer Defensive,US,37.124740397675126,41.37633628628065,34.93261515536447,35.903568292874986,42.13067702660762,34.59192391484848,66.68992155449861,34.59192391484848
SCHAEFFLER.NS,SCHAEFFLER INDIA LIMITED,Consumer Cyclical,India,55.30157748331024,60.456192252884726,50.97558606907712,48.14192652264988,60.87691353445604,34.69967269866075,68.16543280057947,34.69967269866075
CDNS,"Cadence Design Systems, Inc.",Technology,US,58.08220077557704,62.0731291992071,53.66386768164519,68.51350117092534,60.44571775509207,34.915170266285216,42.55998870622247,34.915170266285216
CHOLAFIN.NS,CHOLAMANDALAM IN & FIN CO,Financial Services,India,59.33726809815661,55.605381413917584,35.53964648723468,32.864011576567314,40.72929074367473,35.02291905009746,61.14921293699148,35.02291905009746
HLNE,Hamilton Lane Incorporated,Financial Services,US,41.88534058677004,63.79786194195097,34.45566196603788,51.68626357129953,33.237264077225824,35.130667833909726,52.34383911287675,35.130667833909726
JUBLFOOD.NS,JUBILANT FOODWORKS LTD,Consumer Cyclical,India,50.37868410595073,46.22714712524778,43.87548745523807,43.39710015534844,39.43570340558284,35.23841661772197,50.14071956429948,35.23841661772197
ATO,Atmos Energy Corporation,Utilities,US,57.5195843895931,65.41479888827335,53.88066458588455,36.66872377362175,65.84644489162575,35.346165401534215,68.75277637366257,35.346165401534215
