sector,sector_mean,sector_std,n,sector_var,eta_sq_contribution
Basic Materials,57.01519461866925,10.83072437575815,18,117.30459050364178,0.033395935007838745
Communication Services,42.96269958914385,11.167838927778154,4,124.72062631679711,0.007673823594305514
Consumer Cyclical,49.508434519909365,9.352077606163585,38,87.46135555170639,0.00042236354902759003
Consumer Defensive,53.10651292663934,7.091336532557518,19,50.287053817984884,0.00679398399793187
Energy,52.65089816225794,12.118799088121412,13,146.86529133825238,0.0033668366224267536
Financial Services,48.39369830045826,4.749665423950335,29,22.559321639469314,0.0030321373363313034
Healthcare,45.30145054705961,9.197352544177495,38,84.59129382188823,0.03271582028469284
Industrials,52.648711641560595,10.498729763059126,37,110.22332663774354,0.009566444218227598
Real Estate,55.199359707935706,10.090628704691097,13,101.82078765593594,0.013185747429318584
Technology,44.09708276674008,8.62584753020027,35,74.40524561426209,0.04736576295742364
Utilities,60.57944494866841,10.304964087702112,8,106.19228484883024,0.033912452245896396
