,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,iqr,cv
ESG_composite,269.0,48.27514691543512,9.311390542091392,28.476167361973573,41.4167290212783,47.21691844201226,54.00556063297397,72.21096566260015,0.3185538901390711,-0.3212186696892618,12.588831611695667,0.19288166141477323
E_score,269.0,-0.16768531924779762,0.9474116474315165,-1.716715723733531,-0.9600527867561378,-0.2178432627949383,0.5621057284863225,1.6691301032081114,0.1797137081487385,-1.033106129920438,1.5221585152424604,5.649937941385765
S_score,269.0,0.044054176915029455,0.5120622119641759,-0.9532478163338768,-0.3405166028986171,-0.0360104809881259,0.3214607869260931,1.4406846057549505,0.6321370385549816,-0.20283238384884417,0.6619773898247102,11.623465646670192
G_score,269.0,-0.21834826088079043,0.4534848377761885,-1.524153578293281,-0.5057015077166671,-0.1756404703989053,0.1018920470718009,0.779750192200015,-0.3481139481773094,-0.18572677513159297,0.607593554788468,2.076887793595816
financial_score,269.0,47.96050371019448,14.018870289156835,16.257969727183095,36.994312966044994,47.70586020491079,59.05997820764826,78.93074407178968,0.0189821733085957,-0.7991573997007877,22.065665241603263,0.29230031389718253
market_score,269.0,47.20255432695728,7.40944590228519,28.51061386606512,41.92869642353686,47.117034305142845,51.458898983011125,73.10764050342004,0.24387992641337886,0.02248295938081002,9.530202559474262,0.1569712912348405
operational_score,269.0,47.176074201126035,13.718233280094976,19.607402286295503,36.42823540782992,46.26926784746888,57.41214901326043,80.83639113838117,0.2024139898521826,-0.7954416840833529,20.98391360543051,0.29078793673271647
pref_balanced,269.0,46.79496078771029,15.34021059390414,9.195440831377809,34.200469326181704,46.53033858531679,57.31478377472344,85.07542742205834,0.040620682816871596,-0.42695672509637994,23.114314448541734,0.3278175755611045
pref_esg_first,269.0,46.09587507012846,19.552698728767297,7.367086962173404,29.66820486156246,45.274925256726895,60.58429741323281,85.90601845833876,0.09868753446410627,-0.9525218155866031,30.91609255167035,0.42417458609952813
pref_financial_first,269.0,47.137447809374976,14.27226040172733,11.291578202406228,37.43099787685775,47.781316348195325,56.52512384996461,87.23283793347487,-0.004877881618989287,-0.2573031894736295,19.094125973106856,0.3027796595913447
risk_adjusted_score,269.0,48.59821636796863,9.512799399566838,16.304572490037792,42.32076222545294,49.48295960823846,54.74744642397654,70.511526551853,-0.3460644684766409,0.025881107445528517,12.426684198523603,0.19574379700561972
value_score,269.0,51.20658156146949,15.79946970064717,18.18829283604324,38.27220147009002,51.54345304190568,63.860394016166765,86.16479455495774,-0.02905090640314611,-0.9310826942589654,25.588192546076748,0.3085437304906039
growth_score,269.0,50.59371821714559,15.278246443526257,16.64579611289056,38.64621999172305,51.33250475146595,62.6211628551882,82.96023063637246,-0.022433861999244204,-0.8611952374363083,23.974942863465152,0.3019791187900605
stability_score,269.0,51.12998173488719,15.351299073556785,12.493553276807056,39.96026578885056,51.40854869670471,61.92944945592441,86.21250407544633,0.012382194377373828,-0.5262015573162264,21.96918366707385,0.30024065240536224
