spec,variable,coef_pp_per_sd,se_hc3,p_value,r2,adj_r2,n
with_esg,ESG_composite,-4.039816460516265,2.675314925562617,0.13103475236411327,0.23483613030683193,0.17080568096012327,260
with_esg,financial_score,-3.455647786585125,3.1510004152397446,0.27278010166888644,0.23483613030683193,0.17080568096012327,260
with_esg,operational_score,8.915466369161472,3.256459052541739,0.0061855560525064645,0.23483613030683193,0.17080568096012327,260
with_esg,risk_adjusted_score,-0.6903844567118217,3.093591619398794,0.823406315399049,0.23483613030683193,0.17080568096012327,260
with_esg,value_score,-5.228092128835883,2.8473266715891827,0.06633686368849283,0.23483613030683193,0.17080568096012327,260
with_esg,growth_score,2.2130579503393015,2.28400512572352,0.3325764319439922,0.23483613030683193,0.17080568096012327,260
with_esg,stability_score,-0.14420035896742656,2.266805784415856,0.9492776626907061,0.23483613030683193,0.17080568096012327,260
with_esg,market_score,2.5848355797158558,3.6430379546460827,0.4779971978514391,0.23483613030683193,0.17080568096012327,260
with_esg,log_market_cap,-7.175917686268452,4.116312862033107,0.08128336836680763,0.23483613030683193,0.17080568096012327,260
without_esg,financial_score,-5.335143107360833,2.8510468080076974,0.061304520453946035,0.2283972751260459,0.1673120594068579,260
without_esg,operational_score,6.892046652493953,2.8791958980941734,0.01667756215583059,0.2283972751260459,0.1673120594068579,260
without_esg,risk_adjusted_score,-0.6687717352845339,3.121627661904855,0.8303613472583943,0.2283972751260459,0.1673120594068579,260
without_esg,value_score,-5.289471258769276,2.851725506255115,0.0636202441834131,0.2283972751260459,0.1673120594068579,260
without_esg,growth_score,2.5616309633583496,2.3129213539793523,0.26806462940300957,0.2283972751260459,0.1673120594068579,260
without_esg,stability_score,0.3446601790803536,2.265050123523202,0.8790572068446134,0.2283972751260459,0.1673120594068579,260
without_esg,market_score,2.398301794721199,3.640725321742531,0.5100609082063307,0.2283972751260459,0.1673120594068579,260
without_esg,log_market_cap,-6.583482124059463,4.099526617027633,0.10829307845462256,0.2283972751260459,0.1673120594068579,260
