ticker,country,sector,ret_1m,ret_3m,ret_full,realized_vol_oos,max_drawdown_oos,realized_beta_oos,n_days_oos
ZS,US,Technology,0.9021362745560202,6.3293911857585705,54.77049706034842,79.50449299127487,-32.93607857069291,0.714472467028775,118.0
OKTA,US,Technology,-5.4994432321307185,76.35614648132601,156.09177498205636,84.40369274801122,-21.884307085033285,1.1192252095662196,118.0
CRWD,US,Technology,14.16115960681321,94.40769502974528,163.06874468396813,65.27520046038616,-17.80250703400884,1.5133047602770164,118.0
FTNT,US,Technology,4.555921715551614,89.32509670555844,116.57580048093013,51.95860049300421,-10.556780658658994,0.6949876260916412,118.0
QLYS,US,Technology,0.192392675159625,67.63240617252207,109.13308285387706,62.79715071586277,-23.279561449263987,0.4232383709799276,118.0
VRNS,US,Technology,17.620946259924786,90.23523881096244,114.60273857328463,54.237577992086806,-17.140482583361504,0.898296489180688,118.0
ESTC,US,Technology,-4.065517333798296,14.545101663530291,80.14604712427375,61.40387535774323,-21.245958864491378,0.9691086803488117,118.0
DOCN,US,Technology,14.231748977414505,44.57282723520022,56.88257233917773,103.44046577356197,-42.153452131765434,2.7282267428337144,118.0
PAYC,US,Technology,6.7983218834358095,12.973353251375652,80.19535689992972,55.36840838351188,-16.765385311311665,-0.3780974920040045,118.0
MANH,US,Technology,4.1394228784771725,12.247321660631648,56.33917875599137,54.468465397266264,-20.636788343012114,-0.3955463397567711,118.0
WK,US,Technology,-8.73333613077799,-13.449999491373699,17.983334859212242,51.58450023873517,-26.149997711181637,-0.30475146563063144,118.0
GLOB,US,Technology,-15.10971739350535,-32.058517537642715,-28.00417583801765,65.71103452932412,-45.19762771056488,0.06474048311237512,118.0
HUBS,US,Technology,-1.9536513733066196,-21.477910428344337,-7.6184246246560505,86.42142423213325,-35.05721172703645,-0.04384029027757915,118.0
CDNS,US,Technology,22.32347910024388,33.87629628810469,10.89623815448364,45.31574449907678,-34.20591709280411,1.7396833813907282,118.0
NET,US,Technology,2.744578152764632,14.511786511602542,66.4367624870651,73.96660470031811,-27.259633525244233,1.3569305580352293,118.0
BILL,US,Technology,1.139007544765902,4.789019992153354,18.87133548864217,52.17655468038356,-23.595511151172154,0.6757823922982257,118.0
FROG,US,Technology,-1.4226461411183222,87.33451178659286,82.43430293926903,70.58949167364592,-25.30580768030394,1.1264787660388897,118.0
CFLT,US,Technology,,,,,,,
SMCI,US,Technology,16.66667077379134,17.226529363846655,78.46683829519169,103.82262108502063,-52.50149333579892,4.335688278473631,119.0
MARA,US,Financial Services,31.572904568953987,42.36509258578989,53.27210474168842,85.05438189027386,-39.663300956358725,3.302309037160755,119.0
RBLX,US,Communication Services,-24.920977192032534,-7.818999692590367,-18.49941576937829,76.94712413186744,-42.519812610328835,0.8402232949329749,119.0
TENB,US,Technology,20.76222772679519,119.56768283070498,106.08646017899784,71.40516272211282,-29.402111293990007,1.0564128742767684,118.0
CWAN,US,Technology,,,,,,,
RPD,US,Technology,18.24953519475645,72.99814077902585,143.76164677003644,89.14746306020254,-27.602157671552373,0.5425653456703672,118.0
ILMN,US,Healthcare,6.594443167687802,48.123721733490974,100.48674076726746,44.88323292194609,-11.60349505277214,0.8222702983955542,118.0
ALGN,US,Healthcare,4.871041770978279,8.159435914966483,-13.14771813135831,40.709517285417384,-25.0803353244347,1.2158106452917565,118.0
INCY,US,Healthcare,1.0215817302366093,21.81799253475716,29.928071503324748,33.26368305980465,-9.499675365849624,-0.04720498327890951,118.0
BMRN,US,Healthcare,-2.5945921201963706,6.288291312552796,12.090088440491265,33.97682902305008,-13.164340023703136,0.12538767788963634,118.0
ALKS,US,Healthcare,-4.190582887710493,56.65901719865671,20.92422756486656,38.707516403501764,-23.705179035164846,0.44845140067030015,118.0
IONS,US,Healthcare,0.6551649388572223,9.372913558522367,-41.26220113997169,50.98144204021893,-49.11386612600157,0.26813182913872224,118.0
EXAS,US,Healthcare,,,,,,,
TECH,US,Healthcare,3.557306788032588,33.56126528010706,36.899461574506255,52.16579488355199,-28.52426276736463,0.46027531018675344,118.0
