month,start,end,trading_days,ic_pref_balanced,ic_esg_composite,partial_esg_vol_given_trailing,partial_p_two_sided,n
1,2026-04-02,2026-05-02,20,-0.17452491465934228,-0.1379754138374828,-0.05494761775404646,0.37848757368945984,260
2,2026-05-02,2026-06-02,22,-0.06034910513283257,-0.0741490258731638,-0.1114104741556408,0.07347233332435603,260
3,2026-06-02,2026-07-02,22,0.044828959377351374,0.07293234879441776,-0.03464521685906925,0.5788729597399384,260
4,2026-07-02,2026-08-02,21,0.034839164923781515,-0.016454499213119905,-0.08754713198900187,0.1600743841727888,260
5,2026-08-02,2026-09-02,23,-0.15112819013239026,-0.10178049554201171,-0.06858170556409278,0.27147389752525763,260
6,2026-09-02,2026-09-23,15,0.06040711292386622,-0.06041040126497837,-0.10615455346528677,0.08820319737688449,260
