spec,oof_r2_mean,oof_r2_sd,delta_vs_baseline_mean,delta_p05,delta_p95,share_repeats_improved,n,repeats,folds
baseline_small,0.7088759774458095,0.005122419549155714,0.0,0.0,0.0,0.0,260,50,10
baseline_small+ESG,0.7130181853572997,0.004957520936158027,0.0041422079114898855,0.001556292207068316,0.00626632914607953,1.0,260,50,10
baseline_full,0.7285023146099806,0.005281348523164015,0.0,0.0,0.0,0.0,260,50,10
baseline_full+ESG,0.734061437800216,0.005289273726722753,0.005559123190235233,0.0027933531275317115,0.0077224107766529874,1.0,260,50,10
baseline_full+ESG_measured,0.7263615752010354,0.005434036949678092,-0.002140739408945427,-0.003751492192737971,-0.0007723397574838035,0.0,260,50,10
baseline_full+ESG_proxy,0.7286077249033531,0.0054949744950460655,0.00010541029337223451,-0.0014873478035698495,0.0018191263129776365,0.5,260,50,10
