column,variable_type,count,missing,missing_pct,mean,std,min,q25,median,q75,max,skewness,kurtosis,n_zeros,n_negative,n_unique
price_momentum_1m,continuous,314,0,0.0,-4.225440577697517,8.771329829592368,-27.830508180162212,-9.109424398626548,-4.601301882797443,0.4059507204332346,23.106676167973784,0.27141554599576456,1.516857410815704,0,228,308
human_rights_policy,binary,314,0,0.0,0.18152866242038215,0.38607083659495917,0.0,0.0,0.0,0.0,1.0,1.6603834847493653,0.7616842068792637,257,0,2
price_to_book,ratio,314,0,0.0,6.178060205426585,7.192049343747847,-0.9948549107227489,1.780540775,3.66786515,7.08901515,31.549033950000002,2.2088267596113873,4.534573765233732,0,8,300
amihud_illiquidity,ratio,314,0,0.0,0.0001701805792125141,0.00022449728139487823,3.3709024030300643e-06,1.6711216207509347e-05,9.211580362984305e-05,0.00022245958523575,0.000991797086888838,2.320190879190681,5.411559167261704,0,0,300
safety_training_hours,continuous,314,0,0.0,49.99681834489784,14.684731475125,16.8612873131691,38.79658405103069,50.00000000000001,60.29153197625853,79.09387918396206,-0.05527289774115559,-0.6168309203121187,0,0,224
data_privacy_score,bounded_pct,314,0,0.0,40.68471337579618,16.61707296172667,30.0,30.0,30.0,55.0,80.0,1.3545549023591772,0.39981663758147556,0,0,5
price,count,314,0,0.0,116.21118637078325,162.65935435986287,1.7227385178014412,20.135582445950305,60.055,142.84,926.1498000000004,2.9174348534506334,9.95992867714022,0,0,308
pct_from_52w_high,continuous,314,0,0.0,-23.60013682362715,16.47726223779187,-64.66541496383309,-33.09725593964143,-19.557357229123326,-10.206530845392228,-0.3857332041674491,-0.7646184355794771,-0.2564390836053123,0,314,308
gender_diversity_pct,bounded_pct,314,0,0.0,50.0,15.023942553146814,24.52515057206664,36.981296391728996,50.02702075014408,63.10240830230692,74.47713992031196,-0.012148195679238784,-1.217925631373102,0,0,307
return_skewness,continuous,314,0,0.0,0.15490268486908043,0.9853756325475588,-3.449688002543397,-0.33833870785954323,0.11889236412127735,0.6638468203277037,3.071666749175387,-0.25974987615521355,2.5762911894144125,0,136,308
net_income,count,314,0,0.0,3925187411.063213,15032464585.156637,-1304228651.52,47137645.67602453,226727000.0,754915744.0,112563088424.96017,5.838616579514991,36.61846405714768,0,42,308
operating_margins,bounded_pct,314,0,0.0,0.18064289798251593,0.14298115752438909,0.0,0.083485,0.15463,0.2451274975,0.811,1.385726000575651,2.8711038266362587,27,0,288
avg_daily_volume_90d,count,314,0,0.0,4465856.642944091,8853465.007748075,26640.293333333335,646023.888888889,1423393.3333333335,3316648.888888889,46609040.400000006,3.44245670319074,11.912670742776477,0,0,308
current_ratio,ratio,314,0,0.0,1.9562175159235664,1.0524032795194667,0.5159,1.275,1.748,2.33825,5.95814999999999,1.7195245346407433,4.049696401554658,0,0,204
ebitda,count,314,0,0.0,5704012862.2377615,20713129655.044853,-914549616.0,179632886.62407228,616194976.0,1349275008.0,146308715806.71997,5.627151506527398,33.122641243457714,0,18,284
shareholder_rights_score,bounded_pct,314,0,0.0,52.82067643738196,27.104439969838914,0.0,30.0,58.6889593787125,73.76217427710574,90.0,-0.3131407693540417,-0.9215840332746987,21,0,70
gross_margins,bounded_pct,314,0,0.0,0.468461051433121,0.2372873528943596,0.0,0.311615,0.460665,0.64291,1.0,-0.013134028055690491,-0.4784911321789016,17,0,298
total_cash,count,314,0,0.0,14113304610.152002,73872203887.09329,3357117.2894482096,127538500.0,378104021.14402497,1950825536.0,582249422520.3193,6.90804414904846,48.3347216530652,0,0,308
price_momentum_3m,continuous,314,0,0.0,-3.5181086699787816,19.66054338208424,-41.234109886671,-16.968227068530453,-5.300539894996081,7.320260509633486,60.1468184804888,0.6918139781089439,0.7821683755929012,0,194,308
ethics_compliance_score,bounded_pct,314,0,0.0,55.254777070063696,26.34434167196169,0.0,40.0,60.0,80.0,90.0,-0.5760826476433455,-0.6738497940684365,17,0,12
price_momentum_6m,continuous,314,0,0.0,-1.0709238512193808,28.513025303137876,-54.99627278870142,-19.22693078660224,-4.02428614843644,12.825725089281919,102.82064825567291,0.8095727395090819,1.6283897350709244,0,174,308
sortino_ratio_1y,continuous,314,0,0.0,0.474828479005013,1.429226167539475,-2.881866181667193,-0.5592655199186267,0.5015705789282778,1.3694329609526301,4.0241803933493605,0.0980917135562534,-0.0623065943808494,0,109,308
52_week_high,count,314,0,0.0,148.2683155743223,195.07247206365338,3.476798967408842,29.58788238141336,77.33,190.0875,1056.3706000000004,2.5247167069138805,7.2303249456009215,0,0,307
total_revenue,count,314,0,0.0,23200419235.596336,68607714267.31779,167069956.04775733,1083712609.6590297,2533438592.0,7482564608.0,432011094589.4396,4.599133900821603,22.056621062206958,0,0,306
roe,rate,314,0,0.0,0.14628594698249997,0.2565443638712569,-0.82361503,0.071144999,0.1229200025,0.19437,1.4308475250000001,0.8947166606529964,9.753371641887377,0,34,227
fcf_margin,rate,314,0,0.0,10.214715445179557,13.219662419134547,-43.69865726800156,3.3171317082121234,9.880956483972469,14.794881055547124,43.43565867011251,-0.5915353376010521,3.230021971811122,0,30,210
52_week_low,count,314,0,0.0,77.97407134380722,96.37782522686135,1.5461718834032485,15.433247821878025,40.415,100.535,476.60070000000013,2.2189256247572664,5.200222037795806,0,0,308
50d_avg,count,314,0,0.0,120.0941474164106,166.9462397665815,2.0917368828654404,21.013132730988488,61.44740238786706,153.4316,973.7663220000005,2.931325896420043,10.258507652444047,0,0,308
market_share,rate,314,0,0.0,3.4374950663231534,7.997459832159987,0.017472538140899378,0.12871807455323883,0.46745226146560925,2.893016270297279,50.09724925738396,4.022309911882015,18.25546847157213,0,0,306
quick_ratio,ratio,314,0,0.0,1.2706977707006368,0.8433705639148668,0.15910000000000002,0.6677500000000001,1.0985,1.5655000000000001,4.600999999999992,1.8992706230526593,4.531806959518822,0,0,202
revenue_growth,rate,314,0,0.0,0.1380305732484076,0.22075060238935096,-0.1439,0.025,0.096,0.18225,1.3302999999999976,3.270905963689909,13.842202083459734,1,53,219
supply_chain_audit_pct,bounded_pct,314,0,0.0,50.0,15.023942553146814,24.52515057206664,36.97997108876458,50.02702495331191,63.10373866367959,74.47713992031194,-0.011336991414168779,-1.2198915205459622,0,0,301
free_cashflow,count,314,0,0.0,2033783660.2377136,6871055443.546469,-4348478955.52,170909472.0,365095056.0,745699968.0,51929878691.83979,5.198720914628712,30.612960375871943,0,32,212
community_investment_pct,bounded_pct,314,0,0.0,50.0,15.023942553146814,24.52218962826607,36.979838469311275,50.02702285128346,63.10387178931402,74.4799849002561,-0.01116928145997113,-1.2196327210864437,0,0,291
esg_risk_rating,ordinal,314,0,0.0,52.8343949044586,25.070341204282464,0.0,40.0,60.0,70.0,90.0,-0.41448105061206947,-0.6831525238982721,14,0,11
gross_profit,count,314,0,0.0,10855224155.07415,32439812884.524178,18484912.175540503,485906016.0,1213849984.0,3120957952.0,202750324899.83987,4.4505887243807285,20.80295859324943,0,0,308
operating_margin,rate,314,0,0.0,21.597157234807778,16.041189049547732,-30.448654492029558,11.950636657368843,20.159550580846254,29.06052331447731,69.68639160900432,0.22970109025946203,1.8888694550429541,0,16,282
sharpe_ratio_1y,continuous,314,0,0.0,0.2990973864379616,0.9400382601165707,-1.9901534612048781,-0.39264719702518025,0.3405505874941812,0.9500927375212472,2.429454161429486,-0.055393032378151,-0.27804960468478157,0,109,308
debt_to_ebitda,ratio,314,0,0.0,1.7795029206490744,3.878459613446575,-16.31077890121734,0.6983181923422209,1.3836200157525407,3.1960542098214986,10.110675872502972,-2.2642765766856057,10.667041458097136,0,18,274
debt_to_equity,ratio,314,0,0.0,97.85640955414013,132.91693201482215,1.1622750000000002,18.908250000000002,52.41225,110.5925,588.2596750000002,2.427262506631528,5.501005136407496,0,0,284
board_independence_pct,bounded_pct,314,0,0.0,51.11464968152866,24.134200979225287,0.0,30.0,50.0,70.0,90.0,-0.21439750310072703,-0.7199790120416614,11,0,13
profit_margins,bounded_pct,314,0,0.0,0.13038496780859873,0.11644424094543332,0.0,0.0406850005,0.10708500000000001,0.193415,0.63762003,1.2703677523844954,1.9387951050502368,42,0,273
max_drawdown_1y,continuous,314,0,0.0,-30.057645919060548,14.64573464891874,-70.30162104427026,-38.45111903692326,-27.326227400370428,-19.231172877661628,-8.443981662752906,-0.8487836831774525,0.06229547741531105,0,314,308
enterprise_to_ebitda,ratio,314,0,0.0,14.585481210191082,23.45090788501585,-94.4455,9.02875,15.418,22.143500000000003,60.639199999999946,-2.7290918004387135,11.567539231499415,0,19,274
gross_margin,rate,314,0,0.0,51.41919519573323,23.545883359832043,1.9617180211689442,34.1921473702515,49.69211362744115,67.99272501989896,100.0,0.26630539712541834,-0.5300424800835755,0,0,296
employees,count,314,0,0.0,27680.88343949044,63679.22163800592,241.6,3125.75,6935.0,17796.75,389911.99999999994,4.150517188875782,18.635011706574566,0,0,284
carbon_reduction_target,binary,314,0,0.0,0.2929936305732484,0.4558620173616561,0.0,0.0,0.0,1.0,1.0,0.9140192663520508,-1.1720750790634058,222,0,2
trailing_pe,ratio,314,0,0.0,32.363599818471336,18.69312779915458,10.22557575,20.3420215,28.395812,38.426295249999995,90.11539274999997,1.4290165128978332,1.7264671857361167,0,0,266
avg_daily_volume,count,314,0,0.0,4180484.033457054,9044667.321989782,30818.81182258064,570174.9682459678,1309016.3227212362,2782581.434783045,52966232.33864546,3.9084473500928882,15.830527558994698,0,0,308
enterprise_to_revenue,ratio,314,0,0.0,4.655490445859873,3.560456909900283,0.559,2.0435,3.591,6.513999999999999,15.355,1.3112355429243687,1.264932389653234,0,0,295
esg_controversy_score,bounded_pct,314,0,0.0,60.08757961783439,19.828847668834225,27.5,42.5,57.5,77.5,90.0,0.09066502311673925,-1.2751840731156279,0,0,26
scope1_emissions,count,314,0,0.0,49.9958339731233,14.9260662829265,22.019140137709588,38.03475078863552,49.817431768567495,61.02852225433281,78.84961466656266,0.13163395904824765,-0.8984260519142868,0,0,293
price_volatility,continuous,314,0,0.0,36.076015910341674,11.631781848273961,16.291086820054275,27.467663356652146,34.12684516860085,43.18613859682196,72.71077264765017,0.7782138604631522,0.4917215928130352,0,0,308
waste_recycling_pct,bounded_pct,314,0,0.0,50.0,15.023942553146812,24.022859580436087,35.83546632501739,50.0274184500031,63.10240830230692,74.96742824777874,0.006265827950009208,-1.23518935810104,0,0,294
board_diversity_pct,bounded_pct,314,0,0.0,50.0,15.023942553146814,18.57845591260955,37.50297643030287,49.19063962756554,63.57830580563614,79.54165359385776,0.061229564567689104,-1.112452803099944,0,0,239
price_to_sales,ratio,314,0,0.0,4.183247918242038,3.083616508352244,0.49297273599999997,1.861887175,3.3101124,5.879161925,12.902124324999992,1.077637743221871,0.5877066681301173,0,0,298
earnings_quarterly_growth,rate,314,0,0.0,0.3481557006369426,1.2482791224037433,-0.89023,-0.034999999999999996,0.1435,0.27,8.523859999999997,4.874563601468154,26.130869128610655,2,88,231
cash_flow_to_debt,ratio,314,0,0.0,0.9287704072785333,2.087162144754413,-0.0586627255992777,0.19374738708451672,0.3203089155397352,0.6167063338621123,12.125590063430915,4.181202827484015,17.929237983152206,0,11,224
return_kurtosis,continuous,314,0,0.0,9.14975468687709,9.708902984068471,0.8198114262675625,3.680231253438662,6.757784480287747,10.694739011317154,57.906905515054156,2.964686044977686,10.435507563655579,0,0,308
