cluster,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Healthcare,Industrials,Technology,Utilities
1,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0
2,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0
3,0.10526315789473684,0.15789473684210525,0.0,0.2631578947368421,0.10526315789473684,0.0,0.21052631578947367,0.0,0.15789473684210525,0.0
4,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.4,0.0
5,0.0,0.0,0.3333333333333333,0.08333333333333333,0.0,0.25,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333
6,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.5333333333333333,0.0,0.0,0.2,0.0
