ticker,company_name,sector,country,ESG_composite,financial_score,market_score,operational_score,risk_adjusted_score,value_score,growth_score,ESG_composite
NNN,"NNN REIT, Inc.",Real Estate,US,72.21096566260015,77.86068587740851,52.454366964106974,68.06068251301562,57.13125691175078,57.05631205802879,44.28331069160511,72.21096566260015
CMS,CMS Energy Corporation,Utilities,US,71.41747179169376,57.59028451244959,62.47731555539767,46.02048460536321,53.096678375235086,42.61524768022053,59.358135090092944,71.41747179169376
SM,SM Energy Company,Energy,US,71.39051845771131,70.51098067563841,55.07883096458954,54.769542267777446,38.02962081770335,72.11383532777472,36.32018200225173,71.39051845771131
RPM,RPM International Inc.,Basic Materials,US,70.13421270958636,54.71529697795946,47.15539603410583,70.05140217978459,50.70188471407472,47.1882534345437,51.43767706299766,70.13421270958636
WEC,"WEC Energy Group, Inc.",Utilities,US,68.6701028666381,64.06556522306033,61.47253020041214,53.21684997583773,57.90128322021966,34.900255021506666,46.11719892981867,68.6701028666381
UPL.NS,UPL LIMITED,Basic Materials,India,67.5237768260859,42.762301791396105,50.792672691708574,63.81582494735768,50.5694972601414,58.59092953202979,40.78122111383852,67.5237768260859
OVV,Ovintiv Inc. (DE),Energy,US,67.34289434464115,56.7572011234898,63.397785168335005,51.82988836904194,47.276447094635714,60.46244309885472,54.07859733567875,67.34289434464115
MTDR,Matador Resources Company,Energy,US,66.92173830252506,66.85117367603314,54.27811701003234,58.3192131013063,42.128888822984266,62.62820620503536,51.2138700374902,66.92173830252506
KRC,Kilroy Realty Corporation,Real Estate,US,66.5480188597408,52.86015455659162,44.55649328747421,53.89325471966508,43.383357204209865,66.93459962955981,26.58191037154376,66.5480188597408
MTCH,"Match Group, Inc.",Communication Services,US,66.53628226282541,64.48667829822685,58.241165168629344,59.80368527252489,45.02195402046048,71.13854820254868,56.45615467787722,66.53628226282541
AVA,Avista Corporation,Utilities,US,66.44440679678252,43.1201376627069,52.80736850204583,63.29985362433089,34.27280447976759,75.27905029339315,36.11212191980267,66.44440679678252
STAG,"Stag Industrial, Inc.",Real Estate,US,66.42019680237189,69.01332077716975,50.09679243028999,71.05688446942796,51.41388861597614,38.69101331291671,69.78965506692572,66.42019680237189
WSC,WillScot Holdings Corporation,Industrials,US,66.21018136358657,38.15331880455114,44.23690647947337,69.88492331109659,36.315518077182446,69.95788534323502,26.185635313598432,66.21018136358657
DECK,Deckers Outdoor Corporation,Consumer Cyclical,US,65.94397864243832,73.82000030907602,49.4910674486771,77.22019063413181,45.03912077554061,58.423870045167845,65.47589688761231,65.94397864243832
FMC,FMC Corporation,Basic Materials,US,65.21601822025127,31.688641178508558,48.70984805035774,54.393448050010974,25.66930114056901,62.84909127665002,36.20225738892575,65.21601822025127
WING,Wingstop Inc.,Consumer Cyclical,US,64.96700573346446,61.49563894676166,30.86232907766512,64.18571685091716,42.89829533204354,43.08263974870946,47.39459504167134,64.96700573346446
INVH,Invitation Homes Inc.,Real Estate,US,64.74610463477505,61.63326572018863,61.254283004873,73.28733900355391,37.817955593688666,59.1328807287382,58.75620853279128,64.74610463477505
GGG,Graco Inc.,Industrials,US,64.64032585041647,72.04003172861535,49.245341991159165,73.72888232394027,54.97334043867784,48.77930938492789,55.630076212393305,64.64032585041647
EWBC,"East West Bancorp, Inc.",Financial Services,US,64.51790744089098,75.03917379152892,48.77216837446115,57.06436052627487,44.7501452011427,51.63734013304216,66.43145477201638,64.51790744089098
