component,eigenvalue,variance_explained,cumulative_variance
PC1,2.5570372777680714,0.3184715812437589,0.3184715812437589
PC2,1.680986725066355,0.20936202418172448,0.5278336054254834
PC3,1.1735538222599526,0.14616272695719518,0.6739963323826785
PC4,0.9476658065509839,0.11802902934851475,0.7920253617311933
PC5,0.7033199639636137,0.08759646290307689,0.8796218246342702
PC6,0.4661748764253605,0.058060729627252776,0.9376825542615229
PC7,0.289025070138675,0.03599723473194548,0.9736797889934684
PC8,0.21132736691789786,0.02632021100653166,1.0
