period,strategy,top_n,avg_return,std_return,cross_sectional_ir,benchmark_return,excess_return,pct_positive,worst_stock_return,hit_rate
Q1_1m,our_balanced,15,-3.4787921650655442,5.4218170028942305,-0.6416284731012427,-4.467019553238732,0.9882273881731876,13.333333333333334,-8.743024513970642,40.0
Q1_1m,our_balanced,20,-4.006400695621787,5.644925586367208,-0.7097348998233887,-4.467019553238732,0.46061885761694477,15.0,-13.094508660120264,45.0
Q1_1m,our_balanced,30,-3.9485903363532984,5.708264281650038,-0.6917322221708243,-4.467019553238732,0.5184292168854334,20.0,-13.094508660120264,43.333333333333336
Q1_1m,esg_only,15,-3.325837569244923,11.023082608798692,-0.3017157438845689,-4.467019553238732,1.1411819839938087,33.33333333333333,-17.400330458994095,33.33333333333333
Q1_1m,esg_only,20,-4.64661011649808,10.36029593564885,-0.44850167845733646,-4.467019553238732,-0.17959056325934863,30.0,-17.799449372955767,30.0
Q1_1m,esg_only,30,-4.136191238598167,10.827344891531546,-0.3820134372735304,-4.467019553238732,0.3308283146405646,33.33333333333333,-27.6335332294947,40.0
Q1_1m,financial_only,15,-4.891654137878342,11.506718757142522,-0.4251128615444305,-4.467019553238732,-0.4246345846396098,26.666666666666668,-27.6335332294947,40.0
Q1_1m,financial_only,20,-5.985500621539508,10.152030379808814,-0.5895865553539912,-4.467019553238732,-1.5184810683007761,20.0,-27.6335332294947,30.0
Q1_1m,financial_only,30,-5.247188344082133,8.943727102942784,-0.5866892273912253,-4.467019553238732,-0.7801687908434012,16.666666666666664,-27.6335332294947,40.0
Q1_1m,growth_only,15,-6.210627375747692,9.075160990910982,-0.6843545124873671,-4.467019553238732,-1.7436078225089604,33.33333333333333,-27.6335332294947,46.666666666666664
Q1_1m,growth_only,20,-7.079183514019087,9.279598736743907,-0.7628760375070696,-4.467019553238732,-2.6121639607803555,25.0,-27.6335332294947,45.0
Q1_1m,growth_only,30,-6.598237988668445,9.514699013918406,-0.6934783726681194,-4.467019553238732,-2.1312184354297132,26.666666666666668,-27.6335332294947,46.666666666666664
Q2_3m,our_balanced,15,3.6582490189298347,11.215468065156276,0.3261788984324697,-4.0676807641263855,7.72592978305622,73.33333333333333,-16.604137535777706,80.0
Q2_3m,our_balanced,20,1.6786826922234657,10.598894581405943,0.15838280863294993,-4.0676807641263855,5.746363456349851,60.0,-16.604137535777706,75.0
Q2_3m,our_balanced,30,0.5331271430564625,12.860219727389161,0.0414555236499486,-4.0676807641263855,4.600807907182848,53.333333333333336,-26.132534972673007,66.66666666666666
Q2_3m,esg_only,15,-0.12081749702482204,16.43598351973103,-0.007350792052027084,-4.0676807641263855,3.9468632671015635,53.333333333333336,-26.132534972673007,53.333333333333336
Q2_3m,esg_only,20,-3.705655319103087,16.082854092984967,-0.23041030513958233,-4.0676807641263855,0.36202544502329825,45.0,-26.132534972673007,45.0
Q2_3m,esg_only,30,-2.4767518357810943,20.24025049519259,-0.12236764739434075,-4.0676807641263855,1.5909289283452912,40.0,-40.54515225240767,50.0
Q2_3m,financial_only,15,-1.1861502454587693,25.08475910875391,-0.04728569408665783,-4.0676807641263855,2.881530518667616,46.666666666666664,-40.54515225240767,53.333333333333336
Q2_3m,financial_only,20,-3.87022033403593,22.792319326886783,-0.16980370792951616,-4.0676807641263855,0.19746043009045566,40.0,-40.54515225240767,45.0
Q2_3m,financial_only,30,-5.5932421188731105,19.512452515411248,-0.2866498772733368,-4.0676807641263855,-1.525561354746725,33.33333333333333,-40.54515225240767,40.0
Q2_3m,growth_only,15,0.02702738184922732,24.366425293961484,0.001109205865162928,-4.0676807641263855,4.094708145975613,53.333333333333336,-41.09631835981833,53.333333333333336
Q2_3m,growth_only,20,-1.401907403131856,22.383478652778418,-0.0626313463100418,-4.0676807641263855,2.6657733609945296,45.0,-41.09631835981833,50.0
Q2_3m,growth_only,30,-4.484227482434708,21.349851094714392,-0.2100355390077578,-4.0676807641263855,-0.41654671830832246,40.0,-41.09631835981833,43.333333333333336
Q3_6m,our_balanced,15,9.841331005947856,15.474636388040468,0.6359652504332901,-1.9898993025227085,11.831230308470564,80.0,-7.0444050026159495,80.0
Q3_6m,our_balanced,20,8.657735398445515,18.214923057553932,0.4753100175631829,-1.9898993025227085,10.647634700968224,70.0,-13.171534415787711,70.0
Q3_6m,our_balanced,30,4.334778153106314,21.206947953933945,0.20440367762970632,-1.9898993025227085,6.324677455629023,60.0,-42.158984412690096,60.0
Q3_6m,esg_only,15,-3.186792122272119,21.885341020192055,-0.1456130895706551,-1.9898993025227085,-1.1968928197494106,46.666666666666664,-42.92865333480681,46.666666666666664
Q3_6m,esg_only,20,-3.6259656460597434,19.528912806972606,-0.18567165934329746,-1.9898993025227085,-1.6360663435370348,45.0,-42.92865333480681,45.0
Q3_6m,esg_only,30,-5.4893550394865285,21.783626932433272,-0.25199453959103213,-1.9898993025227085,-3.49945573696382,40.0,-42.92865333480681,40.0
Q3_6m,financial_only,15,-4.847321347341575,23.710460588969195,-0.20443809301520902,-1.9898993025227085,-2.8574220448188665,40.0,-42.35453985693394,40.0
Q3_6m,financial_only,20,-7.877405049270318,22.6293850143537,-0.3481051316347709,-1.9898993025227085,-5.8875057467476095,35.0,-42.35453985693394,35.0
Q3_6m,financial_only,30,-5.469823339556615,21.628877951586123,-0.25289445674319894,-1.9898993025227085,-3.479924037033906,40.0,-42.35453985693394,40.0
Q3_6m,growth_only,15,4.90195864458281,29.246147747121107,0.16761040417873774,-1.9898993025227085,6.891857947105518,66.66666666666666,-51.70696572644392,73.33333333333333
Q3_6m,growth_only,20,5.551357089803832,30.691571297864893,0.18087562334001236,-1.9898993025227085,7.541256392326541,70.0,-54.99177469382982,75.0
Q3_6m,growth_only,30,3.479636697060559,30.078335474292103,0.11568581313361005,-1.9898993025227085,5.469535999583267,63.33333333333333,-54.99177469382982,66.66666666666666
Q4_12m,our_balanced,15,23.90779105861643,21.33750858201276,1.1204584155930153,7.319689763872472,16.588101294743957,93.33333333333333,-16.672321782218237,66.66666666666666
Q4_12m,our_balanced,20,19.951894304315843,20.480322817574084,0.9741982331986381,7.319689763872472,12.632204540443372,90.0,-16.672321782218237,65.0
Q4_12m,our_balanced,30,17.785518560525254,37.18803348288479,0.47825918433312514,7.319689763872472,10.465828796652783,80.0,-44.92661318454354,60.0
Q4_12m,esg_only,15,-8.38597833516366,27.27346157367108,-0.3074775936483422,7.319689763872472,-15.705668099036131,46.666666666666664,-56.513908578084525,26.666666666666668
Q4_12m,esg_only,20,-6.571250738866956,24.80898549200667,-0.26487381924414816,7.319689763872472,-13.89094050273943,45.0,-56.513908578084525,25.0
Q4_12m,esg_only,30,-5.7325104237663345,24.301306039688146,-0.23589310032887062,7.319689763872472,-13.052200187638807,50.0,-56.513908578084525,30.0
Q4_12m,financial_only,15,-9.45051891045086,23.11347877637705,-0.4088747956049265,7.319689763872472,-16.77020867432333,46.666666666666664,-44.92661318454354,26.666666666666668
Q4_12m,financial_only,20,-8.70025466361687,23.335907784281886,-0.37282692166960496,7.319689763872472,-16.019944427489342,40.0,-44.92661318454354,25.0
Q4_12m,financial_only,30,-1.7558356018573271,27.153114922381615,-0.06466424227459704,7.319689763872472,-9.0755253657298,50.0,-44.92661318454354,33.33333333333333
Q4_12m,growth_only,15,23.43341410960897,35.36661396643164,0.6625857406588209,7.319689763872472,16.1137243457365,80.0,-54.26775164368773,73.33333333333333
Q4_12m,growth_only,20,27.045118416750235,37.80193062669263,0.7154427821096957,7.319689763872472,19.725428652877763,80.0,-54.26775164368773,75.0
Q4_12m,growth_only,30,28.516546085181133,48.81175796883522,0.5842146907171349,7.319689763872472,21.196856321308662,73.33333333333333,-56.513908578084525,70.0
