ticker,company_name,sector,country,ESG_composite,financial_score,market_score,operational_score,risk_adjusted_score,value_score,growth_score,pref_balanced
NEOG,Neogen Corporation,Healthcare,US,33.72359736530418,20.96411311748668,45.50195545159672,22.94498368109152,39.43660149921869,53.041385689609726,30.287938104598243,9.195440831377809
FOXF,Fox Factory Holding Corp.,Consumer Cyclical,US,33.995676746633364,20.89390066153845,33.06869307256241,30.48914898206764,30.83005692574176,71.82505283631224,31.05478094659381,10.878310425745893
OMCL,"Omnicell, Inc.",Healthcare,US,39.459543840067646,27.13439445113102,35.435233091505175,30.03845968647337,38.76492536029998,52.23542690464709,37.94634024644712,14.220583305397252
TROX,Tronox Holdings plc,Basic Materials,US,34.68593435984898,23.592639800975498,48.34852915025118,28.06113750437128,37.10788749510286,66.49750356015161,42.91828355191967,14.361381159906136
VRNS,"Varonis Systems, Inc.",Technology,US,36.49226088450877,19.568995749264708,41.39277963727852,45.867559861774346,26.47771401227136,51.54345304190568,33.560546994243026,15.558162923231643
HLX,"Helix Energy Solutions Group, I",Energy,US,31.46684989950169,30.07782842096031,47.19612894569149,31.528764497483635,42.20065150668395,50.99955821730289,34.04384953673604,15.900100569896075
AZTA,"Azenta, Inc.",Healthcare,US,36.92358475550122,31.74253813259272,32.72172020322981,32.46348737700556,33.69599542926288,64.21281425988857,37.22391814864145,17.733825008380826
TENB,"Tenable Holdings, Inc.",Technology,US,40.47620152468232,27.6880241440215,42.65064469612961,53.289136861858346,37.515001059013166,58.39103887749934,36.34087742476397,19.433456252095205
PCVX,"Vaxcyte, Inc.",Healthcare,US,31.83552714260404,25.632952707069773,41.92869642353686,26.951983145147484,41.34855262557256,65.68331422143748,39.67381547899402,19.681528662420384
CFLT,"Confluent, Inc.",Technology,US,29.26067685303787,22.347416676557938,58.18251543511093,35.98993401044645,44.17148586793049,43.101171335287,38.21249872771919,19.902782433791486
GLOB,Globant S.A.,Technology,US,39.02781733907996,36.50842089268953,37.326719812962594,31.766711776343023,29.727114920572472,79.23717049684925,24.79494679254511,20.010056989607776
RPD,"Rapid7, Inc.",Technology,US,39.59997022000215,33.45094207380539,31.396749392704148,32.7743840022911,16.304572490037792,80.07831225180252,56.0247954256886,20.841434797184043
IART,Integra LifeSciences Holdings C,Healthcare,US,47.487887036139824,24.65573876387383,34.03077734043509,33.11391456736975,25.1308498629851,76.45779512764778,29.57560447385097,20.955414012738856
FROG,JFrog Ltd.,Technology,US,33.01967826758428,24.42532935862024,43.28254415826618,38.76493671230552,39.876862442569504,42.09426642497135,46.34012064520653,20.97888032182367
AAON,"AAON, Inc.",Industrials,US,35.597198486185846,31.30171082103437,39.468214747012695,19.607402286295503,36.31523525284911,35.29775890214826,65.02141656824378,22.252765672142143
SHAK,"Shake Shack, Inc.",Consumer Cyclical,US,29.654055096519254,29.559326479199854,41.57441242402911,29.16231109468271,47.939566343278166,29.131653754838457,62.6211628551882,22.393563526651025
AVTR,"Avantor, Inc.",Healthcare,US,46.70906046916704,28.600524064334785,53.91247193285053,50.022834899210906,30.52795846373482,73.23039524136793,19.68207884223669,22.990278243379144
IONS,"Ionis Pharmaceuticals, Inc.",Healthcare,US,39.82123642649436,18.707376146742128,51.127750428277885,21.595113629448417,56.65576864421276,45.15359237945461,23.527260163337964,23.05732484076433
SAPPHIRE.NS,SAPPHIRE FOODS INDIA LTD,Consumer Cyclical,India,41.4167290212783,33.77620972797164,35.79411359698978,27.788301814941168,41.774285734309686,43.943087526378456,54.11199957221541,23.21488434461951
