ticker,share_based_comp_sec,share_based_comp_expense_sec,stock_repurchase_sec,dividends_paid_sec,dividends_common_sec,goodwill_sec,long_term_debt_sec,lt_debt_noncurrent_sec,effective_tax_rate_sec,public_float_sec,shares_outstanding_sec,professional_fees_sec,operating_segments_sec,reportable_segments_sec,employees_sec
PCTY,142820000.0,142820000.0,149638000.0,,,343100000.0,162500000.0,938000.0,0.265,9000000000.0,55161627.0,,,,
SSNC,257700000.0,257700000.0,1036000000.0,,253800000.0,9991300000.0,782000000.0,7408400000.0,0.181,17502751030.0,241505294.0,0.0,,,
TENB,544000000.0,544000000.0,73000000.0,,,5487000000.0,,,0.079,16400000000.0,,,,,
VEEV,,,,,,,,,,,,,,,
WEX,100300000.0,100300000.0,799800000.0,,,3015300000.0,2874113000.0,3532000000.0,0.276,5000000000.0,34310618.0,,,,
ZS,661350000.0,661350000.0,0.0,,,417730000.0,1142275000.0,,-0.974,17900000000.0,158300823.0,,,,
ALGN,185870000.0,185870000.0,465939000.0,,,491833000.0,,,0.299,11100000000.0,71282132.0,,,,
BIO,58000000.0,58000000.0,295500000.0,,,579800000.0,1203000000.0,1201700000.0,0.237,6181361340.0,,,,,
DXCM,159600000.0,159600000.0,500000000.0,,,24200000.0,4600000.0,,0.232,34200000000.0,384864842.0,139000000.0,,1.0,
ENSG,675100000.0,,,,144410000.0,230783000.0,,,0.193,10400000000.0,,103044000.0,,,
HOLX,84300000.0,,752900000.0,,,3640600000.0,2507900000.0,2505000000.0,0.17,13566017923.0,223244905.0,,,,
ILMN,275000000.0,275000000.0,742000000.0,,,1113000000.0,,673000000.0,0.217,9200000000.0,152900000.0,,2.0,,
ITCI,64035000.0,,,,,,,,-0.006,7100000000.0,106521576.0,,,,
LNTH,10096000.0,1600000.0,153672000.0,2676000.0,115520000.0,38611000.0,290000000.0,,0.172,3238291527.0,156565063.0,48109000.0,,,
MEDP,34786000.0,9815000.0,917389000.0,,,662396000.0,165000000.0,0.0,0.168,7000000000.0,28381283.0,,,,
TECH,4094000.0,,,0.0,,261095000.0,300000000.0,60000000.0,,1718362472000.0,33608765.0,,4.0,1.0,
BWXT,16700000.0,16700000.0,0.0,50300000.0,45900000.0,1043400000.0,,,0.218,7649879906.0,49876887.0,,,,
EXPO,11693000.0,12387000.0,2064000.0,,136598000.0,,2767834000.0,,0.386,2600000000.0,113207660.0,,,,
GNRC,49947000.0,14563000.0,147917000.0,,293000.0,1467094000.0,903673000.0,1193750000.0,0.189,8000000000.0,58675827.0,,1.0,2.0,
KNX,,,,,,,,,,,,,,,
RBC,,,,,,,,,,,,,,,
SAIA,,,,,,,,,,,,,,,
POOL,22733000.0,,346286000.0,184916000.0,,707345000.0,666761000.0,1186424000.0,0.238,10541563662.0,36787820.0,,,,
OVV,,57000000.0,307000000.0,,308000000.0,2576000000.0,5202000000.0,4392000000.0,-0.613,9780270102.0,283335463.0,,,,
TRGP,69500000.0,69500000.0,3300000.0,,179000000.0,112300000.0,17432500000.0,5632400000.0,0.213,37012700000.0,214951798.0,,,,
CLF,16500000.0,57000000.0,0.0,41000000.0,0.0,1814000000.0,7253000000.0,7253000000.0,0.29,3695647401.0,570390499.0,,,,25000.0
RPM,,126500000.0,1273500000.0,,591600000.0,712900000.0,1421600000.0,,0.258,24100000000.0,185827803.0,988500000.0,,,
STLD,18500000.0,18000000.0,12500000.0,51300000.0,39400000.0,18800000.0,4700000.0,1059600000.0,0.25,1300000000.0,16210443.0,,,,
EWBC,1260000.0,256000.0,0.0,,6337000.0,2301000.0,42365000.0,,0.216,181853487.0,9642669.0,1839000.0,,,
IBKR,118000000.0,118000000.0,0.0,29000000.0,134000000.0,,,,0.087,23755862670.0,42231651.0,,,,2998.0
