ticker,esgScore,environmentScore,socialScore,governanceScore,totalEsg,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,heldPercentInstitutions,heldPercentInsiders,numberOfAnalystOpinions,recommendationMean,targetMeanPrice,payoutRatio,profitMargins,returnOnEquity
HRMY,,,,,,293.0,9.0,9.0,10.0,8.0,10.0,0.91136,0.12085,11.0,,42.0,0.0,0.18271999,0.20752001
PEN,,,,,,4700.0,7.0,5.0,7.0,4.0,5.0,0.95267,0.029979998,14.0,2.64706,366.85715,0.0,0.12659,0.13781999
RVMD,,,,,,883.0,5.0,7.0,8.0,8.0,7.0,1.02112,0.01933,20.0,1.2,133.7,0.0,0.0,-0.58068
PCVX,,,,,,507.0,2.0,5.0,10.0,8.0,9.0,1.0438501,0.0058600004,9.0,1.27273,109.0,0.0,0.0,-0.25591
AZTA,,,,,,3000.0,10.0,2.0,2.0,6.0,5.0,1.16151,0.0092400005,6.0,2.14286,37.83333,0.0,-0.10118,0.01534
NEOG,,,,,,2974.0,10.0,3.0,8.0,5.0,6.0,1.04071,0.009380001,3.0,,11.66667,0.0,-0.68468004,-0.25253
AVTR,,,,,,13500.0,2.0,3.0,3.0,1.0,1.0,1.04058,0.01455,13.0,2.82353,10.88462,0.0,-0.08092,-0.09204
ENSG,,,,,,46000.0,7.0,5.0,7.0,2.0,4.0,0.95881,0.035469998,5.0,,220.4,0.0432,0.06801,0.16895
GMED,,,,,,6000.0,7.0,9.0,6.0,10.0,10.0,1.0248799,0.00672,12.0,1.85714,110.08333,0.0,0.18301001,0.122930005
OMCL,,,,,,3580.0,1.0,4.0,2.0,7.0,4.0,1.0565699,0.01993,7.0,1.375,57.42857,0.0,0.0017299999,0.00166
GNRC,,,,,,9400.0,5.0,9.0,8.0,9.0,9.0,0.97435,0.017339999,17.0,1.85714,245.41176,0.0,0.03791,0.06283
MTZ,,,,,,36000.0,8.0,7.0,7.0,6.0,6.0,0.76805,0.21488,18.0,1.42105,341.27777,0.0,0.02791,0.13351
AWI,,,,,,3800.0,5.0,5.0,2.0,4.0,3.0,1.0348899,0.01282,10.0,,208.8,0.1784,0.19046,0.37242
GFF,,,,,,5100.0,8.0,4.0,1.0,7.0,4.0,0.78818,0.18496001,7.0,1.14286,114.14286,0.7525,0.0176,0.26521
WWD,,,,,,10200.0,2.0,4.0,1.0,2.0,2.0,0.91265,0.00247,9.0,1.4,421.33334,0.14109999,0.12893,0.20381
FIX,,,,,,22700.0,9.0,2.0,5.0,9.0,7.0,0.96893,0.01323,4.0,1.57143,1670.25,0.0675,0.112349994,0.49238998
ROAD,,,,,,1639.0,8.0,10.0,5.0,10.0,10.0,1.0097699,0.014450001,6.0,1.0,142.16667,0.0,0.03988,0.1371
DY,,,,,,19556.0,6.0,2.0,4.0,3.0,2.0,0.94303,0.03726,11.0,1.09091,467.9091,0.0,0.0507,0.18152
EME,,,,,,44000.0,3.0,5.0,5.0,5.0,4.0,0.98052,0.01328,6.0,1.66667,864.1667,0.0355,0.07493,0.3849
WSC,,,,,,4700.0,3.0,6.0,1.0,2.0,2.0,1.18872,0.029649999,9.0,2.33333,24.38889,0.1736,-0.02323,-0.05653
GGG,,,,,,4400.0,6.0,1.0,9.0,2.0,4.0,0.91718,0.00774,8.0,2.45455,94.875,0.35709998,0.23332001,0.19925
RBC,,,,,,5334.0,5.0,8.0,7.0,5.0,6.0,1.02079,0.0164,6.0,,608.6667,0.0,0.15001,0.08663999
ITT,,,,,,11600.0,3.0,1.0,4.0,2.0,1.0,0.93698996,0.005,12.0,1.57143,234.16667,0.2298,0.123909995,0.14291
WTS,,,,,,5700.0,1.0,6.0,4.0,10.0,7.0,1.00725,0.00985,9.0,,338.55557,0.19569999,0.13976,0.18246001
ALLE,,,,,,13300.0,7.0,3.0,1.0,7.0,4.0,0.98421997,0.011510001,11.0,2.5,176.72726,0.2742,0.15829,0.36084
SITE,,,,,,7750.0,2.0,5.0,1.0,5.0,3.0,1.13896,0.01461,10.0,2.0,175.6,0.0,0.03226,0.09612001
TTC,,,,,,9227.0,2.0,4.0,4.0,7.0,5.0,0.93556,0.01656,4.0,,110.5,0.45810002,0.07276,0.22945999
AAON,,,,,,5897.0,3.0,3.0,1.0,6.0,3.0,0.9213,0.16877002,4.0,,122.75,0.3101,0.07461,0.12514
ESAB,,,,,,10300.0,6.0,2.0,3.0,3.0,2.0,0.97783,0.06426,9.0,1.44444,145.77779,0.092700005,0.079780005,0.12891
MWA,,,,,,3500.0,8.0,1.0,1.0,2.0,2.0,1.0259,0.01751,5.0,2.2,31.4,0.2134,0.13826999,0.21552
ZWS,,,,,,2600.0,1.0,4.0,9.0,6.0,6.0,0.91993,0.11748999,9.0,,55.33333,0.3393,0.11675,0.120620005
SPXC,,,,,,4700.0,4.0,1.0,1.0,4.0,2.0,0.96410006,0.031519998,12.0,1.25,260.41666,0.0,0.10772,0.13555999
KMX,,,,,,28000.0,3.0,5.0,8.0,2.0,4.0,1.0756401,0.00446,12.0,2.94444,40.41667,0.0,0.016449999,0.07459
FIVE,,,,,,7800.0,1.0,2.0,2.0,4.0,2.0,1.05908,0.02,22.0,1.8,261.0909,0.0,0.075279996,0.17924999
DKS,,,,,,31600.0,7.0,7.0,2.0,10.0,6.0,1.0432299,0.035889998,21.0,2.03846,234.7619,0.48650002,0.04933,0.19437
ASO,,,,,,10350.0,2.0,4.0,3.0,3.0,3.0,1.19969,0.01477,18.0,2.11111,58.0,0.0939,0.06224,0.18047
BOOT,,,,,,3300.0,3.0,5.0,5.0,4.0,4.0,1.20676,0.00449,14.0,1.375,237.14285,0.0,0.10097,0.18451001
WSM,,,,,,19800.0,7.0,4.0,9.0,3.0,6.0,0.97863996,0.01192,19.0,2.3913,204.52632,0.29860002,0.13942,0.51523995
RH,,,,,,,4.0,8.0,7.0,8.0,7.0,0.95278,0.18515,17.0,2.73684,160.5294,0.0,0.03628,
POOL,,,,,,6000.0,6.0,1.0,5.0,2.0,1.0,0.94073,0.11821,11.0,,266.0909,0.4562,0.07683,0.33058998
DECK,,,,,,5500.0,2.0,2.0,4.0,6.0,3.0,0.98246,0.00637,21.0,2.32,128.5238,0.0,0.19348,0.39688
YETI,,,,,,1390.0,3.0,4.0,2.0,8.0,4.0,1.19716,0.00641,15.0,2.0,50.6,0.0,0.08851,0.2379
GRMN,,,,,,23000.0,7.0,9.0,8.0,7.0,8.0,0.57786,0.14883,8.0,,260.25,0.4016,0.22964,0.19783
LULU,,,,,,39000.0,9.0,8.0,7.0,9.0,9.0,0.83349,0.04716,25.0,2.87879,183.8036,0.0,0.14224,0.34013
FOXF,,,,,,3700.0,3.0,3.0,9.0,7.0,7.0,1.02367,0.00857,6.0,,22.83333,0.0,-0.37113997,-0.58223
CROX,,,,,,8010.0,2.0,2.0,3.0,7.0,3.0,1.0012001,0.038110003,11.0,,102.90909,0.0,-0.0201,-0.0519
SIG,,,,,,27097.0,5.0,1.0,4.0,2.0,1.0,1.16871,0.03127,9.0,2.2,112.33333,0.1808,0.04321,0.15422
SHAK,,,,,,13873.0,10.0,7.0,8.0,8.0,8.0,1.0776,0.04859,25.0,2.03571,113.16,0.0,0.03164,0.094919994
WING,,,,,,345.0,6.0,1.0,2.0,5.0,2.0,1.32616,0.0089300005,30.0,1.51515,302.93332,0.18360001,0.25008,
TXRH,,,,,,101000.0,4.0,1.0,4.0,1.0,1.0,1.00493,0.0057200002,25.0,2.16667,197.64,0.4459,0.06899,0.29021
TROW,,,,,,7773.0,5.0,8.0,8.0,7.0,8.0,0.86272,0.0178,12.0,3.30769,99.08333,0.5498,0.28533,0.18791
BEN,,,,,,9900.0,10.0,6.0,7.0,4.0,7.0,0.48024,0.48398,11.0,3.0,27.27273,1.1944001,0.06972,0.04464
