ticker,esgScore,environmentScore,socialScore,governanceScore,totalEsg,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,heldPercentInstitutions,heldPercentInsiders,numberOfAnalystOpinions,recommendationMean,targetMeanPrice,payoutRatio,profitMargins,returnOnEquity
AAPL,,,,,,150000.0,2.0,1.0,7.0,1.0,1.0,0.65296996,0.01641,40.0,1.89583,295.07126,0.1304,0.27037,1.5202099
MSFT,,,,,,228000.0,9.0,7.0,5.0,2.0,5.0,0.75951,0.0008,54.0,1.27586,587.3139,0.21280001,0.39044,0.34390998
GOOGL,,,,,,190820.0,7.0,8.0,10.0,10.0,10.0,0.80776,0.0058,56.0,1.35821,376.28964,0.076799996,0.32810003,0.35705003
AMZN,,,,,,1576000.0,2.0,8.0,10.0,3.0,9.0,0.67252,0.09085,64.0,1.33824,281.27344,0.0,0.108339995,0.22286
NVDA,,,,,,42000.0,5.0,9.0,4.0,8.0,8.0,0.69727,0.04212,56.0,1.28333,268.22195,0.0082,0.55603004,1.01485
JNJ,,,,,,138200.0,4.0,8.0,4.0,3.0,4.0,0.75687,0.00061,24.0,2.12,241.08333,0.466,0.28456,0.35029998
JPM,,,,,,318512.0,10.0,6.0,4.0,3.0,5.0,0.74972,0.00412,24.0,2.14815,337.75,0.2897,0.3391,0.16134001
XOM,,,,,,57900.0,9.0,6.0,9.0,1.0,7.0,0.67434996,0.00095,24.0,2.34615,160.16667,0.597,0.089049995,0.110810004
PG,,,,,,109000.0,7.0,5.0,1.0,5.0,3.0,0.70378995,0.00075,22.0,2.08333,166.95454,0.6188,0.19299999,0.31562
UNH,,,,,,390000.0,10.0,6.0,9.0,1.0,8.0,0.84239,0.00828,26.0,1.7931,357.80768,0.65989995,0.02694,0.12538
CAT,,,,,,118000.0,4.0,5.0,3.0,5.0,4.0,0.72585,0.00225,26.0,2.13793,742.17535,0.3105,0.13144,0.43526
NEE,,,,,,17400.0,4.0,5.0,8.0,3.0,5.0,0.84594,0.0012800001,22.0,1.91667,94.61182,0.6867,0.24934,0.083739996
KO,,,,,,65900.0,4.0,8.0,1.0,4.0,3.0,0.66656,0.098900005,23.0,1.70833,83.53826,0.6711,0.2734,0.43323
CVX,,,,,,43039.0,8.0,4.0,2.0,2.0,2.0,0.67906,0.066020004,24.0,2.0,203.0,1.0317,0.06661,0.07231
HON,,,,,,101000.0,1.0,4.0,1.0,3.0,1.0,0.80801004,0.00085,24.0,2.03846,252.06125,0.65989995,0.1263,0.26136
BRK-B,,,,,,387800.0,10.0,10.0,8.0,10.0,10.0,0.66137004,0.0027599998,3.0,,523.0,0.0,0.18029,0.09809
META,,,,,,78865.0,9.0,10.0,10.0,10.0,10.0,0.78682,0.00091,60.0,1.34328,860.246,0.08939999,0.30084,0.30238
AVGO,,,,,,33000.0,3.0,2.0,10.0,3.0,8.0,0.79480004,0.01968,44.0,1.22449,471.5531,0.47169998,0.36571997,0.33370999
ADBE,,,,,,31360.0,1.0,5.0,9.0,1.0,6.0,0.8847,0.0025,34.0,2.41026,328.18823,0.0,0.29477,0.58774
CRM,,,,,,83334.0,2.0,8.0,9.0,2.0,6.0,0.85011,0.02684,52.0,1.64706,273.0604,0.2133,0.17958,0.123959996
CSCO,,,,,,86200.0,6.0,6.0,8.0,1.0,3.0,0.81922996,0.00064000004,22.0,1.81481,89.04455,0.5899,0.18756,0.23754999
INTC,,,,,,85100.0,8.0,2.0,9.0,2.0,6.0,0.61694,0.12966,41.0,2.8125,47.11098,0.0,-0.00505,0.00022
AMD,,,,,,31000.0,7.0,4.0,9.0,3.0,6.0,0.72233003,0.00441,46.0,1.57143,289.6087,0.0,0.12515001,0.07082
ORCL,,,,,,162000.0,1.0,10.0,10.0,5.0,9.0,0.44259998,0.40549,39.0,1.61364,246.45872,0.35909998,0.25298,0.57572
LLY,,,,,,50000.0,8.0,6.0,6.0,9.0,8.0,0.84577006,0.0017,29.0,1.70968,1209.2069,0.26139998,0.31667,1.01159
ABBV,,,,,,57000.0,7.0,4.0,2.0,9.0,7.0,0.76402,0.00117,29.0,1.83871,249.13792,2.7679,0.0691,62.25
MRK,,,,,,73000.0,6.0,5.0,4.0,2.0,3.0,0.81304,0.00064000004,27.0,1.82759,128.59259,0.45049998,0.28078,0.36882
PFE,,,,,,75000.0,10.0,7.0,10.0,1.0,9.0,0.67771006,0.00098,26.0,2.5,28.57962,1.2647,0.124180004,0.08886
TMO,,,,,,125000.0,1.0,7.0,10.0,1.0,8.0,0.95461,0.0017,25.0,1.42857,661.4,0.096999995,0.15045999,0.13024001
BAC,,,,,,213000.0,7.0,5.0,8.0,2.0,4.0,0.71522003,0.07359,25.0,1.48148,61.06,0.28350002,0.28401,0.10217
WFC,,,,,,205000.0,5.0,7.0,1.0,6.0,5.0,0.7959,0.0010800001,25.0,1.85185,99.3,0.2716,0.26659,0.11732
GS,,,,,,47400.0,6.0,5.0,10.0,6.0,9.0,0.76083,0.0053100004,20.0,2.5,953.25,0.2728,0.28917998,0.13861
MS,,,,,,83000.0,5.0,6.0,8.0,6.0,7.0,0.62723,0.23975,21.0,2.36,192.57143,0.3771,0.23986,0.15614
BLK,,,,,,24900.0,3.0,6.0,8.0,1.0,3.0,0.82525,0.0197,16.0,1.52941,1289.625,0.5902,0.22930999,0.107159995
WMT,,,,,,2100000.0,6.0,8.0,6.0,1.0,2.0,0.38778,0.44935,41.0,1.44186,136.02438,0.3443,0.0307,0.21847
HD,,,,,,472400.0,3.0,4.0,3.0,1.0,1.0,0.74461997,0.00071000005,33.0,1.91892,408.18182,0.6465,0.08596,1.45541
MCD,,,,,,150000.0,6.0,4.0,2.0,6.0,4.0,0.75526,0.00252,33.0,2.13514,344.84848,0.6,0.3185,
NKE,,,,,,77800.0,9.0,10.0,7.0,10.0,9.0,0.82934,0.01451,33.0,2.15385,65.45758,1.0658001,0.04836,0.16016
COST,,,,,,341000.0,6.0,2.0,4.0,1.0,1.0,0.72567004,0.00169,32.0,1.94595,1067.5938,0.27040002,0.029860001,0.29650998
RTX,,,,,,180000.0,9.0,6.0,1.0,2.0,2.0,0.80922997,0.00072999997,22.0,2.17391,216.33682,0.53830004,0.07598,0.109519996
LMT,,,,,,123000.0,2.0,7.0,2.0,7.0,5.0,0.74948,0.00091,20.0,2.59091,665.65,0.62119997,0.06685,0.76865
GE,,,,,,57000.0,9.0,7.0,10.0,2.0,9.0,0.81068003,0.00308,20.0,1.47619,355.65,0.17889999,0.18982,0.44692
DE,,,,,,73100.0,7.0,5.0,4.0,6.0,6.0,0.83057,0.00166,23.0,2.24,664.01263,0.3655,0.10302,0.19566
NFLX,,,,,,16000.0,10.0,9.0,7.0,4.0,8.0,0.83815,0.0058999998,45.0,1.76471,113.42911,0.0,0.24304001,0.42762002
DIS,,,,,,175560.0,5.0,1.0,7.0,4.0,2.0,0.77289003,0.00077,29.0,1.54839,128.73448,0.1841,0.128,0.12024
PAGEIND.NS,,,,,,20658.0,10.0,8.0,1.0,1.0,6.0,0.40171,0.46675,26.0,2.76923,37987.58,0.9306,0.14711,
RELAXO.NS,,,,,,7355.0,,,,,,0.119049996,0.7133,10.0,,402.3,0.44509998,0.06342,
WELSPUNIND.NS,,,,,,,,,,,,,,,,,,,
ARVIND.NS,,,,,,25833.0,,,,,,0.31223,0.41990003,6.0,1.0,444.16666,0.24270001,0.04518,
TRENT.NS,,,,,,27887.0,5.0,6.0,2.0,1.0,3.0,0.28735,0.41904,25.0,2.0,4621.6,0.1086,0.08501001,
DIXON.NS,,,,,,1567.0,,,,,,0.38161,0.38262,28.0,2.32143,12674.036,0.0291,0.03254,
BATAINDIA.NS,,,,,,3961.0,7.0,2.0,5.0,8.0,2.0,0.30896,0.50481,16.0,,868.375,0.64980006,0.05118,
VMART.NS,,,,,,10912.0,,,,,,0.34554002,0.52002996,16.0,1.13333,849.9375,0.0,0.03647,
RAJESHEXPO.NS,,,,,,112.0,,,,,,0.16306,0.67819,,,,0.0,0.00023,
JUBLFOOD.NS,,,,,,25780.0,,,,,,0.40619,0.40756,29.0,2.0,635.86206,0.2474,0.0434,
DEVYANI.NS,,,,,,14802.0,,,,,,0.19503,0.64237,23.0,1.78261,158.73914,0.0,-0.00804,
SAPPHIRE.NS,,,,,,13494.0,,,,,,0.61592996,0.27659,22.0,2.04545,284.45456,0.0,-0.00577,
LAURUSLABS.NS,,,,,,6167.0,,,,,,0.43405998,0.32156,14.0,2.85714,966.3571,0.1025,0.12546,
AJANTPHARM.NS,,,,,,9628.0,,,,,,0.21611,0.66384006,12.0,,3207.5833,0.3448,0.19504999,
GLENMARK.NS,,,,,,15800.0,2.0,7.0,9.0,1.0,8.0,0.26610002,0.48964,12.0,,2221.0,0.1325,0.06451,
TORNTPHARM.NS,,,,,,17059.0,2.0,4.0,5.0,10.0,4.0,0.14887999,0.71130997,29.0,1.72414,4526.8276,0.4768,0.17833,
ALKEM.NS,,,,,,18785.0,10.0,9.0,5.0,1.0,8.0,0.24975,0.62908,21.0,,5911.2856,0.22690001,0.16636999,
IPCALAB.NS,,,,,,16778.0,,,,,,0.46652,0.45082,18.0,,1655.3334,0.0558,0.09571,
NATCOPHARM.NS,,,,,,4199.0,,,,,,0.12486,0.51047003,11.0,,987.36365,0.0575,0.3413,
AUROPHARMA.NS,,,,,,27707.0,9.0,3.0,3.0,1.0,2.0,0.28806,0.54196,27.0,1.84615,1366.0741,0.066599995,0.10509,
BIOCON.NS,,,,,,,3.0,2.0,9.0,1.0,3.0,0.24791999,0.54073,19.0,2.21053,420.73685,0.1025,0.03591,
SYNGENE.NS,,,,,,6533.0,,,,,,0.37037998,0.53088003,8.0,2.25,618.75,0.143,0.09465,
LALPATHLAB.NS,,,,,,4980.0,,,,,,0.31611001,0.54912,25.0,2.0,1675.04,0.3952,0.19840999,
METROPOLIS.NS,,,,,,4823.0,,,,,,0.44067,0.48866,18.0,1.88889,561.125,0.1236,0.10741,
GRANULES.NS,,,,,,4066.0,,,,,,0.21845,0.39312,7.0,1.57143,669.1429,0.066700004,0.10712,
SUVENPHAR.NS,,,,,,,,,,,,,,,,,,,
PERSISTENT.NS,,,,,,22205.0,,,,,,0.43476,0.31976,34.0,2.35294,5934.0,0.3161,0.12427,0.24966998
LTTS.NS,,,,,,21028.0,,,,,,0.1437,0.73905,30.0,2.93333,3962.1333,0.4723,0.10705,
CYIENT.NS,,,,,,11884.0,4.0,5.0,10.0,1.0,9.0,0.50009996,0.23662001,21.0,2.42857,1141.6666,0.61259997,0.07496,
MPHASIS.NS,,,,,,30157.0,3.0,1.0,8.0,1.0,1.0,0.52804,0.31239,36.0,2.02778,2754.0278,0.6046,0.11725,0.18705
COFORGE.NS,,,,,,25620.0,,,,,,0.68487,0.00829,32.0,1.83871,1723.9375,0.4662,0.07888,
TATAELXSI.NS,,,,,,11973.0,2.0,3.0,6.0,7.0,4.0,0.14926,0.44908002,15.0,3.8,4641.467,0.80480003,0.15675001,
ROUTE.NS,,,,,,520.0,,,,,,0.072119996,0.74858004,4.0,2.0,766.25,0.3721,0.041840002,
BSOFT.NS,,,,,,10882.0,,,,,,0.30297002,0.40980998,14.0,2.5,411.42856,0.39060003,0.087869994,
HAPPSTMNDS.NS,,,,,,6548.0,,,,,,0.11179,0.46174,8.0,1.375,522.75,0.50810003,0.08222,0.116969995
MASTEK.NS,,,,,,4332.0,,,,,,0.23809999,0.49251,4.0,1.5,2190.5,0.1891,0.103360005,
KPITTECH.NS,,,,,,12873.0,,,,,,0.2751,0.45436,20.0,2.05,987.2,0.32369998,0.114630006,
NEWGEN.NS,,,,,,4040.0,,,,,,0.106400006,0.63458997,6.0,1.66667,845.0,0.23709999,0.19503,
DABUR.NS,,,,,,5341.0,1.0,6.0,10.0,1.0,7.0,0.22801,0.67647004,38.0,2.59459,544.2105,0.77,0.14220999,
MARICO.NS,,,,,,1908.0,5.0,6.0,6.0,1.0,4.0,0.24655001,0.59062,37.0,1.60526,856.6486,0.7943,0.13177,
GODREJCP.NS,,,,,,2962.0,6.0,2.0,6.0,7.0,3.0,0.19719,0.64057,36.0,1.55556,1363.1945,1.123,0.119969994,
EMAMILTD.NS,,,,,,3217.0,,,,,,0.30871,0.5697,23.0,1.43478,630.4783,0.5495,0.20806,
COLPAL.NS,,,,,,2198.0,5.0,5.0,1.0,4.0,2.0,0.21504,0.51429003,28.0,3.10714,2226.3928,1.0451,0.22483,
TATACONSUM.NS,,,,,,10595.0,3.0,3.0,7.0,7.0,4.0,0.33398998,0.34388,28.0,2.07143,1309.0714,0.5563,0.07542,
ZYDUSWELL.NS,,,,,,1247.0,,,,,,0.19808,0.69845,8.0,1.33333,515.95,0.1842,0.061100002,
JYOTHYLAB.NS,,,,,,3035.0,,,,,,0.17489,0.68869,11.0,1.63636,295.0909,0.3759,0.11721,
BIKAJI.NS,,,,,,2589.0,,,,,,0.18047,0.73877996,10.0,1.1,814.9,0.1016,0.08538,
HONASA.NS,,,,,,923.0,,,,,,0.48277,0.38702,13.0,2.46154,370.92307,0.0,0.06865,
SRF.NS,,,,,,7625.0,8.0,8.0,1.0,4.0,5.0,0.28191,0.52202,29.0,,3114.862,0.1266,0.1149,
UPL.NS,,,,,,12000.0,10.0,2.0,5.0,1.0,3.0,0.35658002,0.33568,17.0,,820.5294,0.2865,0.0358,
AARTIIND.NS,,,,,,5868.0,,,,,,0.22237,0.42528,21.0,,499.9524,0.096099995,0.047059998,
PIDILITIND.NS,,,,,,8153.0,6.0,6.0,9.0,1.0,8.0,0.15939,0.69454,18.0,2.11111,1632.3334,0.4449,0.16188,
DEEPAKNTR.NS,,,,,,1757.0,,,,,,0.24759,0.49824002,18.0,,1748.5555,0.1919,0.067090005,
NAVINFLUOR.NS,,,,,,,,,,,,0.39653,0.29404,26.0,,6981.269,0.1249,0.1774,
CLEAN.NS,,,,,,458.0,,,,,,0.20903,0.54885,13.0,,997.9231,0.2599,0.25281,
ATUL.NS,,,,,,3365.0,,,,,,0.28606,0.48098,10.0,,7343.7,0.123900004,0.09814,
FINEORG.NS,,,,,,869.0,,,,,,0.13351,0.74998003,10.0,,4915.9,0.085,0.16900998,
SUDARSCHEM.NS,,,,,,1350.0,,,,,,0.27549,0.40442002,6.0,,1218.6666,0.6618,-0.0072399997,
ANANTRAJ.NS,,,,,,,,,,,,0.10644,0.64778,3.0,,721.0,0.0481,0.21916,
GALAXYSURF.NS,,,,,,1785.0,,,,,,0.15762,0.72649,12.0,,2354.0833,0.2778,0.0553,
ABB.NS,,,,,,,9.0,3.0,2.0,8.0,3.0,0.12071,0.75318,26.0,2.69231,6025.885,0.5493,0.12636,0.22391
CUMMINSIND.NS,,,,,,3025.0,7.0,4.0,5.0,8.0,4.0,0.27227,0.51273,23.0,2.34783,4659.1304,0.6368,0.19322,
THERMAX.NS,,,,,,5601.0,4.0,2.0,10.0,4.0,4.0,0.20944999,0.73678,20.0,2.4,3414.05,0.2313,0.066,
SCHAEFFLER.NS,,,,,,,,,,,,0.17377001,0.74300003,7.0,1.85714,4787.143,0.3804,0.118769996,0.20212999
HONAUT.NS,,,,,,3140.0,,,,,,0.13535,0.75,5.0,,36163.4,0.1838,0.10945,
GRINDWELL.NS,,,,,,2429.0,,,,,,0.20773001,0.58033,3.0,2.0,1756.3334,0.48380002,0.13231,
AIAENG.NS,,,,,,1306.0,,,,,,0.33554,0.58537,11.0,2.72727,3914.6365,0.1285,0.26959,
ELGIEQUIP.NS,,,,,,2138.0,,,,,,0.17789,0.46607,3.0,,604.0,0.1721,0.10553,
TIINDIA.NS,,,,,,3219.0,,,,,,0.33492002,0.44044,6.0,,3175.0,0.113299996,0.028169999,
KAYNES.NS,,,,,,,,,,,,0.20469,0.55052,21.0,2.14286,4553.7144,0.0,0.115389995,
MOTHERSON.NS,,,,,,,4.0,3.0,10.0,1.0,6.0,0.25982,0.58284,23.0,,140.69565,0.1751,0.028299998,
BALKRISIND.NS,,,,,,3758.0,9.0,9.0,1.0,7.0,6.0,0.30794,0.58559,18.0,,2348.2778,0.2357,0.1233,
ENDURANCE.NS,,,,,,4370.0,,,,,,0.20501,0.75001,15.0,1.66667,2920.4666,0.1528,0.06831,
EXIDEIND.NS,,,,,,5133.0,,,,,,0.23233,0.50319,14.0,2.92857,379.35715,0.2058,0.04693,
SUNDRMFAST.NS,,,,,,3185.0,,,,,,0.29653,0.49581,3.0,,1104.3334,0.3015,0.09047,
SUPRAJIT.NS,,,,,,2188.0,,,,,,0.21864,0.50413,7.0,,520.8571,0.2967,0.037920002,
CRAFTSMAN.NS,,,,,,2893.0,,,,,,0.34638,0.50259,7.0,1.625,8489.429,0.0356,0.04404,
GABRIEL.NS,,,,,,3160.0,,,,,,0.19474001,0.55991,4.0,,1184.25,0.2643,0.05519,
CHOLAFIN.NS,,,,,,45194.0,,,,,,0.35292,0.4932,34.0,1.82353,1797.0294,0.0348,0.39054,
MUTHOOTFIN.NS,,,,,,31565.0,6.0,6.0,8.0,1.0,6.0,0.15987,0.73350996,21.0,2.28571,4102.2856,0.1197,0.51138,0.26691
MANAPPURAM.NS,,,,,,24650.0,,,,,,0.27711,0.36485,14.0,2.57143,305.85715,0.53220004,0.115880005,
IIFL.NS,,,,,,14782.0,,,,,,0.24257,0.47174,4.0,1.5,657.5,0.0,0.19416,
CANFINHOME.NS,,,,,,1108.0,,,,,,0.30856,0.38689998,14.0,1.57143,1067.7142,0.1777,0.63762003,
ABCAPITAL.NS,,,,,,66340.0,,,,,,0.10742,0.73573995,12.0,1.16667,406.41666,0.0,0.11071999,
MASFIN.NS,,,,,,1758.0,,,,,,0.16580999,0.45526,6.0,1.0,400.0,0.088,0.37772998,
POONAWALLA.NS,,,,,,3594.0,,,,,,0.16896,0.68050003,8.0,2.375,511.375,0.0,0.13795,
OBEROIRLTY.NS,,,,,,1470.0,8.0,8.0,8.0,8.0,10.0,0.24228,0.67705,25.0,2.16,1754.24,0.13,0.4136,
GODREJPROP.NS,,,,,,4199.0,3.0,2.0,7.0,1.0,3.0,0.24055,0.53089,23.0,1.65217,2265.0435,0.0,0.41695,
PRESTIGE.NS,,,,,,9014.0,8.0,6.0,2.0,4.0,4.0,0.28119,0.6353,23.0,1.45455,1885.4348,0.0802,0.095699996,0.06322
BRIGADE.NS,,,,,,3043.0,,,,,,0.34612998,0.46723,14.0,1.21429,1033.6428,0.08180001,0.13083,
