ticker,esg_data_quality_score,real_pct,proxy_pct,imputed_pct,missing_pct
CHRD,48.90625,31.25,28.125,3.125,37.5
DINO,48.90625,31.25,28.125,3.125,37.5
CLF,48.90625,31.25,28.125,3.125,37.5
ATI,48.90625,31.25,28.125,3.125,37.5
CMC,48.90625,31.25,28.125,3.125,37.5
SON,48.90625,31.25,28.125,3.125,37.5
SEE,48.90625,31.25,28.125,3.125,37.5
HXL,48.90625,31.25,28.125,3.125,37.5
WOR,48.90625,31.25,28.125,3.125,37.5
SLVM,48.90625,31.25,28.125,3.125,37.5
TROX,48.90625,31.25,28.125,3.125,37.5
IOSP,48.90625,31.25,28.125,3.125,37.5
CBT,48.90625,31.25,28.125,3.125,37.5
NGVT,48.90625,31.25,28.125,3.125,37.5
AVNT,48.90625,31.25,28.125,3.125,37.5
KWR,48.90625,31.25,28.125,3.125,37.5
STLD,48.90625,31.25,28.125,3.125,37.5
RS,48.90625,31.25,28.125,3.125,37.5
RPM,48.90625,31.25,28.125,3.125,37.5
FMC,51.25,34.375,28.125,0.0,37.5
CELH,48.90625,31.25,28.125,3.125,37.5
FLO,48.90625,31.25,28.125,3.125,37.5
INGR,48.90625,31.25,28.125,3.125,37.5
SPB,48.90625,31.25,28.125,3.125,37.5
IPAR,48.90625,31.25,28.125,3.125,37.5
ELF,48.90625,31.25,28.125,3.125,37.5
FRPT,48.90625,31.25,28.125,3.125,37.5
SJM,48.90625,31.25,28.125,3.125,37.5
CASY,48.90625,31.25,28.125,3.125,37.5
USFD,48.90625,31.25,28.125,3.125,37.5
POST,48.90625,31.25,28.125,3.125,37.5
HRL,48.90625,31.25,28.125,3.125,37.5
NRG,48.90625,31.25,28.125,3.125,37.5
OGE,48.90625,31.25,28.125,3.125,37.5
PNW,48.90625,31.25,28.125,3.125,37.5
ATO,48.90625,31.25,28.125,3.125,37.5
EVRG,48.90625,31.25,28.125,3.125,37.5
AES,48.90625,31.25,28.125,3.125,37.5
MDU,48.90625,31.25,28.125,3.125,37.5
AVA,46.71875,31.25,21.875,9.375,37.5
CMS,48.90625,31.25,28.125,3.125,37.5
DTE,48.90625,31.25,28.125,3.125,37.5
WEC,48.90625,31.25,28.125,3.125,37.5
INVH,48.90625,31.25,28.125,3.125,37.5
ELS,48.90625,31.25,28.125,3.125,37.5
AMH,48.90625,31.25,28.125,3.125,37.5
SUI,48.90625,31.25,28.125,3.125,37.5
KRC,48.90625,31.25,28.125,3.125,37.5
HIW,48.90625,31.25,28.125,3.125,37.5
NNN,48.90625,31.25,28.125,3.125,37.5
STAG,48.90625,31.25,28.125,3.125,37.5
CUBE,48.90625,31.25,28.125,3.125,37.5
REXR,48.90625,31.25,28.125,3.125,37.5
LAMR,48.90625,31.25,28.125,3.125,37.5
IART,48.90625,31.25,28.125,3.125,37.5
ZI,23.59375,6.25,9.375,46.875,37.5
MTCH,48.90625,31.25,28.125,3.125,37.5
MSGS,48.90625,31.25,28.125,3.125,37.5
TTWO,48.90625,31.25,28.125,3.125,37.5
EA,48.90625,31.25,28.125,3.125,37.5
LYV,48.90625,31.25,28.125,3.125,37.5
WMG,48.90625,31.25,28.125,3.125,37.5
AAPL,48.90625,31.25,28.125,3.125,37.5
MSFT,48.90625,31.25,28.125,3.125,37.5
GOOGL,48.90625,31.25,28.125,3.125,37.5
AMZN,48.90625,31.25,28.125,3.125,37.5
NVDA,48.90625,31.25,28.125,3.125,37.5
JNJ,48.90625,31.25,28.125,3.125,37.5
JPM,48.90625,31.25,28.125,3.125,37.5
XOM,48.90625,31.25,28.125,3.125,37.5
PG,48.90625,31.25,28.125,3.125,37.5
UNH,48.90625,31.25,28.125,3.125,37.5
CAT,48.90625,31.25,28.125,3.125,37.5
NEE,48.90625,31.25,28.125,3.125,37.5
KO,48.90625,31.25,28.125,3.125,37.5
CVX,48.90625,31.25,28.125,3.125,37.5
HON,48.90625,31.25,28.125,3.125,37.5
BRK-B,48.90625,31.25,28.125,3.125,37.5
META,48.90625,31.25,28.125,3.125,37.5
AVGO,48.90625,31.25,28.125,3.125,37.5
ADBE,48.90625,31.25,28.125,3.125,37.5
CRM,48.90625,31.25,28.125,3.125,37.5
CSCO,48.90625,31.25,28.125,3.125,37.5
INTC,48.90625,31.25,28.125,3.125,37.5
AMD,48.90625,31.25,28.125,3.125,37.5
ORCL,48.90625,31.25,28.125,3.125,37.5
LLY,48.90625,31.25,28.125,3.125,37.5
ABBV,48.90625,31.25,28.125,3.125,37.5
MRK,48.90625,31.25,28.125,3.125,37.5
PFE,48.90625,31.25,28.125,3.125,37.5
TMO,48.90625,31.25,28.125,3.125,37.5
BAC,48.90625,31.25,28.125,3.125,37.5
WFC,51.25,34.375,28.125,0.0,37.5
GS,48.90625,31.25,28.125,3.125,37.5
MS,48.90625,31.25,28.125,3.125,37.5
BLK,48.90625,31.25,28.125,3.125,37.5
WMT,48.90625,31.25,28.125,3.125,37.5
HD,51.25,34.375,28.125,0.0,37.5
MCD,48.90625,31.25,28.125,3.125,37.5
NKE,48.90625,31.25,28.125,3.125,37.5
COST,48.90625,31.25,28.125,3.125,37.5
RTX,48.90625,31.25,28.125,3.125,37.5
LMT,48.90625,31.25,28.125,3.125,37.5
GE,48.90625,31.25,28.125,3.125,37.5
DE,48.90625,31.25,28.125,3.125,37.5
NFLX,48.90625,31.25,28.125,3.125,37.5
DIS,51.25,34.375,28.125,0.0,37.5
PAGEIND.NS,48.90625,31.25,28.125,3.125,37.5
RELAXO.NS,38.28125,15.625,31.25,15.625,37.5
WELSPUNIND.NS,23.59375,6.25,9.375,46.875,37.5
ARVIND.NS,38.28125,15.625,31.25,15.625,37.5
TRENT.NS,48.90625,31.25,28.125,3.125,37.5
DIXON.NS,38.28125,15.625,31.25,15.625,37.5
BATAINDIA.NS,48.90625,31.25,28.125,3.125,37.5
VMART.NS,38.28125,15.625,31.25,15.625,37.5
RAJESHEXPO.NS,35.9375,12.5,31.25,18.75,37.5
JUBLFOOD.NS,38.28125,15.625,31.25,15.625,37.5
DEVYANI.NS,38.28125,15.625,31.25,15.625,37.5
SAPPHIRE.NS,38.28125,15.625,31.25,15.625,37.5
LAURUSLABS.NS,38.28125,15.625,31.25,15.625,37.5
AJANTPHARM.NS,38.28125,15.625,31.25,15.625,37.5
GLENMARK.NS,48.90625,31.25,28.125,3.125,37.5
TORNTPHARM.NS,48.90625,31.25,28.125,3.125,37.5
ALKEM.NS,48.90625,31.25,28.125,3.125,37.5
IPCALAB.NS,38.28125,15.625,31.25,15.625,37.5
NATCOPHARM.NS,38.28125,15.625,31.25,15.625,37.5
AUROPHARMA.NS,48.90625,31.25,28.125,3.125,37.5
BIOCON.NS,46.71875,31.25,21.875,9.375,37.5
SYNGENE.NS,38.28125,15.625,31.25,15.625,37.5
LALPATHLAB.NS,38.28125,15.625,31.25,15.625,37.5
METROPOLIS.NS,38.28125,15.625,31.25,15.625,37.5
GRANULES.NS,38.28125,15.625,31.25,15.625,37.5
SUVENPHAR.NS,23.59375,6.25,9.375,46.875,37.5
PERSISTENT.NS,38.28125,15.625,31.25,15.625,37.5
LTTS.NS,38.28125,15.625,31.25,15.625,37.5
CYIENT.NS,48.90625,31.25,28.125,3.125,37.5
MPHASIS.NS,48.90625,31.25,28.125,3.125,37.5
COFORGE.NS,38.28125,15.625,31.25,15.625,37.5
TATAELXSI.NS,48.90625,31.25,28.125,3.125,37.5
ROUTE.NS,38.28125,15.625,31.25,15.625,37.5
BSOFT.NS,38.28125,15.625,31.25,15.625,37.5
HAPPSTMNDS.NS,38.28125,15.625,31.25,15.625,37.5
MASTEK.NS,38.28125,15.625,31.25,15.625,37.5
KPITTECH.NS,38.28125,15.625,31.25,15.625,37.5
NEWGEN.NS,38.28125,15.625,31.25,15.625,37.5
DABUR.NS,48.90625,31.25,28.125,3.125,37.5
MARICO.NS,48.90625,31.25,28.125,3.125,37.5
GODREJCP.NS,48.90625,31.25,28.125,3.125,37.5
EMAMILTD.NS,38.28125,15.625,31.25,15.625,37.5
COLPAL.NS,48.90625,31.25,28.125,3.125,37.5
TATACONSUM.NS,48.90625,31.25,28.125,3.125,37.5
ZYDUSWELL.NS,38.28125,15.625,31.25,15.625,37.5
JYOTHYLAB.NS,38.28125,15.625,31.25,15.625,37.5
BIKAJI.NS,38.28125,15.625,31.25,15.625,37.5
HONASA.NS,38.28125,15.625,31.25,15.625,37.5
SRF.NS,48.90625,31.25,28.125,3.125,37.5
UPL.NS,48.90625,31.25,28.125,3.125,37.5
AARTIIND.NS,38.28125,15.625,31.25,15.625,37.5
PIDILITIND.NS,48.90625,31.25,28.125,3.125,37.5
DEEPAKNTR.NS,38.28125,15.625,31.25,15.625,37.5
NAVINFLUOR.NS,36.09375,15.625,25.0,21.875,37.5
CLEAN.NS,38.28125,15.625,31.25,15.625,37.5
ATUL.NS,38.28125,15.625,31.25,15.625,37.5
FINEORG.NS,38.28125,15.625,31.25,15.625,37.5
SUDARSCHEM.NS,38.28125,15.625,31.25,15.625,37.5
ANANTRAJ.NS,36.09375,15.625,25.0,21.875,37.5
GALAXYSURF.NS,38.28125,15.625,31.25,15.625,37.5
ABB.NS,46.71875,31.25,21.875,9.375,37.5
CUMMINSIND.NS,48.90625,31.25,28.125,3.125,37.5
THERMAX.NS,48.90625,31.25,28.125,3.125,37.5
SCHAEFFLER.NS,36.09375,15.625,25.0,21.875,37.5
HONAUT.NS,38.28125,15.625,31.25,15.625,37.5
GRINDWELL.NS,38.28125,15.625,31.25,15.625,37.5
AIAENG.NS,38.28125,15.625,31.25,15.625,37.5
ELGIEQUIP.NS,38.28125,15.625,31.25,15.625,37.5
TIINDIA.NS,38.28125,15.625,31.25,15.625,37.5
KAYNES.NS,36.09375,15.625,25.0,21.875,37.5
MOTHERSON.NS,46.71875,31.25,21.875,9.375,37.5
BALKRISIND.NS,48.90625,31.25,28.125,3.125,37.5
ENDURANCE.NS,38.28125,15.625,31.25,15.625,37.5
EXIDEIND.NS,38.28125,15.625,31.25,15.625,37.5
SUNDRMFAST.NS,38.28125,15.625,31.25,15.625,37.5
SUPRAJIT.NS,38.28125,15.625,31.25,15.625,37.5
CRAFTSMAN.NS,38.28125,15.625,31.25,15.625,37.5
GABRIEL.NS,38.28125,15.625,31.25,15.625,37.5
CHOLAFIN.NS,38.28125,15.625,31.25,15.625,37.5
MUTHOOTFIN.NS,48.90625,31.25,28.125,3.125,37.5
MANAPPURAM.NS,38.28125,15.625,31.25,15.625,37.5
IIFL.NS,38.28125,15.625,31.25,15.625,37.5
CANFINHOME.NS,38.28125,15.625,31.25,15.625,37.5
ABCAPITAL.NS,38.28125,15.625,31.25,15.625,37.5
MASFIN.NS,38.28125,15.625,31.25,15.625,37.5
POONAWALLA.NS,38.28125,15.625,31.25,15.625,37.5
OBEROIRLTY.NS,48.90625,31.25,28.125,3.125,37.5
GODREJPROP.NS,48.90625,31.25,28.125,3.125,37.5
PRESTIGE.NS,48.90625,31.25,28.125,3.125,37.5
BRIGADE.NS,38.28125,15.625,31.25,15.625,37.5
